geo_accession	sample_id	donor_id	DRG_ID	context	roi	n_spots	measured_markers	proxy_mean
GSM8943584	sam-UTD-DN0003-DRG-8	sub-UTD-DN0003	sam-UTD-DN0003-DRG	stromal_perineurial_fibroblast	Neuronal	15	137	4.458836690731895
GSM8943584	sam-UTD-DN0003-DRG-8	sub-UTD-DN0003	sam-UTD-DN0003-DRG	neuronal	NOT_EVALUABLE	0	0	
GSM8943585	sam-UTD-180714DHB-DRGL4-1	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	Schwann	Nageotte	31	47	4.236985296481661
GSM8943585	sam-UTD-180714DHB-DRGL4-1	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	Schwann	Neuronal	35	47	4.117808616479689
GSM8943585	sam-UTD-180714DHB-DRGL4-1	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	immune_macrophage	Nageotte	31	95	4.238189067081295
GSM8943585	sam-UTD-180714DHB-DRGL4-1	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	immune_macrophage	Neuronal	35	95	3.9692584402245368
GSM8943585	sam-UTD-180714DHB-DRGL4-1	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	endothelial_vascular	Nageotte	31	92	3.7565902121678048
GSM8943585	sam-UTD-180714DHB-DRGL4-1	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	endothelial_vascular	Neuronal	35	92	3.7308312197517832
GSM8943585	sam-UTD-180714DHB-DRGL4-1	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	stromal_perineurial_fibroblast	Nageotte	31	135	4.515555673344753
GSM8943585	sam-UTD-180714DHB-DRGL4-1	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	stromal_perineurial_fibroblast	Neuronal	35	135	4.3369838204080216
GSM8943585	sam-UTD-180714DHB-DRGL4-1	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	neuronal	NOT_EVALUABLE	0	0	
GSM8943586	sam-UTD-180714DHB-DRGL4-5	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	Schwann	Nageotte	32	47	4.120742059892297
GSM8943586	sam-UTD-180714DHB-DRGL4-5	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	Schwann	Neuronal	41	47	4.061365729961349
GSM8943586	sam-UTD-180714DHB-DRGL4-5	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	immune_macrophage	Nageotte	32	95	4.168745368316287
GSM8943586	sam-UTD-180714DHB-DRGL4-5	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	immune_macrophage	Neuronal	41	95	4.042181209733844
GSM8943586	sam-UTD-180714DHB-DRGL4-5	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	endothelial_vascular	Nageotte	32	92	3.699123161425335
GSM8943586	sam-UTD-180714DHB-DRGL4-5	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	endothelial_vascular	Neuronal	41	92	3.7209391827273564
GSM8943586	sam-UTD-180714DHB-DRGL4-5	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	stromal_perineurial_fibroblast	Nageotte	32	135	4.411769214491236
GSM8943586	sam-UTD-180714DHB-DRGL4-5	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	stromal_perineurial_fibroblast	Neuronal	41	135	4.315507670064588
GSM8943586	sam-UTD-180714DHB-DRGL4-5	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	neuronal	NOT_EVALUABLE	0	0	
GSM8943587	sam-UTD-181030DHB-1L4-3	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	Schwann	Nageotte	11	47	4.173782846013001
GSM8943587	sam-UTD-181030DHB-1L4-3	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	Schwann	Neuronal	8	47	3.9640017915979024
GSM8943587	sam-UTD-181030DHB-1L4-3	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	immune_macrophage	Nageotte	11	89	3.854525586229174
GSM8943587	sam-UTD-181030DHB-1L4-3	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	immune_macrophage	Neuronal	8	89	3.6518073816431733
GSM8943587	sam-UTD-181030DHB-1L4-3	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	endothelial_vascular	Nageotte	11	90	3.691018824351708
GSM8943587	sam-UTD-181030DHB-1L4-3	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	endothelial_vascular	Neuronal	8	90	3.797942949660488
GSM8943587	sam-UTD-181030DHB-1L4-3	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	stromal_perineurial_fibroblast	Nageotte	11	135	4.683358510186044
GSM8943587	sam-UTD-181030DHB-1L4-3	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	stromal_perineurial_fibroblast	Neuronal	8	135	4.320152745517463
GSM8943587	sam-UTD-181030DHB-1L4-3	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	neuronal	NOT_EVALUABLE	0	0	
GSM8943588	sam-UTD-181030DHB-1L4-7	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	Schwann	Nageotte	9	47	4.2034961800048976
GSM8943588	sam-UTD-181030DHB-1L4-7	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	Schwann	Neuronal	8	47	3.9839432168972353
GSM8943588	sam-UTD-181030DHB-1L4-7	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	immune_macrophage	Nageotte	9	92	4.008957664678686
GSM8943588	sam-UTD-181030DHB-1L4-7	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	immune_macrophage	Neuronal	8	92	3.564148579681299
GSM8943588	sam-UTD-181030DHB-1L4-7	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	endothelial_vascular	Nageotte	9	91	3.724331008674916
GSM8943588	sam-UTD-181030DHB-1L4-7	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	endothelial_vascular	Neuronal	8	91	3.7475985560443785
GSM8943588	sam-UTD-181030DHB-1L4-7	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	stromal_perineurial_fibroblast	Nageotte	9	137	4.5974565358768515
GSM8943588	sam-UTD-181030DHB-1L4-7	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	stromal_perineurial_fibroblast	Neuronal	8	137	4.263076235830912
GSM8943588	sam-UTD-181030DHB-1L4-7	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	neuronal	NOT_EVALUABLE	0	0	
GSM8943589	sam-UTD-181030DHB-2L4-2	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	Schwann	Nageotte	18	47	4.1869720790739
GSM8943589	sam-UTD-181030DHB-2L4-2	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	Schwann	Neuronal	23	47	4.0723332955906155
GSM8943589	sam-UTD-181030DHB-2L4-2	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	immune_macrophage	Nageotte	18	94	3.928300042610244
GSM8943589	sam-UTD-181030DHB-2L4-2	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	immune_macrophage	Neuronal	23	94	3.464145584916068
GSM8943589	sam-UTD-181030DHB-2L4-2	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	endothelial_vascular	Nageotte	18	95	3.8820544777582637
GSM8943589	sam-UTD-181030DHB-2L4-2	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	endothelial_vascular	Neuronal	23	95	3.8245904593621605
GSM8943589	sam-UTD-181030DHB-2L4-2	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	stromal_perineurial_fibroblast	Nageotte	18	136	4.705689709078164
GSM8943589	sam-UTD-181030DHB-2L4-2	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	stromal_perineurial_fibroblast	Neuronal	23	136	4.305114767503723
GSM8943589	sam-UTD-181030DHB-2L4-2	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	neuronal	NOT_EVALUABLE	0	0	
GSM8943590	sam-UTD-181030DHB-2L4-6	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	Schwann	Nageotte	8	48	3.9453667769859644
GSM8943590	sam-UTD-181030DHB-2L4-6	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	Schwann	Neuronal	15	48	4.005071433900658
GSM8943590	sam-UTD-181030DHB-2L4-6	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	immune_macrophage	Nageotte	8	93	3.9816222644445807
GSM8943590	sam-UTD-181030DHB-2L4-6	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	immune_macrophage	Neuronal	15	93	3.752603775693736
GSM8943590	sam-UTD-181030DHB-2L4-6	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	endothelial_vascular	Nageotte	8	94	4.056313827569057
GSM8943590	sam-UTD-181030DHB-2L4-6	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	endothelial_vascular	Neuronal	15	94	3.8049644335802397
GSM8943590	sam-UTD-181030DHB-2L4-6	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	stromal_perineurial_fibroblast	Nageotte	8	136	4.763352019026157
GSM8943590	sam-UTD-181030DHB-2L4-6	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	stromal_perineurial_fibroblast	Neuronal	15	136	4.423715112896021
GSM8943590	sam-UTD-181030DHB-2L4-6	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	neuronal	NOT_EVALUABLE	0	0	
GSM8943591	sam-UTD-DN0134-DRGL3-S1-1	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	Schwann	Nageotte	102	48	4.30579558029294
GSM8943591	sam-UTD-DN0134-DRGL3-S1-1	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	Schwann	Neuronal	144	48	4.292307114714577
GSM8943591	sam-UTD-DN0134-DRGL3-S1-1	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	immune_macrophage	Nageotte	102	96	3.841358171444791
GSM8943591	sam-UTD-DN0134-DRGL3-S1-1	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	immune_macrophage	Neuronal	144	96	3.7170036029792075
GSM8943591	sam-UTD-DN0134-DRGL3-S1-1	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	endothelial_vascular	Nageotte	102	91	3.898846011200892
GSM8943591	sam-UTD-DN0134-DRGL3-S1-1	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	endothelial_vascular	Neuronal	144	91	3.83107739027008
GSM8943591	sam-UTD-DN0134-DRGL3-S1-1	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	stromal_perineurial_fibroblast	Nageotte	102	132	4.627126971423957
GSM8943591	sam-UTD-DN0134-DRGL3-S1-1	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	stromal_perineurial_fibroblast	Neuronal	144	132	4.562496948293244
GSM8943591	sam-UTD-DN0134-DRGL3-S1-1	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	neuronal	NOT_EVALUABLE	0	0	
GSM8943592	sam-UTD-DN0134-DRGL3-S1-2	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	Schwann	Nageotte	91	48	4.3068665787662415
GSM8943592	sam-UTD-DN0134-DRGL3-S1-2	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	Schwann	Neuronal	111	48	4.191937346463109
GSM8943592	sam-UTD-DN0134-DRGL3-S1-2	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	immune_macrophage	Nageotte	91	98	3.866092466181107
GSM8943592	sam-UTD-DN0134-DRGL3-S1-2	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	immune_macrophage	Neuronal	111	98	3.6339841314391235
GSM8943592	sam-UTD-DN0134-DRGL3-S1-2	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	endothelial_vascular	Nageotte	91	92	3.768242515881395
GSM8943592	sam-UTD-DN0134-DRGL3-S1-2	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	endothelial_vascular	Neuronal	111	92	3.7422708925678405
GSM8943592	sam-UTD-DN0134-DRGL3-S1-2	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	stromal_perineurial_fibroblast	Nageotte	91	133	4.622711455544106
GSM8943592	sam-UTD-DN0134-DRGL3-S1-2	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	stromal_perineurial_fibroblast	Neuronal	111	133	4.473441513355417
GSM8943592	sam-UTD-DN0134-DRGL3-S1-2	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	neuronal	NOT_EVALUABLE	0	0	
GSM8943593	sam-UTD-DN0134-DRGL3-S1-3	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	Schwann	Nageotte	97	47	4.268933586375542
GSM8943593	sam-UTD-DN0134-DRGL3-S1-3	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	Schwann	Neuronal	144	47	4.1872444866052705
GSM8943593	sam-UTD-DN0134-DRGL3-S1-3	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	immune_macrophage	Nageotte	97	96	3.7938556867055864
GSM8943593	sam-UTD-DN0134-DRGL3-S1-3	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	immune_macrophage	Neuronal	144	96	3.576343664788644
GSM8943593	sam-UTD-DN0134-DRGL3-S1-3	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	endothelial_vascular	Nageotte	97	94	3.7041554225256195
GSM8943593	sam-UTD-DN0134-DRGL3-S1-3	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	endothelial_vascular	Neuronal	144	94	3.627564917218236
GSM8943593	sam-UTD-DN0134-DRGL3-S1-3	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	stromal_perineurial_fibroblast	Nageotte	97	135	4.52666274821394
GSM8943593	sam-UTD-DN0134-DRGL3-S1-3	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	stromal_perineurial_fibroblast	Neuronal	144	135	4.364042057646022
GSM8943593	sam-UTD-DN0134-DRGL3-S1-3	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	neuronal	NOT_EVALUABLE	0	0	
GSM8943594	sam-UTD-DN0095-DRGL3-S2-1	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	Schwann	Nageotte	176	47	4.2796252806746145
GSM8943594	sam-UTD-DN0095-DRGL3-S2-1	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	Schwann	Neuronal	145	47	4.222109476401
GSM8943594	sam-UTD-DN0095-DRGL3-S2-1	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	immune_macrophage	Nageotte	176	95	3.9609105140730687
GSM8943594	sam-UTD-DN0095-DRGL3-S2-1	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	immune_macrophage	Neuronal	145	95	4.025118302147235
GSM8943594	sam-UTD-DN0095-DRGL3-S2-1	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	endothelial_vascular	Nageotte	176	90	3.566446499761393
GSM8943594	sam-UTD-DN0095-DRGL3-S2-1	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	endothelial_vascular	Neuronal	145	90	3.6637925382372973
GSM8943594	sam-UTD-DN0095-DRGL3-S2-1	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	stromal_perineurial_fibroblast	Nageotte	176	131	4.306747962751263
GSM8943594	sam-UTD-DN0095-DRGL3-S2-1	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	stromal_perineurial_fibroblast	Neuronal	145	131	4.288950289906871
GSM8943594	sam-UTD-DN0095-DRGL3-S2-1	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	neuronal	NOT_EVALUABLE	0	0	
GSM8943595	sam-UTD-DN0095-DRGL3-S2-2	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	Schwann	Nageotte	219	47	4.232922235845071
GSM8943595	sam-UTD-DN0095-DRGL3-S2-2	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	Schwann	Neuronal	149	47	4.23250890371272
GSM8943595	sam-UTD-DN0095-DRGL3-S2-2	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	immune_macrophage	Nageotte	219	97	3.9630668700727405
GSM8943595	sam-UTD-DN0095-DRGL3-S2-2	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	immune_macrophage	Neuronal	149	97	3.972597367671808
GSM8943595	sam-UTD-DN0095-DRGL3-S2-2	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	endothelial_vascular	Nageotte	219	89	3.5636442780476174
GSM8943595	sam-UTD-DN0095-DRGL3-S2-2	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	endothelial_vascular	Neuronal	149	89	3.546574345030771
GSM8943595	sam-UTD-DN0095-DRGL3-S2-2	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	stromal_perineurial_fibroblast	Nageotte	219	131	4.165424237378083
GSM8943595	sam-UTD-DN0095-DRGL3-S2-2	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	stromal_perineurial_fibroblast	Neuronal	149	131	4.121761371078817
GSM8943595	sam-UTD-DN0095-DRGL3-S2-2	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	neuronal	NOT_EVALUABLE	0	0	
GSM8943596	sam-UTD-DN0095-DRGL3-S2-3	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	Schwann	Nageotte	204	47	4.207584927687769
GSM8943596	sam-UTD-DN0095-DRGL3-S2-3	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	Schwann	Neuronal	130	47	4.065840803049331
GSM8943596	sam-UTD-DN0095-DRGL3-S2-3	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	immune_macrophage	Nageotte	204	93	4.277184327391731
GSM8943596	sam-UTD-DN0095-DRGL3-S2-3	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	immune_macrophage	Neuronal	130	93	4.139587809120212
GSM8943596	sam-UTD-DN0095-DRGL3-S2-3	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	endothelial_vascular	Nageotte	204	93	3.5289393872726142
GSM8943596	sam-UTD-DN0095-DRGL3-S2-3	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	endothelial_vascular	Neuronal	130	93	3.5499753506026868
GSM8943596	sam-UTD-DN0095-DRGL3-S2-3	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	stromal_perineurial_fibroblast	Nageotte	204	136	4.2622176685323385
GSM8943596	sam-UTD-DN0095-DRGL3-S2-3	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	stromal_perineurial_fibroblast	Neuronal	130	136	4.174975461320636
GSM8943596	sam-UTD-DN0095-DRGL3-S2-3	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	neuronal	NOT_EVALUABLE	0	0	
GSM8943597	sam-UTD-DN0106-DRGL-S5-1	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	Schwann	Nageotte	38	47	3.740535755835823
GSM8943597	sam-UTD-DN0106-DRGL-S5-1	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	Schwann	Neuronal	59	47	4.064548592817821
GSM8943597	sam-UTD-DN0106-DRGL-S5-1	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	immune_macrophage	Nageotte	38	94	3.334017576357449
GSM8943597	sam-UTD-DN0106-DRGL-S5-1	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	immune_macrophage	Neuronal	59	94	3.391625456993393
GSM8943597	sam-UTD-DN0106-DRGL-S5-1	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	endothelial_vascular	Nageotte	38	89	4.053200407805857
GSM8943597	sam-UTD-DN0106-DRGL-S5-1	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	endothelial_vascular	Neuronal	59	89	4.077320402367416
GSM8943597	sam-UTD-DN0106-DRGL-S5-1	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	stromal_perineurial_fibroblast	Nageotte	38	134	4.370561585733037
GSM8943597	sam-UTD-DN0106-DRGL-S5-1	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	stromal_perineurial_fibroblast	Neuronal	59	134	4.358895999478042
GSM8943597	sam-UTD-DN0106-DRGL-S5-1	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	neuronal	NOT_EVALUABLE	0	0	
GSM8943598	sam-UTD-DN0106-DRGL-S5-2	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	Schwann	Nageotte	36	47	3.5406878213220008
GSM8943598	sam-UTD-DN0106-DRGL-S5-2	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	Schwann	Neuronal	42	47	3.956483799184532
GSM8943598	sam-UTD-DN0106-DRGL-S5-2	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	immune_macrophage	Nageotte	36	95	3.0050155128080602
GSM8943598	sam-UTD-DN0106-DRGL-S5-2	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	immune_macrophage	Neuronal	42	95	3.4700274833514
GSM8943598	sam-UTD-DN0106-DRGL-S5-2	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	endothelial_vascular	Nageotte	36	90	4.158966531187982
GSM8943598	sam-UTD-DN0106-DRGL-S5-2	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	endothelial_vascular	Neuronal	42	90	3.6836848129536848
GSM8943598	sam-UTD-DN0106-DRGL-S5-2	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	stromal_perineurial_fibroblast	Nageotte	36	133	4.399377722725161
GSM8943598	sam-UTD-DN0106-DRGL-S5-2	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	stromal_perineurial_fibroblast	Neuronal	42	133	4.184022099465439
GSM8943598	sam-UTD-DN0106-DRGL-S5-2	sub-UTD-DN0106	sam-UTD-DN0106-DRGL	neuronal	NOT_EVALUABLE	0	0	
