geo_accession	sample_id	donor_id	DRG_ID	module_id	program	whole_section_score	measured_up	measured_down
GSM8943591	sam-UTD-DN0134-DRGL3-S1-1	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	original_xenium	P5	0.025981540053966662	17	42
GSM8943591	sam-UTD-DN0134-DRGL3-S1-1	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	severity_neuron_residual	P10	-0.06979831288547766	219	118
GSM8943592	sam-UTD-DN0134-DRGL3-S1-2	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	late_allcell_residual	P8	-0.035880864964884185	1270	1572
GSM8943592	sam-UTD-DN0134-DRGL3-S1-2	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	late_neuron_residual	P7	0.0187060556639496	73	198
GSM8943592	sam-UTD-DN0134-DRGL3-S1-2	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	late_shared_concordant_neuronal_core	P6	-0.02407757774198824	46	78
GSM8943592	sam-UTD-DN0134-DRGL3-S1-2	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	original_early_allcell	P1	-0.02473394437420986	302	329
GSM8943592	sam-UTD-DN0134-DRGL3-S1-2	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	original_late_allcell	P2	-0.03509701559714198	1353	1681
GSM8943592	sam-UTD-DN0134-DRGL3-S1-2	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	original_late_neuron	P3	0.0018744720567618713	126	299
GSM8943592	sam-UTD-DN0134-DRGL3-S1-2	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	original_severity	P4	-0.0898992596408809	315	134
GSM8943592	sam-UTD-DN0134-DRGL3-S1-2	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	original_xenium	P5	0.040814797314404176	17	42
GSM8943592	sam-UTD-DN0134-DRGL3-S1-2	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	severity_neuron_residual	P10	-0.09726181100609516	219	118
GSM8943593	sam-UTD-DN0134-DRGL3-S1-3	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	late_allcell_residual	P8	-0.0370548138349727	1274	1573
GSM8943593	sam-UTD-DN0134-DRGL3-S1-3	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	late_neuron_residual	P7	0.01888479862997869	74	197
GSM8943593	sam-UTD-DN0134-DRGL3-S1-3	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	late_shared_concordant_neuronal_core	P6	-0.024113023651337613	46	78
GSM8943593	sam-UTD-DN0134-DRGL3-S1-3	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	original_early_allcell	P1	-0.023370788342478833	300	327
GSM8943593	sam-UTD-DN0134-DRGL3-S1-3	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	original_late_allcell	P2	-0.03625029806277246	1357	1682
GSM8943593	sam-UTD-DN0134-DRGL3-S1-3	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	original_late_neuron	P3	0.00267703494497513	127	298
GSM8943593	sam-UTD-DN0134-DRGL3-S1-3	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	original_severity	P4	-0.07980962629272736	315	134
GSM8943593	sam-UTD-DN0134-DRGL3-S1-3	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	original_xenium	P5	0.03302657948100417	17	41
GSM8943593	sam-UTD-DN0134-DRGL3-S1-3	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	severity_neuron_residual	P10	-0.08733297800030793	219	118
GSM8943594	sam-UTD-DN0095-DRGL3-S2-1	sub-UTD-DN0095	sam-UTD-DN0095-DRGL3	late_allcell_residual	P8	-0.01375671141031591	1265	1541
