geo_accession	donor_id	program	ring	unit	n_spots	mean_score
GSM8943583	sub-UTD-DN0003	P4	2	spot_graph_steps	109	-0.09550980728934547
GSM8943583	sub-UTD-DN0003	P4	3+	spot_graph_steps	1565	-0.08061584069944308
GSM8943583	sub-UTD-DN0003	P5	0	spot_graph_steps	11	0.050959732688015284
GSM8943583	sub-UTD-DN0003	P5	1	spot_graph_steps	68	0.05422194599434793
GSM8943583	sub-UTD-DN0003	P5	2	spot_graph_steps	109	0.048725961805370595
GSM8943583	sub-UTD-DN0003	P5	3+	spot_graph_steps	1565	0.03182154592783855
GSM8943583	sub-UTD-DN0003	P10	0	spot_graph_steps	11	-0.09775567043164152
GSM8943583	sub-UTD-DN0003	P10	1	spot_graph_steps	68	-0.11046171191279452
GSM8943583	sub-UTD-DN0003	P10	2	spot_graph_steps	109	-0.10160913929698942
GSM8943583	sub-UTD-DN0003	P10	3+	spot_graph_steps	1565	-0.08525825060640556
GSM8943584	sub-UTD-DN0003	P8	0	spot_graph_steps	11	-0.05161714272239209
GSM8943584	sub-UTD-DN0003	P8	1	spot_graph_steps	67	-0.06577729052245017
GSM8943584	sub-UTD-DN0003	P8	2	spot_graph_steps	120	-0.06405056192916099
GSM8943584	sub-UTD-DN0003	P8	3+	spot_graph_steps	1889	-0.045006734526904416
GSM8943584	sub-UTD-DN0003	P7	0	spot_graph_steps	11	0.008510099779857727
GSM8943584	sub-UTD-DN0003	P7	1	spot_graph_steps	67	0.0068345669395361
GSM8943584	sub-UTD-DN0003	P7	2	spot_graph_steps	120	0.006297637205379435
GSM8943584	sub-UTD-DN0003	P7	3+	spot_graph_steps	1889	0.009071678684976634
GSM8943584	sub-UTD-DN0003	P6	0	spot_graph_steps	11	-0.030758824181221067
GSM8943584	sub-UTD-DN0003	P6	1	spot_graph_steps	67	-0.035777373233509886
GSM8943584	sub-UTD-DN0003	P6	2	spot_graph_steps	120	-0.043579153287326776
GSM8943584	sub-UTD-DN0003	P6	3+	spot_graph_steps	1889	-0.031458787118162024
GSM8943584	sub-UTD-DN0003	P1	0	spot_graph_steps	11	-0.03904698976680309
GSM8943584	sub-UTD-DN0003	P1	1	spot_graph_steps	67	-0.040209973918797014
GSM8943584	sub-UTD-DN0003	P1	2	spot_graph_steps	120	-0.04317296629567242
GSM8943584	sub-UTD-DN0003	P1	3+	spot_graph_steps	1889	-0.03471599828702343
GSM8943584	sub-UTD-DN0003	P2	0	spot_graph_steps	11	-0.0493059452838216
GSM8943584	sub-UTD-DN0003	P2	1	spot_graph_steps	67	-0.06353455106281952
GSM8943584	sub-UTD-DN0003	P2	2	spot_graph_steps	120	-0.0620485659745452
GSM8943584	sub-UTD-DN0003	P2	3+	spot_graph_steps	1889	-0.04373861028113263
GSM8943584	sub-UTD-DN0003	P3	0	spot_graph_steps	11	-0.01265187068687605
GSM8943584	sub-UTD-DN0003	P3	1	spot_graph_steps	67	-0.013503149550457392
GSM8943584	sub-UTD-DN0003	P3	2	spot_graph_steps	120	-0.01669087235008781
GSM8943584	sub-UTD-DN0003	P3	3+	spot_graph_steps	1889	-0.01002835342843527
GSM8943584	sub-UTD-DN0003	P4	0	spot_graph_steps	11	-0.13573102441845075
GSM8943584	sub-UTD-DN0003	P4	1	spot_graph_steps	67	-0.13293887241260824
GSM8943584	sub-UTD-DN0003	P4	2	spot_graph_steps	120	-0.13138958392902514
GSM8943584	sub-UTD-DN0003	P4	3+	spot_graph_steps	1889	-0.11434935140850803
GSM8943584	sub-UTD-DN0003	P5	0	spot_graph_steps	11	0.05168026746818224
GSM8943584	sub-UTD-DN0003	P5	1	spot_graph_steps	67	0.04792060529321708
GSM8943584	sub-UTD-DN0003	P5	2	spot_graph_steps	120	0.04525692298335534
GSM8943584	sub-UTD-DN0003	P5	3+	spot_graph_steps	1889	0.03347013834555604
GSM8943584	sub-UTD-DN0003	P10	0	spot_graph_steps	11	-0.1410957984780793
GSM8943584	sub-UTD-DN0003	P10	1	spot_graph_steps	67	-0.1427927637978705
GSM8943584	sub-UTD-DN0003	P10	2	spot_graph_steps	120	-0.14001333523673373
GSM8943584	sub-UTD-DN0003	P10	3+	spot_graph_steps	1889	-0.1207520897120948
GSM8943585	sub-UTD-180714DHB	P8	0	spot_graph_steps	31	-0.030568165285929105
GSM8943585	sub-UTD-180714DHB	P8	1	spot_graph_steps	193	-0.03477826865210061
GSM8943585	sub-UTD-180714DHB	P8	2	spot_graph_steps	337	-0.0309917872828262
GSM8943585	sub-UTD-180714DHB	P8	3+	spot_graph_steps	2965	-0.02311953764737619
GSM8943585	sub-UTD-180714DHB	P7	0	spot_graph_steps	31	0.020415448813342663
GSM8943585	sub-UTD-180714DHB	P7	1	spot_graph_steps	193	0.026438903038941988
GSM8943585	sub-UTD-180714DHB	P7	2	spot_graph_steps	337	0.024174634952052108
GSM8943585	sub-UTD-180714DHB	P7	3+	spot_graph_steps	2965	0.02146805487690725
GSM8943585	sub-UTD-180714DHB	P6	0	spot_graph_steps	31	-0.021287187859569942
GSM8943585	sub-UTD-180714DHB	P6	1	spot_graph_steps	193	-0.019484320117668666
GSM8943585	sub-UTD-180714DHB	P6	2	spot_graph_steps	337	-0.021641910723286174
GSM8943585	sub-UTD-180714DHB	P6	3+	spot_graph_steps	2965	-0.015412121593942067
GSM8943585	sub-UTD-180714DHB	P1	0	spot_graph_steps	31	-0.03891766220696905
GSM8943585	sub-UTD-180714DHB	P1	1	spot_graph_steps	193	-0.036852302313234934
GSM8943585	sub-UTD-180714DHB	P1	2	spot_graph_steps	337	-0.03572472824464682
GSM8943585	sub-UTD-180714DHB	P1	3+	spot_graph_steps	2965	-0.030680146879991606
GSM8943585	sub-UTD-180714DHB	P2	0	spot_graph_steps	31	-0.029770124380861105
GSM8943585	sub-UTD-180714DHB	P2	1	spot_graph_steps	193	-0.03369640662575271
GSM8943585	sub-UTD-180714DHB	P2	2	spot_graph_steps	337	-0.03020361779256492
GSM8943585	sub-UTD-180714DHB	P2	3+	spot_graph_steps	2965	-0.022503279622714274
GSM8943585	sub-UTD-180714DHB	P3	0	spot_graph_steps	31	0.0020835912412926626
GSM8943585	sub-UTD-180714DHB	P3	1	spot_graph_steps	193	0.006099500776574275
GSM8943585	sub-UTD-180714DHB	P3	2	spot_graph_steps	337	0.0047918230823527485
GSM8943585	sub-UTD-180714DHB	P3	3+	spot_graph_steps	2965	0.005418046024836533
GSM8943585	sub-UTD-180714DHB	P4	0	spot_graph_steps	31	-0.0832725811367341
GSM8943585	sub-UTD-180714DHB	P4	1	spot_graph_steps	193	-0.08912769826275938
GSM8943585	sub-UTD-180714DHB	P4	2	spot_graph_steps	337	-0.08462797295076382
GSM8943585	sub-UTD-180714DHB	P4	3+	spot_graph_steps	2965	-0.07182090441224949
GSM8943585	sub-UTD-180714DHB	P5	0	spot_graph_steps	31	0.06123177287648329
GSM8943585	sub-UTD-180714DHB	P5	1	spot_graph_steps	193	0.06233353669270381
GSM8943585	sub-UTD-180714DHB	P5	2	spot_graph_steps	337	0.06055580403788216
GSM8943585	sub-UTD-180714DHB	P5	3+	spot_graph_steps	2965	0.04776926968833533
GSM8943585	sub-UTD-180714DHB	P10	0	spot_graph_steps	31	-0.0865448707938109
GSM8943585	sub-UTD-180714DHB	P10	1	spot_graph_steps	193	-0.09549991204306661
GSM8943585	sub-UTD-180714DHB	P10	2	spot_graph_steps	337	-0.08926293985627219
GSM8943585	sub-UTD-180714DHB	P10	3+	spot_graph_steps	2965	-0.07574045086056358
GSM8943586	sub-UTD-180714DHB	P8	0	spot_graph_steps	32	-0.04563118778711645
GSM8943586	sub-UTD-180714DHB	P8	1	spot_graph_steps	189	-0.04124393790333223
GSM8943586	sub-UTD-180714DHB	P8	2	spot_graph_steps	350	-0.03788134603354068
GSM8943586	sub-UTD-180714DHB	P8	3+	spot_graph_steps	3015	-0.029307814203823834
GSM8943586	sub-UTD-180714DHB	P7	0	spot_graph_steps	32	0.028175725128383657
GSM8943586	sub-UTD-180714DHB	P7	1	spot_graph_steps	189	0.028374821756503067
GSM8943586	sub-UTD-180714DHB	P7	2	spot_graph_steps	350	0.02792177527810215
GSM8943586	sub-UTD-180714DHB	P7	3+	spot_graph_steps	3015	0.025421482836804697
GSM8943586	sub-UTD-180714DHB	P6	0	spot_graph_steps	32	-0.03284275459012838
GSM8943586	sub-UTD-180714DHB	P6	1	spot_graph_steps	189	-0.01869383930646764
GSM8943586	sub-UTD-180714DHB	P6	2	spot_graph_steps	350	-0.01941146578117212
GSM8943586	sub-UTD-180714DHB	P6	3+	spot_graph_steps	3015	-0.015026836710581347
GSM8943586	sub-UTD-180714DHB	P1	0	spot_graph_steps	32	-0.0571588052040511
GSM8943586	sub-UTD-180714DHB	P1	1	spot_graph_steps	189	-0.05349126754982037
GSM8943586	sub-UTD-180714DHB	P1	2	spot_graph_steps	350	-0.05075420607650393
GSM8943586	sub-UTD-180714DHB	P1	3+	spot_graph_steps	3015	-0.042804939746848604
GSM8943586	sub-UTD-180714DHB	P2	0	spot_graph_steps	32	-0.04467279880884164
GSM8943586	sub-UTD-180714DHB	P2	1	spot_graph_steps	189	-0.03997473320496046
GSM8943586	sub-UTD-180714DHB	P2	2	spot_graph_steps	350	-0.03675786245424523
GSM8943586	sub-UTD-180714DHB	P2	3+	spot_graph_steps	3015	-0.02840809347769299
GSM8943586	sub-UTD-180714DHB	P3	0	spot_graph_steps	32	0.0023964536121147753
GSM8943586	sub-UTD-180714DHB	P3	1	spot_graph_steps	189	0.008319633758716962
GSM8943586	sub-UTD-180714DHB	P3	2	spot_graph_steps	350	0.007738279927448287
GSM8943586	sub-UTD-180714DHB	P3	3+	spot_graph_steps	3015	0.007739389856827031
GSM8943586	sub-UTD-180714DHB	P4	0	spot_graph_steps	32	-0.12166275833607931
GSM8943586	sub-UTD-180714DHB	P4	1	spot_graph_steps	189	-0.1145245850956908
GSM8943586	sub-UTD-180714DHB	P4	2	spot_graph_steps	350	-0.10617502048171554
GSM8943586	sub-UTD-180714DHB	P4	3+	spot_graph_steps	3015	-0.09085903304416117
GSM8943586	sub-UTD-180714DHB	P5	0	spot_graph_steps	32	0.10893476007505908
GSM8943586	sub-UTD-180714DHB	P5	1	spot_graph_steps	189	0.09180757601223394
GSM8943586	sub-UTD-180714DHB	P5	2	spot_graph_steps	350	0.08188704759787728
GSM8943586	sub-UTD-180714DHB	P5	3+	spot_graph_steps	3015	0.06287457425930466
GSM8943586	sub-UTD-180714DHB	P10	0	spot_graph_steps	32	-0.13060533817237896
GSM8943586	sub-UTD-180714DHB	P10	1	spot_graph_steps	189	-0.12364960815472502
GSM8943586	sub-UTD-180714DHB	P10	2	spot_graph_steps	350	-0.11336872759408254
GSM8943586	sub-UTD-180714DHB	P10	3+	spot_graph_steps	3015	-0.09704335456978301
GSM8943587	sub-UTD-181030DHB	P8	0	spot_graph_steps	11	-0.05273527534695888
GSM8943587	sub-UTD-181030DHB	P8	1	spot_graph_steps	69	-0.051382865601145786
GSM8943587	sub-UTD-181030DHB	P8	2	spot_graph_steps	117	-0.049749369732442164
GSM8943587	sub-UTD-181030DHB	P8	3+	spot_graph_steps	1770	-0.041994041099240674
GSM8943587	sub-UTD-181030DHB	P7	0	spot_graph_steps	11	0.016103746586370857
GSM8943587	sub-UTD-181030DHB	P7	1	spot_graph_steps	69	0.023638754925374112
GSM8943587	sub-UTD-181030DHB	P7	2	spot_graph_steps	117	0.01953656720052773
GSM8943587	sub-UTD-181030DHB	P7	3+	spot_graph_steps	1770	0.016581204182268987
GSM8943587	sub-UTD-181030DHB	P6	0	spot_graph_steps	11	-0.022410189348632047
GSM8943587	sub-UTD-181030DHB	P6	1	spot_graph_steps	69	-0.03101698619830813
GSM8943587	sub-UTD-181030DHB	P6	2	spot_graph_steps	117	-0.03236163597495091
GSM8943587	sub-UTD-181030DHB	P6	3+	spot_graph_steps	1770	-0.029142866541209622
GSM8943587	sub-UTD-181030DHB	P1	0	spot_graph_steps	11	-0.031261201846410014
GSM8943587	sub-UTD-181030DHB	P1	1	spot_graph_steps	69	-0.03209529128234166
GSM8943587	sub-UTD-181030DHB	P1	2	spot_graph_steps	117	-0.032250848360781695
GSM8943587	sub-UTD-181030DHB	P1	3+	spot_graph_steps	1770	-0.028726979255437865
GSM8943587	sub-UTD-181030DHB	P2	0	spot_graph_steps	11	-0.0511785705092771
GSM8943587	sub-UTD-181030DHB	P2	1	spot_graph_steps	69	-0.05007973157028014
GSM8943587	sub-UTD-181030DHB	P2	2	spot_graph_steps	117	-0.04864811474230908
GSM8943587	sub-UTD-181030DHB	P2	3+	spot_graph_steps	1770	-0.041137375982577794
GSM8943587	sub-UTD-181030DHB	P3	0	spot_graph_steps	11	0.0010360394859504705
GSM8943587	sub-UTD-181030DHB	P3	1	spot_graph_steps	69	0.003376255509901991
GSM8943587	sub-UTD-181030DHB	P3	2	spot_graph_steps	117	8.477640592598996e-06
GSM8943587	sub-UTD-181030DHB	P3	3+	spot_graph_steps	1770	-0.0009340905031724958
GSM8943587	sub-UTD-181030DHB	P4	0	spot_graph_steps	11	-0.12053901716171843
GSM8943587	sub-UTD-181030DHB	P4	1	spot_graph_steps	69	-0.10814565946346166
GSM8943587	sub-UTD-181030DHB	P4	2	spot_graph_steps	117	-0.1074995375359662
GSM8943587	sub-UTD-181030DHB	P4	3+	spot_graph_steps	1770	-0.0955894309025812
GSM8943587	sub-UTD-181030DHB	P5	0	spot_graph_steps	11	0.06924496046759308
GSM8943587	sub-UTD-181030DHB	P5	1	spot_graph_steps	69	0.05919991014838082
GSM8943587	sub-UTD-181030DHB	P5	2	spot_graph_steps	117	0.05516165130450649
GSM8943587	sub-UTD-181030DHB	P5	3+	spot_graph_steps	1770	0.04708477114962814
GSM8943587	sub-UTD-181030DHB	P10	0	spot_graph_steps	11	-0.13010828690853238
GSM8943587	sub-UTD-181030DHB	P10	1	spot_graph_steps	69	-0.11424414230964733
GSM8943587	sub-UTD-181030DHB	P10	2	spot_graph_steps	117	-0.11242764350509582
GSM8943587	sub-UTD-181030DHB	P10	3+	spot_graph_steps	1770	-0.10029680203838759
GSM8943588	sub-UTD-181030DHB	P8	0	spot_graph_steps	9	-0.06459622286292716
GSM8943588	sub-UTD-181030DHB	P8	1	spot_graph_steps	54	-0.0663435142722702
GSM8943588	sub-UTD-181030DHB	P8	2	spot_graph_steps	98	-0.07760795593451196
GSM8943588	sub-UTD-181030DHB	P8	3+	spot_graph_steps	2750	-0.05837170607441013
GSM8943588	sub-UTD-181030DHB	P7	0	spot_graph_steps	9	0.0198226450984883
GSM8943588	sub-UTD-181030DHB	P7	1	spot_graph_steps	54	0.016053381200577446
GSM8943588	sub-UTD-181030DHB	P7	2	spot_graph_steps	98	0.02407001303293656
GSM8943588	sub-UTD-181030DHB	P7	3+	spot_graph_steps	2750	0.020089511562684494
GSM8943588	sub-UTD-181030DHB	P6	0	spot_graph_steps	9	-0.04110383428376779
GSM8943588	sub-UTD-181030DHB	P6	1	spot_graph_steps	54	-0.04556732065714933
GSM8943588	sub-UTD-181030DHB	P6	2	spot_graph_steps	98	-0.042105336028576974
GSM8943588	sub-UTD-181030DHB	P6	3+	spot_graph_steps	2750	-0.03596183926882705
GSM8943588	sub-UTD-181030DHB	P1	0	spot_graph_steps	9	-0.043191804293002345
GSM8943588	sub-UTD-181030DHB	P1	1	spot_graph_steps	54	-0.041747003278883574
GSM8943588	sub-UTD-181030DHB	P1	2	spot_graph_steps	98	-0.04569883544161906
GSM8943588	sub-UTD-181030DHB	P1	3+	spot_graph_steps	2750	-0.03659683279446061
GSM8943588	sub-UTD-181030DHB	P2	0	spot_graph_steps	9	-0.06328169729783051
GSM8943588	sub-UTD-181030DHB	P2	1	spot_graph_steps	54	-0.06500605553148636
GSM8943588	sub-UTD-181030DHB	P2	2	spot_graph_steps	98	-0.07573743605484483
GSM8943588	sub-UTD-181030DHB	P2	3+	spot_graph_steps	2750	-0.057057336375968944
GSM8943588	sub-UTD-181030DHB	P3	0	spot_graph_steps	9	-0.0012946375669797099
GSM8943588	sub-UTD-181030DHB	P3	1	spot_graph_steps	54	-0.006119768243306995
GSM8943588	sub-UTD-181030DHB	P3	2	spot_graph_steps	98	0.001140402632799036
GSM8943588	sub-UTD-181030DHB	P3	3+	spot_graph_steps	2750	-8.794646248762512e-06
GSM8943588	sub-UTD-181030DHB	P4	0	spot_graph_steps	9	-0.13525799559627721
GSM8943588	sub-UTD-181030DHB	P4	1	spot_graph_steps	54	-0.1214258417097463
GSM8943588	sub-UTD-181030DHB	P4	2	spot_graph_steps	98	-0.13170410256637766
GSM8943588	sub-UTD-181030DHB	P4	3+	spot_graph_steps	2750	-0.11082505728124734
GSM8943588	sub-UTD-181030DHB	P5	0	spot_graph_steps	9	0.04918823680814364
GSM8943588	sub-UTD-181030DHB	P5	1	spot_graph_steps	54	0.06556286058841364
GSM8943588	sub-UTD-181030DHB	P5	2	spot_graph_steps	98	0.08553389925819492
GSM8943588	sub-UTD-181030DHB	P5	3+	spot_graph_steps	2750	0.06628011954769344
GSM8943588	sub-UTD-181030DHB	P10	0	spot_graph_steps	9	-0.14660240331816374
GSM8943588	sub-UTD-181030DHB	P10	1	spot_graph_steps	54	-0.13006137694052625
GSM8943588	sub-UTD-181030DHB	P10	2	spot_graph_steps	98	-0.14266520749341785
GSM8943588	sub-UTD-181030DHB	P10	3+	spot_graph_steps	2750	-0.11913305841260845
GSM8943589	sub-UTD-181030DHB	P8	0	spot_graph_steps	18	-0.038229104643446685
GSM8943589	sub-UTD-181030DHB	P8	1	spot_graph_steps	123	-0.057324557573288554
GSM8943589	sub-UTD-181030DHB	P8	2	spot_graph_steps	213	-0.04917486418895763
GSM8943589	sub-UTD-181030DHB	P8	3+	spot_graph_steps	3181	-0.04075268594964937
GSM8943589	sub-UTD-181030DHB	P7	0	spot_graph_steps	18	0.012966618853301427
GSM8943589	sub-UTD-181030DHB	P7	1	spot_graph_steps	123	0.024428000297327748
GSM8943589	sub-UTD-181030DHB	P7	2	spot_graph_steps	213	0.024125872663274553
GSM8943589	sub-UTD-181030DHB	P7	3+	spot_graph_steps	3181	0.018830138901302036
GSM8943589	sub-UTD-181030DHB	P6	0	spot_graph_steps	18	-0.018610873069227082
GSM8943589	sub-UTD-181030DHB	P6	1	spot_graph_steps	123	-0.03408010714584388
GSM8943589	sub-UTD-181030DHB	P6	2	spot_graph_steps	213	-0.02475139108592961
GSM8943589	sub-UTD-181030DHB	P6	3+	spot_graph_steps	3181	-0.023883692543807844
GSM8943589	sub-UTD-181030DHB	P1	0	spot_graph_steps	18	-0.03065019000900742
GSM8943589	sub-UTD-181030DHB	P1	1	spot_graph_steps	123	-0.0340414387938016
GSM8943589	sub-UTD-181030DHB	P1	2	spot_graph_steps	213	-0.03361163895570015
GSM8943589	sub-UTD-181030DHB	P1	3+	spot_graph_steps	3181	-0.02766093859825398
GSM8943589	sub-UTD-181030DHB	P2	0	spot_graph_steps	18	-0.037000367250370515
GSM8943589	sub-UTD-181030DHB	P2	1	spot_graph_steps	123	-0.056114349484220026
GSM8943589	sub-UTD-181030DHB	P2	2	spot_graph_steps	213	-0.04775699873112536
GSM8943589	sub-UTD-181030DHB	P2	3+	spot_graph_steps	3181	-0.03974469013076981
GSM8943589	sub-UTD-181030DHB	P3	0	spot_graph_steps	18	-0.0010324035523306685
GSM8943589	sub-UTD-181030DHB	P3	1	spot_graph_steps	123	0.0025033679725449927
GSM8943589	sub-UTD-181030DHB	P3	2	spot_graph_steps	213	0.0049115696755000025
GSM8943589	sub-UTD-181030DHB	P3	3+	spot_graph_steps	3181	0.0018669926874669647
GSM8943589	sub-UTD-181030DHB	P4	0	spot_graph_steps	18	-0.09264743981619754
GSM8943589	sub-UTD-181030DHB	P4	1	spot_graph_steps	123	-0.11239128922965871
GSM8943589	sub-UTD-181030DHB	P4	2	spot_graph_steps	213	-0.10527597533485472
GSM8943589	sub-UTD-181030DHB	P4	3+	spot_graph_steps	3181	-0.09324032863669172
GSM8943589	sub-UTD-181030DHB	P5	0	spot_graph_steps	18	0.0612910413912984
GSM8943589	sub-UTD-181030DHB	P5	1	spot_graph_steps	123	0.08875614770878286
GSM8943589	sub-UTD-181030DHB	P5	2	spot_graph_steps	213	0.07931669187936687
GSM8943589	sub-UTD-181030DHB	P5	3+	spot_graph_steps	3181	0.0662489279705284
GSM8943589	sub-UTD-181030DHB	P10	0	spot_graph_steps	18	-0.09579526554892359
GSM8943589	sub-UTD-181030DHB	P10	1	spot_graph_steps	123	-0.12085160360667961
GSM8943589	sub-UTD-181030DHB	P10	2	spot_graph_steps	213	-0.11380080986636337
GSM8943589	sub-UTD-181030DHB	P10	3+	spot_graph_steps	3181	-0.10015757135806999
GSM8943590	sub-UTD-181030DHB	P8	0	spot_graph_steps	8	-0.05518613555667624
GSM8943590	sub-UTD-181030DHB	P8	1	spot_graph_steps	55	-0.05864233549533883
GSM8943590	sub-UTD-181030DHB	P8	2	spot_graph_steps	105	-0.05370570794044841
GSM8943590	sub-UTD-181030DHB	P8	3+	spot_graph_steps	3228	-0.047643884532261545
GSM8943590	sub-UTD-181030DHB	P7	0	spot_graph_steps	8	0.005415493762778653
GSM8943590	sub-UTD-181030DHB	P7	1	spot_graph_steps	55	0.023013224327955512
GSM8943590	sub-UTD-181030DHB	P7	2	spot_graph_steps	105	0.017585561612374224
GSM8943590	sub-UTD-181030DHB	P7	3+	spot_graph_steps	3228	0.01920331996217109
GSM8943590	sub-UTD-181030DHB	P6	0	spot_graph_steps	8	-0.012775508413263602
GSM8943590	sub-UTD-181030DHB	P6	1	spot_graph_steps	55	-0.030095331868986695
GSM8943590	sub-UTD-181030DHB	P6	2	spot_graph_steps	105	-0.030674768972145043
GSM8943590	sub-UTD-181030DHB	P6	3+	spot_graph_steps	3228	-0.02796757055330002
GSM8943590	sub-UTD-181030DHB	P1	0	spot_graph_steps	8	-0.041677666070072776
GSM8943590	sub-UTD-181030DHB	P1	1	spot_graph_steps	55	-0.03519923011806429
GSM8943590	sub-UTD-181030DHB	P1	2	spot_graph_steps	105	-0.03551175701251604
GSM8943590	sub-UTD-181030DHB	P1	3+	spot_graph_steps	3228	-0.033282267117474854
GSM8943590	sub-UTD-181030DHB	P2	0	spot_graph_steps	8	-0.052813834998458604
GSM8943590	sub-UTD-181030DHB	P2	1	spot_graph_steps	55	-0.05703024685046154
GSM8943590	sub-UTD-181030DHB	P2	2	spot_graph_steps	105	-0.05227070197577301
GSM8943590	sub-UTD-181030DHB	P2	3+	spot_graph_steps	3228	-0.046431326545489024
GSM8943590	sub-UTD-181030DHB	P3	0	spot_graph_steps	8	-0.005524778812183037
GSM8943590	sub-UTD-181030DHB	P3	1	spot_graph_steps	55	0.002075010821381228
GSM8943590	sub-UTD-181030DHB	P3	2	spot_graph_steps	105	-0.002143445528895089
GSM8943590	sub-UTD-181030DHB	P3	3+	spot_graph_steps	3228	0.0007306559631980859
GSM8943590	sub-UTD-181030DHB	P4	0	spot_graph_steps	8	-0.13174289978232334
GSM8943590	sub-UTD-181030DHB	P4	1	spot_graph_steps	55	-0.1212769614477403
GSM8943590	sub-UTD-181030DHB	P4	2	spot_graph_steps	105	-0.11434999241316664
GSM8943590	sub-UTD-181030DHB	P4	3+	spot_graph_steps	3228	-0.10720856619060601
GSM8943590	sub-UTD-181030DHB	P5	0	spot_graph_steps	8	0.10865739635622594
GSM8943590	sub-UTD-181030DHB	P5	1	spot_graph_steps	55	0.0800191568378843
GSM8943590	sub-UTD-181030DHB	P5	2	spot_graph_steps	105	0.07632622639053782
GSM8943590	sub-UTD-181030DHB	P5	3+	spot_graph_steps	3228	0.0710783093456795
GSM8943590	sub-UTD-181030DHB	P10	0	spot_graph_steps	8	-0.14009217227931736
GSM8943590	sub-UTD-181030DHB	P10	1	spot_graph_steps	55	-0.13137731985700557
GSM8943590	sub-UTD-181030DHB	P10	2	spot_graph_steps	105	-0.12294215744028358
GSM8943590	sub-UTD-181030DHB	P10	3+	spot_graph_steps	3228	-0.11530475690481945
GSM8943591	sub-UTD-DN0134	P8	0	spot_graph_steps	102	-0.043003667569083456
GSM8943591	sub-UTD-DN0134	P8	1	spot_graph_steps	462	-0.04297550294887159
GSM8943591	sub-UTD-DN0134	P8	2	spot_graph_steps	493	-0.03603809528495376
GSM8943591	sub-UTD-DN0134	P8	3+	spot_graph_steps	1644	-0.015113559809660707
GSM8943591	sub-UTD-DN0134	P7	0	spot_graph_steps	102	0.016951088944152176
GSM8943591	sub-UTD-DN0134	P7	1	spot_graph_steps	462	0.01964574546108145
GSM8943591	sub-UTD-DN0134	P7	2	spot_graph_steps	493	0.01577171871264037
GSM8943591	sub-UTD-DN0134	P7	3+	spot_graph_steps	1644	0.012022755695526672
GSM8943591	sub-UTD-DN0134	P6	0	spot_graph_steps	102	-0.02995599704957798
GSM8943591	sub-UTD-DN0134	P6	1	spot_graph_steps	462	-0.028103044527019044
GSM8943591	sub-UTD-DN0134	P6	2	spot_graph_steps	493	-0.024145590738636938
GSM8943591	sub-UTD-DN0134	P6	3+	spot_graph_steps	1644	-0.011299473169302094
GSM8943591	sub-UTD-DN0134	P1	0	spot_graph_steps	102	-0.01742917977944731
GSM8943591	sub-UTD-DN0134	P1	1	spot_graph_steps	462	-0.019635863501582734
GSM8943591	sub-UTD-DN0134	P1	2	spot_graph_steps	493	-0.019272672565524875
