program	symptom	n	status	beta_program	hc3_se	ci_low	ci_high	P	partial_R2	delta_adjusted_R2	model_version	BH_q	AIC_difference
P6	worst_pain_nrs	102	COMPLETED	0.0036552041164043	0.112052497517765	-0.218737985757878	0.226048393990687	0.974044281886336	1.39726755528639e-05	-0.0096958845310952	age_sex_bmi	0.998709160335763	NA
P6	burning_superficial	100	COMPLETED	-0.014919690292518	0.0932954334692184	-0.200134543209764	0.170295162624728	0.873284599657739	0.0002496970140893	-0.0089881866639177	age_sex_bmi	0.998709160335763	NA
P6	pressing_deep	100	COMPLETED	0.0194233148324268	0.11330716218657	-0.205519842602821	0.244366472267674	0.864256744238828	0.0004003996678296	-0.0093590802805153	age_sex_bmi	0.998709160335763	NA
P6	paroxysmal	100	COMPLETED	0.0174136515763779	0.122330891584566	-0.225443873701605	0.26027117685436	0.887105991902869	0.0003069586527563	-0.0099040476821227	age_sex_bmi	0.998709160335763	NA
P6	evoked	100	COMPLETED	0.0829306631586511	0.111455448234183	-0.138336377294415	0.304197703611717	0.458670565289913	0.0072689211280809	-0.0029534813031892	age_sex_bmi	0.998709160335763	NA
P6	paresthesia_dysesthesia	100	COMPLETED	0.0112039286192753	0.116333565050162	-0.219747398137931	0.242155255376482	0.923478318936233	0.0001302596148751	-0.0098303475330019	age_sex_bmi	0.998709160335763	NA
P7	npsi_total	100	COMPLETED	0.149250081382366	0.109291411312004	-0.0677208025993228	0.366220965364054	0.175284257355739	0.0232878454536077	0.0116469894645573	age_sex_bmi	0.998709160335763	NA
P7	average_pain_nrs	102	COMPLETED	0.113399830184921	0.103215229909768	-0.0914538297667586	0.318253490136601	0.274630094737453	0.0124417239686732	0.0021824122786957	age_sex_bmi	0.998709160335763	NA
P7	worst_pain_nrs	102	COMPLETED	0.0841553979509166	0.099766862779874	-0.113854207804175	0.282165003706008	0.40101274585423	0.0070235588956598	-0.0030262660915833	age_sex_bmi	0.998709160335763	NA
P7	burning_superficial	100	COMPLETED	0.137910488678204	0.10560078497764	-0.0717335756696246	0.347554553026032	0.194719332709108	0.0203521153595142	0.0087835088027878	age_sex_bmi	0.998709160335763	NA
P7	pressing_deep	100	COMPLETED	0.106262661119701	0.109118409113482	-0.110364770073762	0.322890092313164	0.332614636845133	0.0114321947030804	0.0009488972709107	age_sex_bmi	0.998709160335763	NA
P7	paroxysmal	100	COMPLETED	0.0518019959690519	0.111564978897978	-0.169682490344229	0.273286482282333	0.643479887488071	0.0025912803058234	-0.0076661956549274	age_sex_bmi	0.998709160335763	NA
P7	evoked	100	COMPLETED	0.14831051964757	0.095856249382832	-0.0419881956319701	0.338609234927111	0.125135629639137	0.0221771033856033	0.0110346371842769	age_sex_bmi	0.998709160335763	NA
P7	paresthesia_dysesthesia	100	COMPLETED	0.116870244918877	0.125455673160576	-0.132190756118614	0.365931245956368	0.353922243219763	0.0135206714467691	0.0029663852090311	age_sex_bmi	0.998709160335763	NA
P8	npsi_total	100	COMPLETED	-0.0053612048687661	0.101547775600691	-0.206959028283789	0.196236618546256	0.958006182568878	3.07203658165863e-05	-0.0093981296622331	age_sex_bmi	0.998709160335763	NA
P8	average_pain_nrs	102	COMPLETED	0.0036889395685852	0.112105577724063	-0.218809599821856	0.226187478959027	0.973817210897301	1.33104019699907e-05	-0.0099392400229516	age_sex_bmi	0.998709160335763	NA
P8	worst_pain_nrs	102	COMPLETED	0.0280256707481775	0.124240376885001	-0.2185570858946	0.274608427390955	0.822005652350588	0.000787476567814	-0.0089598958919857	age_sex_bmi	0.998709160335763	NA
P8	burning_superficial	100	COMPLETED	-0.0482177668766612	0.0758470797921335	-0.198793258146956	0.102357724393633	0.526485181405165	0.0025434931123038	-0.0069603388189611	age_sex_bmi	0.998709160335763	NA
P8	pressing_deep	100	COMPLETED	-0.0343766815317071	0.100659483376148	-0.23421102191655	0.165457658853136	0.733470478530302	0.0012232002407304	-0.0085902652501723	age_sex_bmi	0.998709160335763	NA
P8	paroxysmal	100	COMPLETED	-0.020268788302145	0.113116954271561	-0.244834335283246	0.204296758678956	0.858174556728601	0.0004055817450422	-0.0098074308651767	age_sex_bmi	0.998709160335763	NA
P8	evoked	100	COMPLETED	0.0488543267155593	0.119332050376389	-0.188049746044535	0.285758399475654	0.683169056150712	0.0024601885450465	-0.0074654412446557	age_sex_bmi	0.998709160335763	NA
P8	paresthesia_dysesthesia	100	COMPLETED	-0.0139708823784313	0.112179368784838	-0.236675086831145	0.208733322074282	0.901150428165734	0.0001975329015243	-0.0097660568837872	age_sex_bmi	0.998709160335763	NA
P9	npsi_total	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	age_sex_bmi	NA	NA
P9	average_pain_nrs	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	age_sex_bmi	NA	NA
P9	worst_pain_nrs	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	age_sex_bmi	NA	NA
P9	burning_superficial	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	age_sex_bmi	NA	NA
P9	pressing_deep	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	age_sex_bmi	NA	NA
P9	paroxysmal	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	age_sex_bmi	NA	NA
P9	evoked	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	age_sex_bmi	NA	NA
P9	paresthesia_dysesthesia	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	age_sex_bmi	NA	NA
P10	npsi_total	100	COMPLETED	-0.0185934988472532	0.100797810308129	-0.218702452912623	0.181515455218117	0.854043201428381	0.0003477853407091	-0.0091112210205865	age_sex_bmi	0.998709160335763	NA
P10	average_pain_nrs	102	COMPLETED	0.0074097527791605	0.105437053085758	-0.201853611145131	0.216673116703452	0.944118226171474	5.02494655134083e-05	-0.0099032126987707	age_sex_bmi	0.998709160335763	NA
P10	worst_pain_nrs	102	COMPLETED	0.0167815575358133	0.105795329164191	-0.193192885228338	0.226756000299965	0.874295799206133	0.000264195892696	-0.0094577972416822	age_sex_bmi	0.998709160335763	NA
P10	burning_superficial	100	COMPLETED	-0.0382597555190061	0.0960944134213415	-0.229031286194997	0.152511775156984	0.691414779638298	0.0015072601422456	-0.0078764284386275	age_sex_bmi	0.998709160335763	NA
P10	pressing_deep	100	COMPLETED	-0.0509847396768796	0.113674759923585	-0.276657670888424	0.174688191534665	0.654803506287972	0.0025324304232717	-0.0073669362009867	age_sex_bmi	0.998709160335763	NA
P10	paroxysmal	100	COMPLETED	0.0267035352578998	0.107662990651189	-0.187034524972776	0.240441595488575	0.804647361698969	0.0006625944621668	-0.009555646520682	age_sex_bmi	0.998709160335763	NA
P10	evoked	100	COMPLETED	-0.0263468956787426	0.117382885245008	-0.259381386405766	0.206687595048281	0.822887177536031	0.0006734551595281	-0.0091419057438427	age_sex_bmi	0.998709160335763	NA
P10	paresthesia_dysesthesia	100	COMPLETED	0.0198662445833883	0.0959672124995847	-0.170652760335038	0.210385249501814	0.836444531169102	0.0003759332853238	-0.0095955660832636	age_sex_bmi	0.998709160335763	NA
