program	symptom	n	term	beta	hc3_se	ci_low	ci_high	P	status	BH_q_pairwise
P7	npsi_total	95	treatmentAZD2423 150 mg:xb_z	0.114891147044187	0.211202562614955	-0.305036130180076	0.53481842426845	0.587875488191262	COMPLETED	0.948517192714509
P7	npsi_total	95	treatmentAZD2423 20 mg:xb_z	0.181444294014763	0.220918497227927	-0.25780086419162	0.620689452221145	0.41376295608251	COMPLETED	0.948517192714509
P7	average_pain_nrs	101	treatmentAZD2423 150 mg:xb_z	0.201736638389423	0.262712325702418	-0.320109123570044	0.723582400348889	0.444535002616464	COMPLETED	0.948517192714509
P7	average_pain_nrs	101	treatmentAZD2423 20 mg:xb_z	0.107640969618819	0.267180766510377	-0.423080801077449	0.638362740315087	0.687983684318203	COMPLETED	0.948517192714509
P7	worst_pain_nrs	101	treatmentAZD2423 150 mg:xb_z	0.21942443242595	0.291084469032528	-0.358779106866338	0.797627971718237	0.452905178485889	COMPLETED	0.948517192714509
P7	worst_pain_nrs	101	treatmentAZD2423 20 mg:xb_z	0.235751291897611	0.293570320262073	-0.347390085486328	0.81889266928155	0.424039048204492	COMPLETED	0.948517192714509
P7	burning_superficial	95	treatmentAZD2423 150 mg:xb_z	-0.0593962661058191	0.256299871433413	-0.568989075167412	0.450196542955773	0.817292919129095	COMPLETED	0.959756822463525
P7	burning_superficial	95	treatmentAZD2423 20 mg:xb_z	-0.0343731202675839	0.267361643311055	-0.565959695353326	0.497213454818158	0.898006249015301	COMPLETED	0.961942097882373
P7	pressing_deep	95	treatmentAZD2423 150 mg:xb_z	-0.0409345343052834	0.223631733745302	-0.485574333604559	0.403705264993992	0.855199092863898	COMPLETED	0.961385956943818
P7	pressing_deep	95	treatmentAZD2423 20 mg:xb_z	-0.132918138409206	0.232206216646561	-0.594606306884266	0.328770030065855	0.568552348665359	COMPLETED	0.948517192714509
P7	paroxysmal	95	treatmentAZD2423 150 mg:xb_z	-0.0265470922260568	0.253524917559853	-0.53062254955612	0.477528365104007	0.916851062044136	COMPLETED	0.961942097882373
P7	paroxysmal	95	treatmentAZD2423 20 mg:xb_z	0.341033445239425	0.243521597419022	-0.143152731686405	0.825219622165254	0.165026292622953	COMPLETED	0.948517192714509
P7	evoked	95	treatmentAZD2423 150 mg:xb_z	0.041649614907616	0.223060256662905	-0.40185393484887	0.485153164664102	0.852325800605501	COMPLETED	0.961385956943818
P7	evoked	95	treatmentAZD2423 20 mg:xb_z	0.0586740077355468	0.217643171377873	-0.374058925196644	0.491406940667737	0.788130540237963	COMPLETED	0.959756822463525
P7	paresthesia_dysesthesia	95	treatmentAZD2423 150 mg:xb_z	0.354936580007794	0.238684419416282	-0.119631991132433	0.829505151148022	0.140700810059469	COMPLETED	0.948517192714509
P7	paresthesia_dysesthesia	95	treatmentAZD2423 20 mg:xb_z	0.436231977128219	0.225976458373035	-0.0130697629002488	0.885533717156686	0.0568877476318087	COMPLETED	0.948517192714509
