program	symptom	n_paired	status	beta_delta_program	hc3_se	ci_low	ci_high	P	partial_R2	delta_adjusted_R2	model_version	BH_q
P2	burning_superficial	95	COMPLETED	-0.0934032245368892	0.0824056856210505	-0.257193447727315	0.0703869986535362	0.260136580691461	0.0120818625747416	0.000520794338799	baseline_symptom_treatment_age_sex_bmi	0.558119439310929
P2	pressing_deep	95	COMPLETED	-0.105111738739404	0.0796809516089219	-0.263486258042195	0.0532627805633871	0.190577867019455	0.0153834092422552	0.0029417454390494	baseline_symptom_treatment_age_sex_bmi	0.521265834025515
P2	paroxysmal	95	COMPLETED	-0.0208952873403434	0.104405078471553	-0.22841168595036	0.186621111269673	0.841840759043569	0.0005365386931211	-0.0089731324633092	baseline_symptom_treatment_age_sex_bmi	0.909219865962133
P2	evoked	95	COMPLETED	-0.0498279834032112	0.0936873659382499	-0.236041767822343	0.13638580101592	0.596182770057372	0.0031386060101832	-0.0066296522332191	baseline_symptom_treatment_age_sex_bmi	0.86821110685268
P2	paresthesia_dysesthesia	95	COMPLETED	-0.118660063092821	0.0956932698197029	-0.3088607986788	0.0715406724931574	0.218307915161973	0.0161994628029731	0.0042734271785248	baseline_symptom_treatment_age_sex_bmi	0.528421061694447
P3	npsi_total	95	COMPLETED	-0.138513738869373	0.105017788497847	-0.347247965001863	0.0702204872631162	0.190645330275737	0.0211922629975898	0.0090199780729566	baseline_symptom_treatment_age_sex_bmi	0.521265834025515
P3	average_pain_nrs	101	COMPLETED	0.034224717840717	0.100615738874005	-0.165578198967028	0.234027634648462	0.734508609996673	0.0011421155219909	-0.0097628374658	baseline_symptom_treatment_age_sex_bmi	0.902197686866486
P3	worst_pain_nrs	101	COMPLETED	0.0156168466443046	0.101753329130032	-0.18644509895784	0.217678792246449	0.878354266398751	0.0002370904064041	-0.010646708956314	baseline_symptom_treatment_age_sex_bmi	0.921552017205247
P3	burning_superficial	95	COMPLETED	-0.142926845415674	0.0995074822597482	-0.340708741235227	0.0548550504038794	0.154491082512037	0.0286176031645744	0.0125110558384235	baseline_symptom_treatment_age_sex_bmi	0.494371464038519
P3	pressing_deep	95	COMPLETED	-0.177596022222843	0.103715347320149	-0.383741505484257	0.0285494610385718	0.0903961553414488	0.0436397129771526	0.0236202402561735	baseline_symptom_treatment_age_sex_bmi	0.367319748817238
P3	paroxysmal	95	COMPLETED	-0.0182349402225401	0.0925504146893715	-0.202188910923638	0.165719030478557	0.844265891862582	0.0004027199224289	-0.0090840369357762	baseline_symptom_treatment_age_sex_bmi	0.909219865962133
P3	evoked	95	COMPLETED	-0.0499444019657831	0.100928515169767	-0.2505507545657	0.150661950634133	0.621953932741317	0.0031440358598602	-0.0066252755910075	baseline_symptom_treatment_age_sex_bmi	0.86821110685268
P3	paresthesia_dysesthesia	95	COMPLETED	-0.188765691643697	0.0957850592349281	-0.37914886863154	0.0016174853441455	0.0519350499024012	0.0409615665281708	0.0261557358974509	baseline_symptom_treatment_age_sex_bmi	0.248387322071194
P4	npsi_total	95	COMPLETED	0.246698253720744	0.0932166981075168	0.0614199725798553	0.431976534861633	0.0096522865008818	0.0675689087372233	0.0515809932837367	baseline_symptom_treatment_age_sex_bmi	0.059229683969247
P4	average_pain_nrs	101	COMPLETED	0.0269106047455627	0.110812998376977	-0.193142048484539	0.246963257975665	0.808658720982778	0.0007043047369861	-0.0102129420843804	baseline_symptom_treatment_age_sex_bmi	0.909219865962133
P4	worst_pain_nrs	101	COMPLETED	0.0547840264733536	0.110088376090158	-0.163829670504868	0.273397723451575	0.619914684738615	0.002926518876309	-0.0078938014432512	baseline_symptom_treatment_age_sex_bmi	0.86821110685268
P4	burning_superficial	95	COMPLETED	0.284166456561453	0.0850150808516773	0.115189777800695	0.453143135322211	0.0012254218497601	0.113384772899946	0.0739767353577966	baseline_symptom_treatment_age_sex_bmi	0.0230634689994652
P4	pressing_deep	95	COMPLETED	0.260452943365724	0.0874078249510242	0.0867204266173806	0.434185460114067	0.0037390398603362	0.0948212313549606	0.0610758385693005	baseline_symptom_treatment_age_sex_bmi	0.0349069508227959
P4	paroxysmal	95	COMPLETED	0.0699927966758649	0.107621167627391	-0.143915927374622	0.283901520726352	0.517171747688024	0.0058138500147291	-0.0045994752765021	baseline_symptom_treatment_age_sex_bmi	0.86821110685268
P4	evoked	95	COMPLETED	0.130641356280327	0.0859096660785063	-0.0401134074858638	0.301396120046518	0.131965682091316	0.0216698780359643	0.0083071788410314	baseline_symptom_treatment_age_sex_bmi	0.454547245413548
P4	paresthesia_dysesthesia	95	COMPLETED	0.272635547409608	0.0846640887093992	0.104356503537615	0.440914591281602	0.0018018335155832	0.0860720757194223	0.0660199614715662	baseline_symptom_treatment_age_sex_bmi	0.0230634689994652
P5	npsi_total	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	baseline_symptom_treatment_age_sex_bmi	NA
P5	average_pain_nrs	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	baseline_symptom_treatment_age_sex_bmi	NA
P5	worst_pain_nrs	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	baseline_symptom_treatment_age_sex_bmi	NA
P5	burning_superficial	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	baseline_symptom_treatment_age_sex_bmi	NA
P5	pressing_deep	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	baseline_symptom_treatment_age_sex_bmi	NA
P5	paroxysmal	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	baseline_symptom_treatment_age_sex_bmi	NA
P5	evoked	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	baseline_symptom_treatment_age_sex_bmi	NA
P5	paresthesia_dysesthesia	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	baseline_symptom_treatment_age_sex_bmi	NA
P6	npsi_total	95	COMPLETED	-0.0920318772940189	0.0930978984970363	-0.277074031345267	0.0930102767572292	0.32562501548168	0.0094335284284281	-0.0017713086377578	baseline_symptom_treatment_age_sex_bmi	0.631515181540227
P6	average_pain_nrs	101	COMPLETED	-0.022420584466057	0.11424333615884	-0.249285208687201	0.204444039755087	0.844840443194998	0.0005001420245312	-0.0104228377355735	baseline_symptom_treatment_age_sex_bmi	0.909219865962133
P6	worst_pain_nrs	101	COMPLETED	-0.0038697224347749	0.11636237086101	-0.234942329612151	0.227202884742601	0.973541880473709	1.48428008070534e-05	-0.0108742023104058	baseline_symptom_treatment_age_sex_bmi	0.980028808015328
P6	burning_superficial	95	COMPLETED	-0.0770483097615426	0.0872238872106585	-0.250415230333838	0.0963186108107532	0.379487275093288	0.0082024366005498	-0.0022922234178772	baseline_symptom_treatment_age_sex_bmi	0.714328988410895
P6	pressing_deep	95	COMPLETED	-0.0647309713263924	0.0854853088044187	-0.234642279060254	0.105180336407469	0.450965524957274	0.0057621080412554	-0.0040993038392093	baseline_symptom_treatment_age_sex_bmi	0.824622674207587
P6	paroxysmal	95	COMPLETED	-0.0435508182746729	0.0885353588752104	-0.219524430788502	0.132422794239156	0.624026733050363	0.0023387410855462	-0.0074795280565657	baseline_symptom_treatment_age_sex_bmi	0.86821110685268
P6	evoked	95	COMPLETED	-0.0457388035119615	0.0899644681067933	-0.22455292536978	0.133075318345857	0.612452875546953	0.0026532715873196	-0.0070208481683252	baseline_symptom_treatment_age_sex_bmi	0.86821110685268
P6	paresthesia_dysesthesia	95	COMPLETED	-0.116242403673193	0.0946370716545112	-0.304343831039038	0.0718590236926517	0.222648118034894	0.0154933850805014	0.0036494652214086	baseline_symptom_treatment_age_sex_bmi	0.528421061694447
P7	npsi_total	95	COMPLETED	-0.130475399057409	0.109705532583863	-0.348527024157234	0.0875762260424157	0.237548122098287	0.019192817211619	0.007185036344148	baseline_symptom_treatment_age_sex_bmi	0.542967136224656
P7	average_pain_nrs	101	COMPLETED	0.0700315262614671	0.101682196534245	-0.131889164102904	0.271952216625839	0.492708118316623	0.0048702531512438	-0.0059300128230432	baseline_symptom_treatment_age_sex_bmi	0.852251880331456
P7	worst_pain_nrs	101	COMPLETED	0.0306441945255764	0.103645272911266	-0.175174776469984	0.236463165521137	0.768145695712977	0.0009320427709615	-0.0099353535114608	baseline_symptom_treatment_age_sex_bmi	0.902197686866486
P7	burning_superficial	95	COMPLETED	-0.13872361525429	0.102006812509644	-0.341473200576962	0.0640259700683821	0.177361259736479	0.0273681349733172	0.0116050516430113	baseline_symptom_treatment_age_sex_bmi	0.521265834025515
P7	pressing_deep	95	COMPLETED	-0.195422756217297	0.100190662964912	-0.394562547664255	0.0037170352296615	0.0543347267030738	0.0541083256816033	0.0312813680378692	baseline_symptom_treatment_age_sex_bmi	0.248387322071194
P7	paroxysmal	95	COMPLETED	0.0024784596710926	0.0987242503419704	-0.19374667790228	0.198703597244466	0.980028808015328	7.55890828822548e-06	-0.009411533023105	baseline_symptom_treatment_age_sex_bmi	0.980028808015328
P7	evoked	95	COMPLETED	-0.0459125499856744	0.10443082468302	-0.253480121978821	0.161655022007473	0.661283999564436	0.0027104428542321	-0.006974766196457	baseline_symptom_treatment_age_sex_bmi	0.900471829194126
P7	paresthesia_dysesthesia	95	COMPLETED	-0.171806570165959	0.100787448503581	-0.372132537491908	0.0285193971599896	0.0918299372043094	0.0345884169155311	0.0205237738927941	baseline_symptom_treatment_age_sex_bmi	0.367319748817238
P8	npsi_total	95	COMPLETED	-0.102431498036041	0.0951487512530996	-0.29154994400956	0.0866869479374787	0.284661748259345	0.0116416981724144	0.000255184321423	baseline_symptom_treatment_age_sex_bmi	0.56932349651869
P8	average_pain_nrs	101	COMPLETED	-0.0333474713764474	0.116499210898287	-0.264691815748122	0.197996872995227	0.775326137150886	0.0011042145741898	-0.009801802681455	baseline_symptom_treatment_age_sex_bmi	0.902197686866486
P8	worst_pain_nrs	101	COMPLETED	-0.0417831561142583	0.126792642320191	-0.293568215279395	0.210001903050878	0.742489168286632	0.0017146122297274	-0.0091343129310406	baseline_symptom_treatment_age_sex_bmi	0.902197686866486
P8	burning_superficial	95	COMPLETED	-0.0933520207614136	0.0826187673291447	-0.257565766919502	0.070861725396675	0.261618487176998	0.012062487639767	0.0005067453437981	baseline_symptom_treatment_age_sex_bmi	0.558119439310929
P8	pressing_deep	95	COMPLETED	-0.104859715229365	0.0803778270773781	-0.264619349984496	0.054899919525766	0.195474687759568	0.0152995238417536	0.0028803565243571	baseline_symptom_treatment_age_sex_bmi	0.521265834025515
P8	paroxysmal	95	COMPLETED	-0.0196656252211913	0.105378308559843	-0.229116424014584	0.189785173572202	0.8523936243395	0.0004747640864849	-0.0090243291685651	baseline_symptom_treatment_age_sex_bmi	0.909219865962133
P8	evoked	95	COMPLETED	-0.0481804893950841	0.0939948869385093	-0.235005505101094	0.138644526310925	0.609539725446559	0.002932151645594	-0.0067960614232693	baseline_symptom_treatment_age_sex_bmi	0.86821110685268
P8	paresthesia_dysesthesia	95	COMPLETED	-0.117274007336052	0.0955351359314101	-0.307160434696061	0.0726124200239558	0.222927635402345	0.015815340276783	0.0039339775179761	baseline_symptom_treatment_age_sex_bmi	0.528421061694447
P9	npsi_total	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	baseline_symptom_treatment_age_sex_bmi	NA
P9	average_pain_nrs	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	baseline_symptom_treatment_age_sex_bmi	NA
P9	worst_pain_nrs	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	baseline_symptom_treatment_age_sex_bmi	NA
P9	burning_superficial	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	baseline_symptom_treatment_age_sex_bmi	NA
P9	pressing_deep	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	baseline_symptom_treatment_age_sex_bmi	NA
P9	paroxysmal	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	baseline_symptom_treatment_age_sex_bmi	NA
P9	evoked	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	baseline_symptom_treatment_age_sex_bmi	NA
P9	paresthesia_dysesthesia	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	baseline_symptom_treatment_age_sex_bmi	NA
P10	npsi_total	95	COMPLETED	0.234554556544578	0.090393212238684	0.0548882592995311	0.414220853789625	0.0111055657442338	0.0611598485296409	0.0456992373992524	baseline_symptom_treatment_age_sex_bmi	0.059229683969247
P10	average_pain_nrs	101	COMPLETED	0.0053487459368133	0.10928078543297	-0.211661236049115	0.222358727922742	0.961068104181724	2.79929924146439e-05	-0.0109082448276159	baseline_symptom_treatment_age_sex_bmi	0.980028808015328
P10	worst_pain_nrs	101	COMPLETED	0.0358102994477108	0.109003172967729	-0.180648399201057	0.252268998096478	0.743253104214209	0.0012540124720866	-0.0096057843040526	baseline_symptom_treatment_age_sex_bmi	0.902197686866486
P10	burning_superficial	95	COMPLETED	0.274508949121638	0.0830080046823128	0.109521551576889	0.439496346666388	0.0013718898202555	0.106058432856691	0.0686643193534112	baseline_symptom_treatment_age_sex_bmi	0.0230634689994652
P10	pressing_deep	95	COMPLETED	0.251565142570588	0.0859396672826929	0.0807507481624986	0.422379536978678	0.0043633688528494	0.0883524186920974	0.0563418397286538	baseline_symptom_treatment_age_sex_bmi	0.0349069508227959
P10	paroxysmal	95	COMPLETED	0.0593737692343013	0.108623470440639	-0.156527140188458	0.275274678657061	0.586051605725922	0.0041842031860577	-0.0059500714664583	baseline_symptom_treatment_age_sex_bmi	0.86821110685268
P10	evoked	95	COMPLETED	0.124306051125078	0.0823810847182642	-0.0394352751072351	0.28804737735739	0.134943713482147	0.019566007233698	0.0066113879243701	baseline_symptom_treatment_age_sex_bmi	0.454547245413548
P10	paresthesia_dysesthesia	95	COMPLETED	0.248295621248732	0.0839329066518391	0.081469880889694	0.415121361607769	0.0039837078168731	0.0712313447658003	0.0529051849588089	baseline_symptom_treatment_age_sex_bmi	0.0349069508227959
