program	symptom	n	status	treatment_levels	interaction_df	wald_chisq	P_omnibus	residual_df	BH_q_omnibus
P9	worst_pain_nrs	0	NE_LOW_ARM_N	Placebo|AZD2423 150 mg|AZD2423 20 mg	NA	NA	NA	NA	NA
P9	burning_superficial	0	NE_LOW_ARM_N	Placebo|AZD2423 150 mg|AZD2423 20 mg	NA	NA	NA	NA	NA
P9	pressing_deep	0	NE_LOW_ARM_N	Placebo|AZD2423 150 mg|AZD2423 20 mg	NA	NA	NA	NA	NA
P9	paroxysmal	0	NE_LOW_ARM_N	Placebo|AZD2423 150 mg|AZD2423 20 mg	NA	NA	NA	NA	NA
P9	evoked	0	NE_LOW_ARM_N	Placebo|AZD2423 150 mg|AZD2423 20 mg	NA	NA	NA	NA	NA
P9	paresthesia_dysesthesia	0	NE_LOW_ARM_N	Placebo|AZD2423 150 mg|AZD2423 20 mg	NA	NA	NA	NA	NA
P10	npsi_total	95	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	2.21320455661586	0.33068061516118	85.0	0.99812968222788
P10	average_pain_nrs	101	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	2.23823384129866	0.326568052830914	91.0	0.99812968222788
P10	worst_pain_nrs	101	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	0.863652490541518	0.649322189685226	91.0	0.99812968222788
P10	burning_superficial	95	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	1.23158179347595	0.540213473234442	85.0	0.99812968222788
P10	pressing_deep	95	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	1.24390093573549	0.536896216847271	85.0	0.99812968222788
P10	paroxysmal	95	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	1.87331349250704	0.391935988858634	85.0	0.99812968222788
P10	evoked	95	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	2.54949774456882	0.279501149894035	85.0	0.99812968222788
P10	paresthesia_dysesthesia	95	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	0.656046286079845	0.720346348508089	85.0	0.99812968222788
