resource	comparison	module_id	block	removed_genes	remaining_up	remaining_down	delta_S_full	delta_S_after_block_removal	change_in_delta_S	status
GSE250152	Morton minus control	original_severity	brown	28	309	118	0.008630980787842494	0.004759721523119263	-0.0038712592647232313	COMPLETED
GSE250152	Morton minus control	original_severity	green	14	310	131	0.008630980787842494	0.007415744310598414	-0.00121523647724408	COMPLETED
GSE250152	Morton minus control	original_severity	magenta	3	318	134	0.008630980787842494	0.00834371214337773	-0.0002872686444647648	COMPLETED
GSE250152	Morton minus control	original_severity	pink	3	319	133	0.008630980787842494	0.008918970572820041	0.00028798978497754715	COMPLETED
GSE250152	Morton minus control	original_severity	red	10	317	128	0.008630980787842494	0.00896176956680916	0.00033078877896666574	COMPLETED
GSE250152	Morton minus control	original_severity	turquoise	36	288	131	0.008630980787842494	0.00850225511329986	-0.00012872567454263496	COMPLETED
GSE250152	Morton minus control	original_severity	yellow	25	308	122	0.008630980787842494	0.008762779624265821	0.0001317988364233271	COMPLETED
GSE250152	Morton minus control	original_xenium	black	2	16	40	-0.021598047439000345	-0.019690683189783408	0.001907364249216937	COMPLETED
GSE250152	Morton minus control	original_xenium	blue	4	16	38	-0.021598047439000345	-0.02229017257478754	-0.0006921251357871958	COMPLETED
GSE250152	Morton minus control	original_xenium	brown	1	16	41	-0.021598047439000345	-0.021698402771384878	-0.00010035533238453298	COMPLETED
GSE250152	Morton minus control	original_xenium	pink	1	16	41	-0.021598047439000345	-0.02149872853784131	9.931890115903383e-05	COMPLETED
GSE250152	Morton minus control	original_xenium	red	1	16	41	-0.021598047439000345	-0.02043371196334831	0.001164335475652034	COMPLETED
GSE250152	Morton minus control	original_xenium	turquoise	3	16	39	-0.021598047439000345	-0.019031244528636023	0.002566802910364322	COMPLETED
GSE250152	Morton minus control	original_xenium	yellow	5	15	38	-0.021598047439000345	-0.025415291441125067	-0.0038172440021247214	COMPLETED
GSE250152	Morton minus control	severity_neuron_residual	black	2	219	116	0.010141420888475148	0.012109305818029551	0.0019678849295544035	COMPLETED
GSE250152	Morton minus control	severity_neuron_residual	blue	31	208	98	0.010141420888475148	0.013798184314957926	0.0036567634264827783	COMPLETED
GSE250152	Morton minus control	severity_neuron_residual	brown	23	210	104	0.010141420888475148	0.005411530000937761	-0.004729890887537387	COMPLETED
GSE250152	Morton minus control	severity_neuron_residual	green	11	211	115	0.010141420888475148	0.008365490682301264	-0.0017759302061738837	COMPLETED
GSE250152	Morton minus control	severity_neuron_residual	magenta	2	217	118	0.010141420888475148	0.009878828221410025	-0.0002625926670651226	COMPLETED
GSE250152	Morton minus control	severity_neuron_residual	pink	2	218	117	0.010141420888475148	0.010486007945778184	0.00034458705730303595	COMPLETED
GSE250152	Morton minus control	severity_neuron_residual	red	8	217	112	0.010141420888475148	0.010669540316389357	0.0005281194279142098	COMPLETED
GSE250152	Morton minus control	severity_neuron_residual	turquoise	27	195	115	0.010141420888475148	0.01002746143426911	-0.00011395945420603765	COMPLETED
GSE250152	Morton minus control	severity_neuron_residual	yellow	19	211	107	0.010141420888475148	0.01028840898595497	0.00014698809747982176	COMPLETED
