gene	module	gene_id	current_symbol	mapping_method	is_non_grey	candidate	include_in_block_map	exclusion_reason
GDF10	blue	2662	GDF10	unique_official_exact	True	True	True	included
C1R	blue	715	C1R	unique_official_exact	True	True	True	included
ADRA2A	yellow	150	ADRA2A	unique_official_exact	True	True	True	included
RYR2	pink	6262	RYR2	unique_official_exact	True	True	True	included
NPIPB5	turquoise	100132247	NPIPB5	unique_official_exact	True	True	True	included
ATP1A2	brown	477	ATP1A2	unique_official_exact	True	True	True	included
RPPH1	grey	85495	RPPH1	unique_official_exact	False	False	False	grey_not_a_network_block
HLA-DOA	red	3111	HLA-DOA	unique_official_exact	True	True	True	included
CTSS	blue	1520	CTSS	unique_official_exact	True	True	True	included
IGFBP3	yellow	3486	IGFBP3	unique_official_exact	True	True	True	included
RASSF2	red	9770	RASSF2	unique_official_exact	True	True	True	included
LDLR	black	3949	LDLR	unique_official_exact	True	True	True	included
GAP43	brown	2596	GAP43	unique_official_exact	True	True	True	included
ITGA11	blue	22801	ITGA11	unique_official_exact	True	True	True	included
NR1D1	grey	9572	NR1D1	unique_official_exact	False	False	False	grey_not_a_network_block
CD14	blue	929	CD14	unique_official_exact	True	True	True	included
NRBP2	turquoise	340371	NRBP2	unique_official_exact	True	True	True	included
LMOD1	pink	25802	LMOD1	unique_official_exact	True	True	True	included
GATM	brown	2628	GATM	unique_official_exact	True	True	True	included
LOC100190986	turquoise	100190986	LOC100190986	unique_official_exact	True	True	True	included
LUC7L3	turquoise	51747	LUC7L3	unique_official_exact	True	True	True	included
LGI4	brown	163175	LGI4	unique_official_exact	True	True	True	included
SORBS2	pink	8470	SORBS2	unique_official_exact	True	True	True	included
ANGPTL2	blue	23452	ANGPTL2	unique_official_exact	True	True	True	included
MLIP	brown	90523	MLIP	unique_official_exact	True	True	True	included
COL12A1	blue	1303	COL12A1	unique_official_exact	True	True	True	included
SLC35F1	brown	222553	SLC35F1	unique_official_exact	True	True	True	included
FZD4	yellow	8322	FZD4	unique_official_exact	True	True	True	included
APBB1IP	yellow	54518	APBB1IP	unique_official_exact	True	True	True	included
SHANK3	turquoise	85358	SHANK3	unique_official_exact	True	True	True	included
SPEG	pink	10290	SPEG	unique_official_exact	True	True	True	included
