raw_gene	gene_input	gene_recovered_from_excel_date	human_gene_id	mapping_method	current_human_symbol	include_row
AC004149.1	AC004149.1	False		unresolved_or_ambiguous		False
AC004156.1	AC004156.1	False		unresolved_or_ambiguous		False
AC004158.1	AC004158.1	False		unresolved_or_ambiguous		False
AC004160.1	AC004160.1	False		unresolved_or_ambiguous		False
AC004160.2	AC004160.2	False		unresolved_or_ambiguous		False
AC004217.1	AC004217.1	False		unresolved_or_ambiguous		False
AC004217.2	AC004217.2	False		unresolved_or_ambiguous		False
AC004221.1	AC004221.1	False		unresolved_or_ambiguous		False
AC004223.1	AC004223.1	False		unresolved_or_ambiguous		False
AC004223.2	AC004223.2	False		unresolved_or_ambiguous		False
AC004223.4	AC004223.4	False		unresolved_or_ambiguous		False
AC004224.1	AC004224.1	False		unresolved_or_ambiguous		False
AC004231.1	AC004231.1	False		unresolved_or_ambiguous		False
AC004231.3	AC004231.3	False		unresolved_or_ambiguous		False
AC004232.3	AC004232.3	False		unresolved_or_ambiguous		False
AC004233.1	AC004233.1	False		unresolved_or_ambiguous		False
AC004233.2	AC004233.2	False		unresolved_or_ambiguous		False
AC004233.3	AC004233.3	False		unresolved_or_ambiguous		False
AC004233.4	AC004233.4	False		unresolved_or_ambiguous		False
AC004241.1	AC004241.1	False		unresolved_or_ambiguous		False
AC004241.2	AC004241.2	False		unresolved_or_ambiguous		False
AC004241.3	AC004241.3	False		unresolved_or_ambiguous		False
AC004241.4	AC004241.4	False		unresolved_or_ambiguous		False
AC004241.5	AC004241.5	False		unresolved_or_ambiguous		False
AC004253.1	AC004253.1	False		unresolved_or_ambiguous		False
AC004257.1	AC004257.1	False		unresolved_or_ambiguous		False
AC004263.1	AC004263.1	False		unresolved_or_ambiguous		False
AC004263.2	AC004263.2	False		unresolved_or_ambiguous		False
AC004264.1	AC004264.1	False		unresolved_or_ambiguous		False
AC004264.2	AC004264.2	False		unresolved_or_ambiguous		False
AC004381.1	AC004381.1	False		unresolved_or_ambiguous		False
AC004381.2	AC004381.2	False		unresolved_or_ambiguous		False
AC004383.1	AC004383.1	False		unresolved_or_ambiguous		False
AC004386.1	AC004386.1	False		unresolved_or_ambiguous		False
AC004408.1	AC004408.1	False		unresolved_or_ambiguous		False
AC004408.2	AC004408.2	False		unresolved_or_ambiguous		False
AC004448.1	AC004448.1	False		unresolved_or_ambiguous		False
AC004448.2	AC004448.2	False		unresolved_or_ambiguous		False
AC004448.3	AC004448.3	False		unresolved_or_ambiguous		False
AC004448.4	AC004448.4	False		unresolved_or_ambiguous		False
AC004448.5	AC004448.5	False		unresolved_or_ambiguous		False
AC004449.1	AC004449.1	False		unresolved_or_ambiguous		False
AC004453.1	AC004453.1	False		unresolved_or_ambiguous		False
AC004453.2	AC004453.2	False		unresolved_or_ambiguous		False
AC004461.1	AC004461.1	False		unresolved_or_ambiguous		False
AC004461.2	AC004461.2	False		unresolved_or_ambiguous		False
AC004466.1	AC004466.1	False		unresolved_or_ambiguous		False
AC004466.2	AC004466.2	False		unresolved_or_ambiguous		False
AC004466.3	AC004466.3	False		unresolved_or_ambiguous		False
AC004467.1	AC004467.1	False		unresolved_or_ambiguous		False
AC004471.1	AC004471.1	False		unresolved_or_ambiguous		False
AC004471.2	AC004471.2	False		unresolved_or_ambiguous		False
AC004477.1	AC004477.1	False		unresolved_or_ambiguous		False
AC004477.3	AC004477.3	False		unresolved_or_ambiguous		False
AC004485.1	AC004485.1	False		unresolved_or_ambiguous		False
AC004486.1	AC004486.1	False		unresolved_or_ambiguous		False
AC004490.1	AC004490.1	False		unresolved_or_ambiguous		False
AC004491.1	AC004491.1	False		unresolved_or_ambiguous		False
AC004492.1	AC004492.1	False		unresolved_or_ambiguous		False
AC004494.1	AC004494.1	False		unresolved_or_ambiguous		False
AC004520.1	AC004520.1	False		unresolved_or_ambiguous		False
AC004522.2	AC004522.2	False		unresolved_or_ambiguous		False
AC004540.1	AC004540.1	False		unresolved_or_ambiguous		False
AC004540.2	AC004540.2	False		unresolved_or_ambiguous		False
AC004543.1	AC004543.1	False		unresolved_or_ambiguous		False
AC004551.1	AC004551.1	False		unresolved_or_ambiguous		False
AC004552.1	AC004552.1	False		unresolved_or_ambiguous		False
AC004554.2	AC004554.2	False		unresolved_or_ambiguous		False
AC004584.1	AC004584.1	False		unresolved_or_ambiguous		False
AC004584.2	AC004584.2	False		unresolved_or_ambiguous		False
AC004584.3	AC004584.3	False		unresolved_or_ambiguous		False
AC004585.1	AC004585.1	False		unresolved_or_ambiguous		False
AC004593.1	AC004593.1	False		unresolved_or_ambiguous		False
AC004594.1	AC004594.1	False		unresolved_or_ambiguous		False
AC004596.1	AC004596.1	False		unresolved_or_ambiguous		False
AC004597.1	AC004597.1	False		unresolved_or_ambiguous		False
AC004623.1	AC004623.1	False		unresolved_or_ambiguous		False
AC004637.1	AC004637.1	False		unresolved_or_ambiguous		False
AC004656.1	AC004656.1	False		unresolved_or_ambiguous		False
AC004672.1	AC004672.1	False		unresolved_or_ambiguous		False
AC004672.2	AC004672.2	False		unresolved_or_ambiguous		False
AC004674.1	AC004674.1	False		unresolved_or_ambiguous		False
AC004678.1	AC004678.1	False		unresolved_or_ambiguous		False
AC004678.2	AC004678.2	False		unresolved_or_ambiguous		False
AC004686.1	AC004686.1	False		unresolved_or_ambiguous		False
AC004687.1	AC004687.1	False		unresolved_or_ambiguous		False
AC004690.2	AC004690.2	False		unresolved_or_ambiguous		False
AC004691.1	AC004691.1	False		unresolved_or_ambiguous		False
AC004692.1	AC004692.1	False		unresolved_or_ambiguous		False
AC004692.2	AC004692.2	False		unresolved_or_ambiguous		False
AC004696.1	AC004696.1	False		unresolved_or_ambiguous		False
AC004696.2	AC004696.2	False		unresolved_or_ambiguous		False
AC004704.1	AC004704.1	False		unresolved_or_ambiguous		False
AC004706.1	AC004706.1	False		unresolved_or_ambiguous		False
AC004706.3	AC004706.3	False		unresolved_or_ambiguous		False
AC004706.4	AC004706.4	False		unresolved_or_ambiguous		False
AC004707.1	AC004707.1	False		unresolved_or_ambiguous		False
AC004754.1	AC004754.1	False		unresolved_or_ambiguous		False
AC004771.1	AC004771.1	False		unresolved_or_ambiguous		False
AC004771.2	AC004771.2	False		unresolved_or_ambiguous		False
AC004771.3	AC004771.3	False		unresolved_or_ambiguous		False
AC004771.5	AC004771.5	False		unresolved_or_ambiguous		False
AC004775.1	AC004775.1	False		unresolved_or_ambiguous		False
AC004777.1	AC004777.1	False		unresolved_or_ambiguous		False
AC004784.1	AC004784.1	False		unresolved_or_ambiguous		False
AC004801.1	AC004801.1	False		unresolved_or_ambiguous		False
AC004801.2	AC004801.2	False		unresolved_or_ambiguous		False
