raw_gene	gene_input	gene_recovered_from_excel_date	human_gene_id	mapping_method	current_human_symbol	include_row
ANKRD24	ANKRD24	False	170961	official_exact	ANKRD24	True
COPE	COPE	False	11316	official_exact	COPE	True
WDR62	WDR62	False	284403	official_exact	WDR62	True
SPTLC3	SPTLC3	False	55304	official_exact	SPTLC3	True
TMEM191B	TMEM191B	False	728229	official_exact	TMEM191B	True
KANK4	KANK4	False	163782	official_exact	KANK4	True
RP11-219A15.1	RP11-219A15.1	False		unresolved_or_ambiguous		False
ARVCF	ARVCF	False	421	official_exact	ARVCF	True
TOE1	TOE1	False	114034	official_exact	TOE1	True
RAPGEF4	RAPGEF4	False	11069	official_exact	RAPGEF4	True
UCN2	UCN2	False	90226	official_exact	UCN2	True
PRX	PRX	False	57716	official_exact	PRX	True
GYG2	GYG2	False	8908	official_exact	GYG2	True
ZNF436	ZNF436	False	80818	official_exact	ZNF436	True
LOXL3	LOXL3	False	84695	official_exact	LOXL3	True
LRAT	LRAT	False	9227	official_exact	LRAT	True
SOWAHA	SOWAHA	False	134548	official_exact	SOWAHA	True
DPYSL3	DPYSL3	False	1809	official_exact	DPYSL3	True
JARID2	JARID2	False	3720	official_exact	JARID2	True
TSC22D4	TSC22D4	False	81628	official_exact	TSC22D4	True
FABP4	FABP4	False	2167	official_exact	FABP4	True
ZPR1	ZPR1	False	8882	official_exact	ZPR1	True
CDH24	CDH24	False	64403	official_exact	CDH24	True
EXOC3L4	EXOC3L4	False	91828	official_exact	EXOC3L4	True
TENM1	TENM1	False	10178	official_exact	TENM1	True
LGALS12	LGALS12	False	85329	official_exact	LGALS12	True
MYL3	MYL3	False	4634	official_exact	MYL3	True
PDZD2	PDZD2	False	23037	official_exact	PDZD2	True
WDR74	WDR74	False	54663	official_exact	WDR74	True
ABCD2	ABCD2	False	225	official_exact	ABCD2	True
IGDCC4	IGDCC4	False	57722	official_exact	IGDCC4	True
MCTP2	MCTP2	False	55784	official_exact	MCTP2	True
CALB2	CALB2	False	794	official_exact	CALB2	True
TSHZ2	TSHZ2	False	128553	official_exact	TSHZ2	True
NMB	NMB	False	4828	official_exact	NMB	True
SEC14L5	SEC14L5	False	9717	official_exact	SEC14L5	True
JUN	JUN	False	3725	official_exact	JUN	True
FRRS1	FRRS1	False	391059	official_exact	FRRS1	True
CCNL1	CCNL1	False	57018	official_exact	CCNL1	True
SLC25A25	SLC25A25	False	114789	official_exact	SLC25A25	True
F2RL2	F2RL2	False	2151	official_exact	F2RL2	True
UBALD2	UBALD2	False	283991	official_exact	UBALD2	True
RAB6B	RAB6B	False	51560	official_exact	RAB6B	True
ADGRD1	ADGRD1	False	283383	official_exact	ADGRD1	True
CBLN2	CBLN2	False	147381	official_exact	CBLN2	True
HPDL	HPDL	False	84842	official_exact	HPDL	True
LDB2	LDB2	False	9079	official_exact	LDB2	True
ZNF417	ZNF417	False	147687	official_exact	ZNF417	True
SELENBP1	SELENBP1	False	8991	official_exact	SELENBP1	True
ADAM33	ADAM33	False	80332	official_exact	ADAM33	True
TSPAN18	TSPAN18	False	90139	official_exact	TSPAN18	True
CTXND1	CTXND1	False	100996492	official_exact	CTXND1	True
CLEC20A	CLEC20A	False	400797	official_exact	CLEC20A	True
SLC36A2	SLC36A2	False	153201	official_exact	SLC36A2	True
MT1G	MT1G	False	4495	official_exact	MT1G	True
PLK3	PLK3	False	1263	official_exact	PLK3	True
MEOX1	MEOX1	False	4222	official_exact	MEOX1	True
DMRTA2	DMRTA2	False	63950	official_exact	DMRTA2	True
MPZ	MPZ	False	4359	official_exact	MPZ	True
COLEC11	COLEC11	False	78989	official_exact	COLEC11	True
RAB6C	RAB6C	False	84084	official_exact	RAB6C	True
ART3	ART3	False	419	official_exact	ART3	True
ADGRG3	ADGRG3	False	222487	official_exact	ADGRG3	True
SCN1B	SCN1B	False	6324	official_exact	SCN1B	True
HSD17B14	HSD17B14	False	51171	official_exact	HSD17B14	True
AFF2	AFF2	False	2334	official_exact	AFF2	True
