module_id	gene_id	symbol	direction	source_contrast
late_allcell_residual	11161	ERG28	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	11167	FSTL1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	11186	RASSF1	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	11187	PKP3	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	112	ADCY6	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	11215	AKAP11	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	11221	DUSP10	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	112399	EGLN3	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	11243	PMF1	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	112441426	TMEM271	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	112441434	SHLD3	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	112476	PRRT2	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	11248	NXPH3	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	112487	DTD2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	112724	RDH13	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	11280	SCN11A	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	112817	HOGA1	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	112858	TP53RK	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	113146	AHNAK2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	113177	IZUMO4	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	113246	C12orf57	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	11334	TUSC2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	11335	CBX3	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	11342	RNF13	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	1136	CHRNA3	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	113612	CYP2U1	down	late_allcell_DPN_vs_diabetes
