family	parent	gene_id	symbol	direction	bin	partner_direction	partner_status
late_allcell	original_late_allcell	23205	ACSBG1	down	residual	absent	absent
late_allcell	original_late_allcell	23209	MLC1	down	residual	absent	absent
late_allcell	original_late_allcell	23213	SULF1	down	residual	absent	absent
late_allcell	original_late_allcell	23217	ZFR2	down	residual	absent	absent
late_allcell	original_late_allcell	23218	NBEAL2	up	residual	absent	absent
late_allcell	original_late_allcell	2322	FLT3	down	residual	absent	absent
late_allcell	original_late_allcell	23223	RRP12	up	residual	absent	absent
late_allcell	original_late_allcell	2323	FLT3LG	up	residual	absent	absent
late_allcell	original_late_allcell	23239	PHLPP1	down	residual	absent	absent
late_allcell	original_late_allcell	2324	FLT4	up	residual	absent	absent
late_allcell	original_late_allcell	23245	ASTN2	down	residual	absent	absent
late_allcell	original_late_allcell	23253	ANKRD12	down	residual	absent	absent
late_allcell	original_late_allcell	23254	KAZN	up	residual	absent	absent
late_allcell	original_late_allcell	23265	EXOC7	up	residual	absent	absent
late_allcell	original_late_allcell	23270	TSPYL4	up	residual	absent	absent
late_allcell	original_late_allcell	23271	CAMSAP2	down	residual	absent	absent
late_allcell	original_late_allcell	23275	POFUT2	up	residual	absent	absent
late_allcell	original_late_allcell	23281	MTUS2	down	residual	absent	absent
late_allcell	original_late_allcell	23284	ADGRL3	down	residual	absent	absent
late_allcell	original_late_allcell	23286	WWC1	down	residual	absent	absent
late_allcell	original_late_allcell	23288	IQCE	up	residual	absent	absent
late_allcell	original_late_allcell	23299	BICD2	up	residual	absent	absent
late_allcell	original_late_allcell	2330	FMO5	up	residual	absent	absent
late_allcell	original_late_allcell	23300	ATMIN	down	residual	absent	absent
late_allcell	original_late_allcell	23305	ACSL6	down	residual	absent	absent
late_allcell	original_late_allcell	2331	FMOD	down	residual	absent	absent
late_allcell	original_late_allcell	23335	WDR7	down	residual	absent	absent
late_allcell	original_late_allcell	2334	AFF2	down	residual	absent	absent
late_allcell	original_late_allcell	23349	PHF24	down	residual	absent	absent
late_allcell	original_late_allcell	23351	KHNYN	up	residual	absent	absent
late_allcell	original_late_allcell	23354	HAUS5	up	residual	absent	absent
late_allcell	original_late_allcell	23366	MATCAP2	down	excluded_partner_unresolved	conflict	within_source_direction_conflict
late_allcell	original_late_allcell	23378	RRP8	up	residual	absent	absent
late_allcell	original_late_allcell	23394	ADNP	down	residual	absent	absent
late_allcell	original_late_allcell	23411	SIRT1	down	residual	absent	absent
late_allcell	original_late_allcell	23421	ITGB3BP	up	residual	absent	absent
late_allcell	original_late_allcell	23426	GRIP1	down	residual	absent	absent
late_allcell	original_late_allcell	23433	RHOQ	down	residual	absent	absent
late_allcell	original_late_allcell	2346	FOLH1	down	residual	absent	absent
late_allcell	original_late_allcell	23463	ICMT	down	residual	absent	absent
late_allcell	original_late_allcell	23471	TRAM1	down	residual	absent	absent
late_allcell	original_late_allcell	23493	HEY2	down	residual	absent	absent
late_allcell	original_late_allcell	23529	CLCF1	up	residual	absent	absent
late_allcell	original_late_allcell	2354	FOSB	up	residual	absent	absent
late_allcell	original_late_allcell	23542	MAPK8IP2	down	residual	absent	absent
late_allcell	original_late_allcell	23546	SYNGR4	down	residual	absent	absent
late_allcell	original_late_allcell	23566	LPAR3	down	residual	absent	absent
late_allcell	original_late_allcell	23568	ARL2BP	down	residual	absent	absent
late_allcell	original_late_allcell	23576	DDAH1	down	residual	absent	absent
late_allcell	original_late_allcell	23584	VSIG2	up	residual	absent	absent
late_allcell	original_late_allcell	23594	ORC6	down	residual	absent	absent
late_allcell	original_late_allcell	23596	OPN3	down	residual	absent	absent
late_allcell	original_late_allcell	23604	DAPK2	up	residual	absent	absent
late_allcell	original_late_allcell	23616	SH3BP1	up	residual	absent	absent
late_allcell	original_late_allcell	23620	NTSR2	down	residual	absent	absent
late_allcell	original_late_allcell	23645	PPP1R15A	up	residual	absent	absent
late_allcell	original_late_allcell	23654	PLXNB2	up	residual	absent	absent
late_allcell	original_late_allcell	23670	CEMIP2	up	residual	absent	absent
late_allcell	original_late_allcell	23729	SHPK	up	residual	absent	absent
late_allcell	original_late_allcell	23743	BHMT2	up	residual	absent	absent
late_allcell	original_late_allcell	23767	FLRT3	down	residual	absent	absent
late_allcell	original_late_allcell	2395	FXN	down	residual	absent	absent
late_allcell	original_late_allcell	24141	LAMP5	down	residual	absent	absent
late_allcell	original_late_allcell	24147	FJX1	down	residual	absent	absent
late_allcell	original_late_allcell	24149	ZNF318	up	residual	absent	absent
late_allcell	original_late_allcell	246329	STAC3	up	residual	absent	absent
late_allcell	original_late_allcell	249	ALPL	down	residual	absent	absent
late_allcell	original_late_allcell	2494	NR5A2	up	residual	absent	absent
late_allcell	original_late_allcell	2519	FUCA2	down	residual	absent	absent
late_allcell	original_late_allcell	2523	FUT1	up	residual	absent	absent
late_allcell	original_late_allcell	253152	EPHX4	down	residual	absent	absent
late_allcell	original_late_allcell	253190	SERHL2	up	residual	absent	absent
late_allcell	original_late_allcell	253430	IPMK	down	residual	absent	absent
late_allcell	original_late_allcell	253559	CADM2	down	residual	absent	absent
late_allcell	original_late_allcell	253738	EBF3	up	residual	absent	absent
late_allcell	original_late_allcell	253959	RALGAPA1	up	residual	absent	absent
late_allcell	original_late_allcell	254102	EHBP1L1	up	residual	absent	absent
late_allcell	original_late_allcell	254240	BPIFC	up	residual	absent	absent
late_allcell	original_late_allcell	2547	XRCC6	down	residual	absent	absent
late_allcell	original_late_allcell	254887	ZDHHC23	up	residual	absent	absent
late_allcell	original_late_allcell	255027	MPV17L	down	residual	absent	absent
late_allcell	original_late_allcell	2551	GABPA	down	residual	absent	absent
late_allcell	original_late_allcell	255104	TMCO4	up	residual	absent	absent
late_allcell	original_late_allcell	255231	MCOLN2	down	residual	absent	absent
late_allcell	original_late_allcell	255426	RASGEF1C	up	residual	absent	absent
late_allcell	original_late_allcell	2555	GABRA2	down	residual	absent	absent
late_allcell	original_late_allcell	255631	COL24A1	up	residual	absent	absent
late_allcell	original_late_allcell	255758	DYNLT2B	up	excluded_partner_unresolved	conflict	within_source_direction_conflict
late_allcell	original_late_allcell	255783	INAFM1	up	residual	absent	absent
late_allcell	original_late_allcell	2558	GABRA5	down	residual	absent	absent
late_allcell	original_late_allcell	255919	CNEP1R1	down	residual	absent	absent
late_allcell	original_late_allcell	255928	SYT14	down	residual	absent	absent
late_allcell	original_late_allcell	2560	GABRB1	down	residual	absent	absent
late_allcell	original_late_allcell	256158	HMCN2	up	residual	absent	absent
late_allcell	original_late_allcell	2562	GABRB3	down	residual	absent	absent
late_allcell	original_late_allcell	256227	STEAP1B	up	residual	absent	absent
late_allcell	original_late_allcell	2564	GABRE	up	residual	absent	absent
late_allcell	original_late_allcell	256471	MFSD8	down	residual	absent	absent
late_allcell	original_late_allcell	256472	TMEM151A	down	residual	absent	absent
late_allcell	original_late_allcell	2565	GABRG1	down	residual	absent	absent
late_allcell	original_late_allcell	2566	GABRG2	down	residual	absent	absent
late_allcell	original_late_allcell	256714	MAP7D2	down	residual	absent	absent
late_allcell	original_late_allcell	256949	KANK3	up	residual	absent	absent
late_allcell	original_late_allcell	2570	GABRR2	up	residual	absent	absent
late_allcell	original_late_allcell	257000	TINCR	down	residual	absent	absent
late_allcell	original_late_allcell	25758	KIAA1549L	down	residual	absent	absent
late_allcell	original_late_allcell	25769	SLC24A2	down	residual	absent	absent
late_allcell	original_late_allcell	25789	TMEM59L	down	residual	absent	absent
late_allcell	original_late_allcell	25800	SLC39A6	down	residual	absent	absent
late_allcell	original_late_allcell	258010	SVIP	down	residual	absent	absent
late_allcell	original_late_allcell	25802	LMOD1	up	residual	absent	absent
late_allcell	original_late_allcell	25806	VAX2	up	residual	absent	absent
late_allcell	original_late_allcell	25816	TNFAIP8	up	residual	absent	absent
late_allcell	original_late_allcell	25830	SULT4A1	down	residual	absent	absent
late_allcell	original_late_allcell	25833	POU2F3	down	residual	absent	absent
late_allcell	original_late_allcell	25847	ANAPC13	down	residual	absent	absent
late_allcell	original_late_allcell	25854	FAM149A	down	residual	absent	absent
