raw_gene	gene_input	gene_recovered_from_excel_date	human_gene_id	mapping_method	current_human_symbol	include_row
MIR3913-1	MIR3913-1	False	100500903	official_exact	MIR3913-1	True
MIR3913-2	MIR3913-2	False	100500868	official_exact	MIR3913-2	True
MIR3914-1	MIR3914-1	False	100500836	official_exact	MIR3914-1	True
MIR3914-2	MIR3914-2	False	100500920	official_exact	MIR3914-2	True
MIR3916	MIR3916	False	100500849	official_exact	MIR3916	True
MIR3917	MIR3917	False	100500808	official_exact	MIR3917	True
MIR3918	MIR3918	False	100500851	official_exact	MIR3918	True
MIR3919	MIR3919	False	100500803	official_exact	MIR3919	True
MIR3920	MIR3920	False	100500823	official_exact	MIR3920	True
MIR3921	MIR3921	False	100500859	official_exact	MIR3921	True
MIR3922	MIR3922	False	100500843	official_exact	MIR3922	True
MIR3924	MIR3924	False	100500834	official_exact	MIR3924	True
MIR3925	MIR3925	False	100500885	official_exact	MIR3925	True
MIR3926-1	MIR3926-1	False	100500870	official_exact	MIR3926-1	True
MIR3926-2	MIR3926-2	False	100500838	official_exact	MIR3926-2	True
MIR3928	MIR3928	False	100500901	official_exact	MIR3928	True
MIR3935	MIR3935	False	100500891	official_exact	MIR3935	True
MIR3936	MIR3936	False	100500865	official_exact	MIR3936	True
MIR3938	MIR3938	False	100500875	official_exact	MIR3938	True
MIR3939	MIR3939	False	100500857	official_exact	MIR3939	True
MIR3940	MIR3940	False	100500888	official_exact	MIR3940	True
MIR3941	MIR3941	False	100500866	official_exact	MIR3941	True
MIR3942	MIR3942	False	100500904	official_exact	MIR3942	True
MIR3943	MIR3943	False	100500829	official_exact	MIR3943	True
MIR3944	MIR3944	False	100500911	official_exact	MIR3944	True
MIR3945	MIR3945	False	100500818	official_exact	MIR3945	True
MIR3960	MIR3960	False	100616250	official_exact	MIR3960	True
MIR3973	MIR3973	False	100616311	official_exact	MIR3973	True
MIR3974	MIR3974	False	100616279	official_exact	MIR3974	True
MIR3975	MIR3975	False	100616257	official_exact	MIR3975	True
MIR3976	MIR3976	False	100616244	official_exact	MIR3976	True
MIR3977	MIR3977	False	100616297	official_exact	MIR3977	True
MIR3978	MIR3978	False	100616491	official_exact	MIR3978	True
MIR409	MIR409	False	574413	official_exact	MIR409	True
MIR410	MIR410	False	574434	official_exact	MIR410	True
MIR411	MIR411	False	693121	official_exact	MIR411	True
MIR412	MIR412	False	574433	official_exact	MIR412	True
MIR421	MIR421	False	693122	official_exact	MIR421	True
MIR423	MIR423	False	494335	official_exact	MIR423	True
MIR424	MIR424	False	494336	official_exact	MIR424	True
MIR425	MIR425	False	494337	official_exact	MIR425	True
MIR4251	MIR4251	False	100422968	official_exact	MIR4251	True
MIR4252	MIR4252	False	100422975	official_exact	MIR4252	True
MIR4253	MIR4253	False	100422914	official_exact	MIR4253	True
MIR4254	MIR4254	False	100423028	official_exact	MIR4254	True
MIR4255	MIR4255	False	100422898	official_exact	MIR4255	True
