gene	gene_input	gene_recovered_from_excel_date	human_gene_id	mapping_method	current_human_symbol
SP100	SP100	False	6672	official_exact	SP100
AC010149.1	AC010149.1	False		unresolved_or_ambiguous	
LINC01907	LINC01907	False	151475	official_exact	LINC01907
CAB39	CAB39	False	51719	official_exact	CAB39
ITM2C	ITM2C	False	81618	official_exact	ITM2C
GCSIR	GCSIR	False	151484	official_exact	GCSIR
GPR55	GPR55	False	9290	official_exact	GPR55
AC012507.1	AC012507.1	False		unresolved_or_ambiguous	
AC012507.3	AC012507.3	False		unresolved_or_ambiguous	
SPATA3-AS1	SPATA3-AS1	False	348761	official_exact	SPATA3-AS1
SPATA3	SPATA3	False	130560	official_exact	SPATA3
C2orf72	C2orf72	False	257407	official_exact	C2orf72
AC009407.1	AC009407.1	False		unresolved_or_ambiguous	
PSMD1	PSMD1	False	5707	official_exact	PSMD1
HTR2B	HTR2B	False	3357	official_exact	HTR2B
ARMC9	ARMC9	False	80210	official_exact	ARMC9
AC017104.1	AC017104.1	False		unresolved_or_ambiguous	
B3GNT7	B3GNT7	False	93010	official_exact	B3GNT7
AC017104.3	AC017104.3	False		unresolved_or_ambiguous	
NCL	NCL	False	4691	unique_synonym	NUCLEOLIN
LINC00471	LINC00471	False	151477	official_exact	LINC00471
AC017104.6	AC017104.6	False		unresolved_or_ambiguous	
NMUR1	NMUR1	False	10316	official_exact	NMUR1
AC104634.2	AC104634.2	False		unresolved_or_ambiguous	
TEX44	TEX44	False	165100	official_exact	TEX44
PTMA	PTMA	False	5757	official_exact	PTMA
PDE6D	PDE6D	False	5147	official_exact	PDE6D
COPS7B	COPS7B	False	64708	official_exact	COPS7B
AC073476.3	AC073476.3	False		unresolved_or_ambiguous	
NPPC	NPPC	False	4880	official_exact	NPPC
DIS3L2	DIS3L2	False	129563	official_exact	DIS3L2
AC019130.1	AC019130.1	False		unresolved_or_ambiguous	
ALPP	ALPP	False	250	official_exact	ALPP
AC068134.1	AC068134.1	False		unresolved_or_ambiguous	
ALPG	ALPG	False	251	official_exact	ALPG
AC068134.2	AC068134.2	False		unresolved_or_ambiguous	
ALPI	ALPI	False	248	official_exact	ALPI
ECEL1	ECEL1	False	9427	official_exact	ECEL1
PRSS56	PRSS56	False	646960	official_exact	PRSS56
CHRND	CHRND	False	1144	official_exact	CHRND
CHRNG	CHRNG	False	1146	official_exact	CHRNG
TIGD1	TIGD1	False	200765	official_exact	TIGD1
EIF4E2	EIF4E2	False	9470	official_exact	EIF4E2
AC073254.1	AC073254.1	False		unresolved_or_ambiguous	
EFHD1	EFHD1	False	80303	official_exact	EFHD1
GIGYF2	GIGYF2	False	26058	official_exact	GIGYF2
KCNJ13	KCNJ13	False	3769	official_exact	KCNJ13
SNORC	SNORC	False	389084	official_exact	SNORC
NGEF	NGEF	False	25791	official_exact	NGEF
AC106876.1	AC106876.1	False		unresolved_or_ambiguous	
NEU2	NEU2	False	4759	official_exact	NEU2
INPP5D	INPP5D	False	3635	official_exact	INPP5D
ATG16L1	ATG16L1	False	55054	official_exact	ATG16L1
SAG	SAG	False	6295	official_exact	SAG
AC013726.1	AC013726.1	False		unresolved_or_ambiguous	
DGKD	DGKD	False	8527	official_exact	DGKD
USP40	USP40	False	55230	official_exact	USP40
UGT1A8	UGT1A8	False	54576	official_exact	UGT1A8
UGT1A10	UGT1A10	False	54575	official_exact	UGT1A10
UGT1A9	UGT1A9	False	54600	official_exact	UGT1A9
UGT1A7	UGT1A7	False	54577	official_exact	UGT1A7
UGT1A6	UGT1A6	False	54578	official_exact	UGT1A6
AC114812.2	AC114812.2	False		unresolved_or_ambiguous	
UGT1A5	UGT1A5	False	54579	official_exact	UGT1A5
UGT1A4	UGT1A4	False	54657	official_exact	UGT1A4
UGT1A3	UGT1A3	False	54659	official_exact	UGT1A3
UGT1A1	UGT1A1	False	54658	official_exact	UGT1A1
MROH2A	MROH2A	False	339766	official_exact	MROH2A
HJURP	HJURP	False	55355	official_exact	HJURP
TRPM8	TRPM8	False	79054	official_exact	TRPM8
AC005538.1	AC005538.1	False		unresolved_or_ambiguous	
AC005538.3	AC005538.3	False		unresolved_or_ambiguous	
SPP2	SPP2	False	6694	official_exact	SPP2
AC006037.1	AC006037.1	False		unresolved_or_ambiguous	
AC122134.1	AC122134.1	False		unresolved_or_ambiguous	
AC097713.3	AC097713.3	False		unresolved_or_ambiguous	
AC097713.1	AC097713.1	False		unresolved_or_ambiguous	
LINC01891	LINC01891	False	105373934	official_exact	LINC01891
ARL4C	ARL4C	False	10123	official_exact	ARL4C
LINC01173	LINC01173	False	106144537	official_exact	LINC01173
AC010148.1	AC010148.1	False		unresolved_or_ambiguous	
SH3BP4	SH3BP4	False	23677	official_exact	SH3BP4
AC114814.1	AC114814.1	False		unresolved_or_ambiguous	
AC114814.3	AC114814.3	False		unresolved_or_ambiguous	
AGAP1	AGAP1	False	116987	official_exact	AGAP1
AGAP1-IT1	AGAP1-IT1	False	100506749	official_exact	AGAP1-IT1
AC064874.1	AC064874.1	False		unresolved_or_ambiguous	
GBX2	GBX2	False	2637	official_exact	GBX2
AC019068.1	AC019068.1	False		unresolved_or_ambiguous	
ASB18	ASB18	False	401036	official_exact	ASB18
IQCA1	IQCA1	False	79781	unique_synonym	DRC11
AC093915.1	AC093915.1	False		unresolved_or_ambiguous	
IQCA1-AS1	IQCA1-AS1	False	107080627	official_exact	IQCA1-AS1
ACKR3	ACKR3	False	57007	official_exact	ACKR3
AC084030.1	AC084030.1	False		unresolved_or_ambiguous	
AC012063.1	AC012063.1	False		unresolved_or_ambiguous	
AC105760.1	AC105760.1	False		unresolved_or_ambiguous	
COPS8	COPS8	False	10920	official_exact	COPS8
AC107079.1	AC107079.1	False		unresolved_or_ambiguous	
AC112715.1	AC112715.1	False		unresolved_or_ambiguous	
COL6A3	COL6A3	False	1293	official_exact	COL6A3
AC112721.1	AC112721.1	False		unresolved_or_ambiguous	
AC112721.2	AC112721.2	False		unresolved_or_ambiguous	
MLPH	MLPH	False	79083	official_exact	MLPH
PRLH	PRLH	False	51052	official_exact	PRLH
RAB17	RAB17	False	64284	official_exact	RAB17
AC104667.2	AC104667.2	False		unresolved_or_ambiguous	
AC104667.1	AC104667.1	False		unresolved_or_ambiguous	
LRRFIP1	LRRFIP1	False	9208	official_exact	LRRFIP1
AC012076.1	AC012076.1	False		unresolved_or_ambiguous	
RBM44	RBM44	False	375316	official_exact	RBM44
RAMP1	RAMP1	False	10267	official_exact	RAMP1
UBE2F	UBE2F	False	140739	official_exact	UBE2F
SCLY	SCLY	False	51540	official_exact	SCLY
ESPNL	ESPNL	False	339768	official_exact	ESPNL
KLHL30	KLHL30	False	377007	official_exact	KLHL30
ERFE	ERFE	False	151176	official_exact	ERFE
ILKAP	ILKAP	False	80895	official_exact	ILKAP
LINC02610	LINC02610	False	151174	official_exact	LINC02610
AC012485.1	AC012485.1	False		unresolved_or_ambiguous	
HES6	HES6	False	55502	official_exact	HES6
PER2	PER2	False	8864	official_exact	PER2
AC012485.3	AC012485.3	False		unresolved_or_ambiguous	
AC012485.2	AC012485.2	False		unresolved_or_ambiguous	
TRAF3IP1	TRAF3IP1	False	26146	unique_synonym	IFT54
ASB1	ASB1	False	51665	official_exact	ASB1
AC016999.1	AC016999.1	False		unresolved_or_ambiguous	
LINC01107	LINC01107	False	151171	official_exact	LINC01107
LINC01937	LINC01937	False	105373962	official_exact	LINC01937
AC113618.2	AC113618.2	False		unresolved_or_ambiguous	
AC145625.2	AC145625.2	False		unresolved_or_ambiguous	
AC145625.1	AC145625.1	False		unresolved_or_ambiguous	
TWIST2	TWIST2	False	117581	official_exact	TWIST2
LINC01940	LINC01940	False	401039	official_exact	LINC01940
HDAC4	HDAC4	False	9759	official_exact	HDAC4
AC017028.1	AC017028.1	False		unresolved_or_ambiguous	
AC017028.2	AC017028.2	False		unresolved_or_ambiguous	
HDAC4-AS1	HDAC4-AS1	False	101928111	official_exact	HDAC4-AS1
AC023787.2	AC023787.2	False		unresolved_or_ambiguous	
AC023787.3	AC023787.3	False		unresolved_or_ambiguous	
AC023787.1	AC023787.1	False		unresolved_or_ambiguous	
AC079612.1	AC079612.1	False		unresolved_or_ambiguous	
AC079612.2	AC079612.2	False		unresolved_or_ambiguous	
AC093802.2	AC093802.2	False		unresolved_or_ambiguous	
AC093802.1	AC093802.1	False		unresolved_or_ambiguous	
NDUFA10	NDUFA10	False	4705	official_exact	NDUFA10
OR6B2	OR6B2	False	389090	official_exact	OR6B2
OR6B3	OR6B3	False	150681	official_exact	OR6B3
COPS9	COPS9	False	150678	official_exact	COPS9
OTOS	OTOS	False	150677	official_exact	OTOS
AC124861.3	AC124861.3	False		unresolved_or_ambiguous	
AC124861.2	AC124861.2	False		unresolved_or_ambiguous	
AC124861.1	AC124861.1	False		unresolved_or_ambiguous	
GPC1	GPC1	False	2817	official_exact	GPC1
AC110619.1	AC110619.1	False		unresolved_or_ambiguous	
ANKMY1	ANKMY1	False	51281	official_exact	ANKMY1
AC124862.1	AC124862.1	False		unresolved_or_ambiguous	
DUSP28	DUSP28	False	285193	official_exact	DUSP28
RNPEPL1	RNPEPL1	False	57140	official_exact	RNPEPL1
CAPN10-DT	CAPN10-DT	False	101752400	official_exact	CAPN10-DT
CAPN10	CAPN10	False	11132	official_exact	CAPN10
GPR35	GPR35	False	2859	official_exact	GPR35
AQP12B	AQP12B	False	653437	official_exact	AQP12B
AC011298.1	AC011298.1	False		unresolved_or_ambiguous	
AQP12A	AQP12A	False	375318	official_exact	AQP12A
KIF1A	KIF1A	False	547	official_exact	KIF1A
AGXT	AGXT	False	189	official_exact	AGXT
MAB21L4	MAB21L4	False	79919	official_exact	MAB21L4
CROCC2	CROCC2	False	728763	official_exact	CROCC2
AC104809.2	AC104809.2	False		unresolved_or_ambiguous	
AC104809.1	AC104809.1	False		unresolved_or_ambiguous	
SNED1	SNED1	False	25992	official_exact	SNED1
AC093585.1	AC093585.1	False		unresolved_or_ambiguous	
AC005237.1	AC005237.1	False		unresolved_or_ambiguous	
MTERF4	MTERF4	False	130916	official_exact	MTERF4
PASK	PASK	False	23178	official_exact	PASK
PPP1R7	PPP1R7	False	5510	official_exact	PPP1R7
ANO7	ANO7	False	50636	official_exact	ANO7
HDLBP	HDLBP	False	3069	official_exact	HDLBP
SEPTIN2	SEPTIN2	False	4735	official_exact	SEPTIN2
AC104841.1	AC104841.1	False		unresolved_or_ambiguous	
AC005104.1	AC005104.1	False		unresolved_or_ambiguous	
FARP2	FARP2	False	9855	official_exact	FARP2
AC005104.3	AC005104.3	False		unresolved_or_ambiguous	
STK25	STK25	False	10494	official_exact	STK25
BOK-AS1	BOK-AS1	False	100379249	official_exact	BOK-AS1
BOK	BOK	False	666	official_exact	BOK
AC133528.1	AC133528.1	False		unresolved_or_ambiguous	
THAP4	THAP4	False	51078	official_exact	THAP4
ATG4B	ATG4B	False	23192	official_exact	ATG4B
DTYMK	DTYMK	False	1841	official_exact	DTYMK
ING5	ING5	False	84289	official_exact	ING5
AC114730.3	AC114730.3	False		unresolved_or_ambiguous	
D2HGDH	D2HGDH	False	728294	official_exact	D2HGDH
AC114730.1	AC114730.1	False		unresolved_or_ambiguous	
AC114730.2	AC114730.2	False		unresolved_or_ambiguous	
GAL3ST2	GAL3ST2	False	64090	official_exact	GAL3ST2
AC131097.1	AC131097.1	False		unresolved_or_ambiguous	
AC131097.2	AC131097.2	False		unresolved_or_ambiguous	
NEU4	NEU4	False	129807	official_exact	NEU4
AC131097.3	AC131097.3	False		unresolved_or_ambiguous	
PDCD1	PDCD1	False	5133	official_exact	PDCD1
RTP5	RTP5	False	285093	official_exact	RTP5
LINC01237	LINC01237	False	101927289	official_exact	LINC01237
FAM240C	FAM240C	False	285095	official_exact	FAM240C
LINC01238	LINC01238	False	102723927	official_exact	LINC01238
AC093642.1	AC093642.1	False		unresolved_or_ambiguous	
AC093642.7	AC093642.7	False		unresolved_or_ambiguous	
LINC01880	LINC01880	False	105373979	official_exact	LINC01880
LINC01986	LINC01986	False	102723448	official_exact	LINC01986
AC066595.1	AC066595.1	False		unresolved_or_ambiguous	
CHL1-AS2	CHL1-AS2	False	101927174	official_exact	CHL1-AS2
AC066595.2	AC066595.2	False		unresolved_or_ambiguous	
CHL1	CHL1	False	10752	official_exact	CHL1
CHL1-AS1	CHL1-AS1	False	101927193	official_exact	CHL1-AS1
AC087428.1	AC087428.1	False		unresolved_or_ambiguous	
LINC01266	LINC01266	False	101927215	official_exact	LINC01266
AC090044.1	AC090044.1	False		unresolved_or_ambiguous	
AC087430.1	AC087430.1	False		unresolved_or_ambiguous	
CNTN6	CNTN6	False	27255	official_exact	CNTN6
AC018814.1	AC018814.1	False		unresolved_or_ambiguous	
CNTN4	CNTN4	False	152330	official_exact	CNTN4
CNTN4-AS2	CNTN4-AS2	False	100873976	official_exact	CNTN4-AS2
AC087427.1	AC087427.1	False		unresolved_or_ambiguous	
CNTN4-AS1	CNTN4-AS1	False	100873975	official_exact	CNTN4-AS1
IL5RA	IL5RA	False	3568	official_exact	IL5RA
TRNT1	TRNT1	False	51095	official_exact	TRNT1
CRBN	CRBN	False	51185	official_exact	CRBN
AC024060.2	AC024060.2	False		unresolved_or_ambiguous	
AC034195.1	AC034195.1	False		unresolved_or_ambiguous	
SUMF1	SUMF1	False	285362	official_exact	SUMF1
LRRN1	LRRN1	False	57633	official_exact	LRRN1
AC023480.1	AC023480.1	False		unresolved_or_ambiguous	
AC023483.1	AC023483.1	False		unresolved_or_ambiguous	
SETMAR	SETMAR	False	6419	official_exact	SETMAR
ITPR1-DT	ITPR1-DT	False	100996539	official_exact	ITPR1-DT
ITPR1	ITPR1	False	3708	official_exact	ITPR1
EGOT	EGOT	False	100126791	official_exact	EGOT
AC018816.1	AC018816.1	False		unresolved_or_ambiguous	
BHLHE40-AS1	BHLHE40-AS1	False	100507582	official_exact	BHLHE40-AS1
BHLHE40	BHLHE40	False	8553	official_exact	BHLHE40
ARL8B	ARL8B	False	55207	official_exact	ARL8B
AC026202.2	AC026202.2	False		unresolved_or_ambiguous	
AC026202.3	AC026202.3	False		unresolved_or_ambiguous	
EDEM1	EDEM1	False	9695	official_exact	EDEM1
AC026202.1	AC026202.1	False		unresolved_or_ambiguous	
AC087857.1	AC087857.1	False		unresolved_or_ambiguous	
AC026167.1	AC026167.1	False		unresolved_or_ambiguous	
AC069277.1	AC069277.1	False		unresolved_or_ambiguous	
GRM7-AS3	GRM7-AS3	False	101927347	official_exact	GRM7-AS3
GRM7	GRM7	False	2917	official_exact	GRM7
GRM7-AS2	GRM7-AS2	False	105376946	official_exact	GRM7-AS2
AC066585.1	AC066585.1	False		unresolved_or_ambiguous	
GRM7-AS1	GRM7-AS1	False	100873937	official_exact	GRM7-AS1
AC077690.1	AC077690.1	False		unresolved_or_ambiguous	
LMCD1-AS1	LMCD1-AS1	False	100288428	official_exact	LMCD1-AS1
AC018832.1	AC018832.1	False		unresolved_or_ambiguous	
AC023481.1	AC023481.1	False		unresolved_or_ambiguous	
LMCD1	LMCD1	False	29995	official_exact	LMCD1
AC034187.1	AC034187.1	False		unresolved_or_ambiguous	
SSUH2	SSUH2	False	51066	official_exact	SSUH2
CAV3	CAV3	False	859	official_exact	CAV3
OXTR	OXTR	False	5021	official_exact	OXTR
RAD18	RAD18	False	56852	official_exact	RAD18
SRGAP3	SRGAP3	False	9901	official_exact	SRGAP3
SRGAP3-AS1	SRGAP3-AS1	False	100874103	official_exact	SRGAP3-AS1
AC037193.1	AC037193.1	False		unresolved_or_ambiguous	
SRGAP3-AS2	SRGAP3-AS2	False	101927416	official_exact	SRGAP3-AS2
SRGAP3-AS3	SRGAP3-AS3	False	100288831	official_exact	SRGAP3-AS3
SRGAP3-AS4	SRGAP3-AS4	False	101927440	official_exact	SRGAP3-AS4
AC026191.1	AC026191.1	False		unresolved_or_ambiguous	
THUMPD3-AS1	THUMPD3-AS1	False	440944	official_exact	THUMPD3-AS1
THUMPD3	THUMPD3	False	25917	official_exact	THUMPD3
SETD5	SETD5	False	55209	official_exact	SETD5
LHFPL4	LHFPL4	False	375323	official_exact	LHFPL4
MTMR14	MTMR14	False	64419	official_exact	MTMR14
AC022382.2	AC022382.2	False		unresolved_or_ambiguous	
CPNE9	CPNE9	False	151835	official_exact	CPNE9
BRPF1	BRPF1	False	7862	official_exact	BRPF1
OGG1	OGG1	False	4968	official_exact	OGG1
CAMK1	CAMK1	False	8536	official_exact	CAMK1
TADA3	TADA3	False	10474	official_exact	TADA3
ARPC4	ARPC4	False	10093	official_exact	ARPC4
TTLL3	TTLL3	False	26140	official_exact	TTLL3
AC022382.1	AC022382.1	False		unresolved_or_ambiguous	
RPUSD3	RPUSD3	False	285367	official_exact	RPUSD3
CIDEC	CIDEC	False	63924	official_exact	CIDEC
JAGN1	JAGN1	False	84522	official_exact	JAGN1
IL17RE	IL17RE	False	132014	official_exact	IL17RE
IL17RC	IL17RC	False	84818	official_exact	IL17RC
CRELD1	CRELD1	False	78987	official_exact	CRELD1
AC018809.1	AC018809.1	False		unresolved_or_ambiguous	
PRRT3	PRRT3	False	285368	official_exact	PRRT3
PRRT3-AS1	PRRT3-AS1	False	100874032	official_exact	PRRT3-AS1
AC018809.2	AC018809.2	False		unresolved_or_ambiguous	
EMC3	EMC3	False	55831	official_exact	EMC3
AC022007.1	AC022007.1	False		unresolved_or_ambiguous	
FANCD2	FANCD2	False	2177	official_exact	FANCD2
FANCD2OS	FANCD2OS	False	115795	official_exact	FANCD2OS
BRK1	BRK1	False	55845	official_exact	BRK1
VHL	VHL	False	7428	official_exact	VHL
AC034193.1	AC034193.1	False		unresolved_or_ambiguous	
IRAK2	IRAK2	False	3656	official_exact	IRAK2
TATDN2	TATDN2	False	9797	official_exact	TATDN2
LINC00852	LINC00852	False	84657	official_exact	LINC00852
GHRL	GHRL	False	51738	official_exact	GHRL
GHRLOS	GHRLOS	False	100126793	official_exact	GHRLOS
SEC13	SEC13	False	6396	official_exact	SEC13
ATP2B2	ATP2B2	False	491	official_exact	ATP2B2
ATP2B2-IT1	ATP2B2-IT1	False	100874324	official_exact	ATP2B2-IT1
ATP2B2-IT2	ATP2B2-IT2	False	100874325	official_exact	ATP2B2-IT2
LINC00606	LINC00606	False	285370	official_exact	LINC00606
AC018495.1	AC018495.1	False		unresolved_or_ambiguous	
SLC6A11	SLC6A11	False	6538	official_exact	SLC6A11
AC027128.1	AC027128.1	False		unresolved_or_ambiguous	
SLC6A1	SLC6A1	False	6529	official_exact	SLC6A1
SLC6A1-AS1	SLC6A1-AS1	False	100874090	official_exact	SLC6A1-AS1
AC066580.1	AC066580.1	False		unresolved_or_ambiguous	
HRH1	HRH1	False	3269	official_exact	HRH1
AC083855.2	AC083855.2	False		unresolved_or_ambiguous	
ATG7	ATG7	False	10533	official_exact	ATG7
VGLL4	VGLL4	False	9686	official_exact	VGLL4
AC022001.2	AC022001.2	False		unresolved_or_ambiguous	
AC022001.3	AC022001.3	False		unresolved_or_ambiguous	
TAMM41	TAMM41	False	132001	official_exact	TAMM41
SYN2	SYN2	False	6854	official_exact	SYN2
TIMP4	TIMP4	False	7079	official_exact	TIMP4
PPARG	PPARG	False	5468	official_exact	PPARG
TSEN2	TSEN2	False	80746	official_exact	TSEN2
MKRN2OS	MKRN2OS	False	100129480	official_exact	MKRN2OS
MKRN2	MKRN2	False	23609	official_exact	MKRN2
RAF1	RAF1	False	5894	official_exact	RAF1
TMEM40	TMEM40	False	55287	official_exact	TMEM40
CAND2	CAND2	False	23066	official_exact	CAND2
AC034198.2	AC034198.2	False		unresolved_or_ambiguous	
RPL32	RPL32	False	6161	official_exact	RPL32
LINC02022	LINC02022	False	105376955	official_exact	LINC02022
IQSEC1	IQSEC1	False	9922	official_exact	IQSEC1
NUP210	NUP210	False	23225	official_exact	NUP210
HDAC11-AS1	HDAC11-AS1	False	100874101	official_exact	HDAC11-AS1
HDAC11	HDAC11	False	79885	official_exact	HDAC11
FBLN2	FBLN2	False	2199	official_exact	FBLN2
LINC00620	LINC00620	False	285375	official_exact	LINC00620
WNT7A	WNT7A	False	7476	official_exact	WNT7A
AC090004.2	AC090004.2	False		unresolved_or_ambiguous	
CHCHD4	CHCHD4	False	131474	official_exact	CHCHD4
TMEM43	TMEM43	False	79188	official_exact	TMEM43
AC093495.1	AC093495.1	False		unresolved_or_ambiguous	
XPC	XPC	False	7508	official_exact	XPC
LSM3	LSM3	False	27258	official_exact	LSM3
AC093496.1	AC093496.1	False		unresolved_or_ambiguous	
LINC01267	LINC01267	False	101927565	official_exact	LINC01267
SLC6A6	SLC6A6	False	6533	official_exact	SLC6A6
GRIP2	GRIP2	False	80852	official_exact	GRIP2
AC090952.2	AC090952.2	False		unresolved_or_ambiguous	
AC090952.1	AC090952.1	False		unresolved_or_ambiguous	
CCDC174	CCDC174	False	51244	official_exact	CCDC174
C3orf20	C3orf20	False	84077	unique_synonym	FAM194C
AC090957.1	AC090957.1	False		unresolved_or_ambiguous	
AC087591.1	AC087591.1	False		unresolved_or_ambiguous	
LINC02011	LINC02011	False	152274	official_exact	LINC02011
FGD5	FGD5	False	152273	official_exact	FGD5
FGD5-AS1	FGD5-AS1	False	100505641	official_exact	FGD5-AS1
NR2C2	NR2C2	False	7182	official_exact	NR2C2
MRPS25	MRPS25	False	64432	official_exact	MRPS25
RBSN	RBSN	False	64145	official_exact	RBSN
CAPN7	CAPN7	False	23473	official_exact	CAPN7
SH3BP5-AS1	SH3BP5-AS1	False	100505696	official_exact	SH3BP5-AS1
SH3BP5	SH3BP5	False	9467	official_exact	SH3BP5
METTL6	METTL6	False	131965	official_exact	METTL6
EAF1	EAF1	False	85403	official_exact	EAF1
EAF1-AS1	EAF1-AS1	False	100873956	official_exact	EAF1-AS1
COLQ	COLQ	False	8292	official_exact	COLQ
AC027129.1	AC027129.1	False		unresolved_or_ambiguous	
HACL1	HACL1	False	26061	official_exact	HACL1
BTD	BTD	False	686	official_exact	BTD
ANKRD28	ANKRD28	False	23243	official_exact	ANKRD28
AC090945.1	AC090945.1	False		unresolved_or_ambiguous	
AC090946.1	AC090946.1	False		unresolved_or_ambiguous	
GALNT15	GALNT15	False	117248	official_exact	GALNT15
AC090953.2	AC090953.2	False		unresolved_or_ambiguous	
DPH3	DPH3	False	285381	official_exact	DPH3
OXNAD1	OXNAD1	False	92106	official_exact	OXNAD1
RFTN1	RFTN1	False	23180	official_exact	RFTN1
AC090948.1	AC090948.1	False		unresolved_or_ambiguous	
AC090948.2	AC090948.2	False		unresolved_or_ambiguous	
AC090948.3	AC090948.3	False		unresolved_or_ambiguous	
AC090948.4	AC090948.4	False		unresolved_or_ambiguous	
AC010727.1	AC010727.1	False		unresolved_or_ambiguous	
LINC00690	LINC00690	False	100996597	official_exact	LINC00690
AC010139.1	AC010139.1	False		unresolved_or_ambiguous	
DAZL	DAZL	False	1618	official_exact	DAZL
AC091493.1	AC091493.1	False		unresolved_or_ambiguous	
PLCL2	PLCL2	False	23228	official_exact	PLCL2
PLCL2-AS1	PLCL2-AS1	False	100874003	official_exact	PLCL2-AS1
AC090644.1	AC090644.1	False		unresolved_or_ambiguous	
TBC1D5	TBC1D5	False	9779	official_exact	TBC1D5
AC104451.2	AC104451.2	False		unresolved_or_ambiguous	
AC132807.1	AC132807.1	False		unresolved_or_ambiguous	
AC132807.2	AC132807.2	False		unresolved_or_ambiguous	
SATB1	SATB1	False	6304	official_exact	SATB1
AC144521.1	AC144521.1	False		unresolved_or_ambiguous	
SATB1-AS1	SATB1-AS1	False	101927777	official_exact	SATB1-AS1
KCNH8	KCNH8	False	131096	official_exact	KCNH8
AC061958.1	AC061958.1	False		unresolved_or_ambiguous	
EFHB	EFHB	False	151651	official_exact	EFHB
RAB5A	RAB5A	False	5868	official_exact	RAB5A
PP2D1	PP2D1	False	151649	official_exact	PP2D1
KAT2B	KAT2B	False	8850	official_exact	KAT2B
SGO1	SGO1	False	151648	official_exact	SGO1
SGO1-AS1	SGO1-AS1	False	100874028	official_exact	SGO1-AS1
AC116096.1	AC116096.1	False		unresolved_or_ambiguous	
AC099753.1	AC099753.1	False		unresolved_or_ambiguous	
ZNF385D	ZNF385D	False	79750	official_exact	ZNF385D
ZNF385D-AS1	ZNF385D-AS1	False	100874216	official_exact	ZNF385D-AS1
ZNF385D-AS2	ZNF385D-AS2	False	100874221	official_exact	ZNF385D-AS2
UBE2E2-AS1	UBE2E2-AS1	False	100505877	unique_synonym	UBE2E2-DT
UBE2E2	UBE2E2	False	7325	official_exact	UBE2E2
UBE2E1-AS1	UBE2E1-AS1	False	100874092	official_exact	UBE2E1-AS1
UBE2E1	UBE2E1	False	7324	official_exact	UBE2E1
NKIRAS1	NKIRAS1	False	28512	official_exact	NKIRAS1
RPL15	RPL15	False	6138	official_exact	RPL15
NR1D2	NR1D2	False	9975	official_exact	NR1D2
LINC00691	LINC00691	False	152024	official_exact	LINC00691
THRB	THRB	False	7068	official_exact	THRB
THRB-IT1	THRB-IT1	False	100874274	official_exact	THRB-IT1
THRB-AS1	THRB-AS1	False	644990	official_exact	THRB-AS1
AC012087.2	AC012087.2	False		unresolved_or_ambiguous	
AC092422.1	AC092422.1	False		unresolved_or_ambiguous	
RARB	RARB	False	5915	official_exact	RARB
TOP2B	TOP2B	False	7155	official_exact	TOP2B
NGLY1	NGLY1	False	55768	official_exact	NGLY1
OXSM	OXSM	False	54995	official_exact	OXSM
LINC00692	LINC00692	False	285326	official_exact	LINC00692
AC099754.1	AC099754.1	False		unresolved_or_ambiguous	
LRRC3B	LRRC3B	False	116135	official_exact	LRRC3B
NEK10	NEK10	False	152110	official_exact	NEK10
AC099535.2	AC099535.2	False		unresolved_or_ambiguous	
SLC4A7	SLC4A7	False	9497	official_exact	SLC4A7
LINC02084	LINC02084	False	105377006	official_exact	LINC02084
EOMES	EOMES	False	8320	official_exact	EOMES
LINC01980	LINC01980	False	105377007	official_exact	LINC01980
LINC01981	LINC01981	False	100996624	official_exact	LINC01981
LINC01967	LINC01967	False	107986041	official_exact	LINC01967
CMC1	CMC1	False	152100	official_exact	CMC1
AZI2	AZI2	False	64343	official_exact	AZI2
ZCWPW2	ZCWPW2	False	152098	official_exact	ZCWPW2
RBMS3	RBMS3	False	27303	official_exact	RBMS3
RBMS3-AS3	RBMS3-AS3	False	100873979	official_exact	RBMS3-AS3
RBMS3-AS2	RBMS3-AS2	False	100873978	official_exact	RBMS3-AS2
RBMS3-AS1	RBMS3-AS1	False	100873977	official_exact	RBMS3-AS1
AC025614.2	AC025614.2	False		unresolved_or_ambiguous	
LINC01985	LINC01985	False	101928015	official_exact	LINC01985
AC116035.1	AC116035.1	False		unresolved_or_ambiguous	
TGFBR2	TGFBR2	False	7048	official_exact	TGFBR2
AC096921.2	AC096921.2	False		unresolved_or_ambiguous	
GADL1	GADL1	False	339896	official_exact	GADL1
STT3B	STT3B	False	201595	official_exact	STT3B
OSBPL10	OSBPL10	False	114884	official_exact	OSBPL10
OSBPL10-AS1	OSBPL10-AS1	False	100874206	official_exact	OSBPL10-AS1
ZNF860	ZNF860	False	344787	official_exact	ZNF860
GPD1L	GPD1L	False	23171	official_exact	GPD1L
AC097639.1	AC097639.1	False		unresolved_or_ambiguous	
CMTM8	CMTM8	False	152189	official_exact	CMTM8
CMTM7	CMTM7	False	112616	official_exact	CMTM7
CMTM6	CMTM6	False	54918	official_exact	CMTM6
DYNC1LI1	DYNC1LI1	False	51143	official_exact	DYNC1LI1
CNOT10	CNOT10	False	25904	official_exact	CNOT10
CNOT10-AS1	CNOT10-AS1	False	100874109	official_exact	CNOT10-AS1
TRIM71	TRIM71	False	131405	official_exact	TRIM71
CCR4	CCR4	False	1233	official_exact	CCR4
GLB1	GLB1	False	2720	official_exact	GLB1
