module	endpoint	program	test	p	q_BH_cross_module_sensitivity
M05	MG DPN minus MNC	late_shared_concordant_neuronal_core	full score	0.9142857142857144	0.9282442748091604
M05	MG DPN minus MNC	original_early_allcell	full score	0.4	0.8057417910447761
M05	MG DPN minus MNC	original_late_allcell	full score	0.2	0.6333333333333334
M05	MG DPN minus MNC	original_late_neuron	full score	0.3428571428571428	0.7836769230769232
M05	MG DPN minus MNC	original_severity	full score	0.6285714285714286	0.8574272133095662
M05	MG DPN minus MNC	original_xenium	full score	0.0285714285714285	0.3446078431372547
M05	MG DPN minus MNC	severity_neuron_residual	full score	0.6857142857142857	0.88718125
M06	molecular ANCOVA	late_allcell_residual	joint treatment	0.5751797798436648	0.8499878968800824
M06	molecular ANCOVA	late_neuron_residual	joint treatment	0.760599292428963	0.8873658411671235
M06	molecular ANCOVA	late_shared_concordant_neuronal_core	joint treatment	0.8923625338031903	0.9200326898901108
M06	molecular ANCOVA	original_early_allcell	joint treatment	0.7414811794600721	0.88718125
M06	molecular ANCOVA	original_late_allcell	joint treatment	0.5827439469646372	0.8517026917175466
M06	molecular ANCOVA	original_late_neuron	joint treatment	0.6513236136895193	0.8662604062070607
M06	molecular ANCOVA	original_severity	joint treatment	0.8714924969007981	0.9126653707701272
M06	molecular ANCOVA	severity_neuron_residual	joint treatment	0.8336847263412706	0.9126653707701272
M06	NPSI interaction	late_allcell_residual	joint interaction	0.4707268409697599	0.8499878968800824
M06	NPSI interaction	late_neuron_residual	joint interaction	0.5557058650089306	0.8499878968800824
M06	NPSI interaction	late_shared_concordant_neuronal_core	joint interaction	0.865759658916093	0.9126653707701272
M06	NPSI interaction	original_early_allcell	joint interaction	0.5372217552525063	0.8499878968800824
M06	NPSI interaction	original_late_allcell	joint interaction	0.5019230016574019	0.8499878968800824
M06	NPSI interaction	original_late_neuron	joint interaction	0.8355426121336217	0.9126653707701272
M06	NPSI interaction	original_severity	joint interaction	0.3435718288576281	0.7836769230769232
M06	NPSI interaction	severity_neuron_residual	joint interaction	0.2334187750397327	0.648375
