ensembl_gene_id	human_gene_id	current_symbol_cache	type_of_gene_cache	ensembl_mapping_is_one_to_one	present_in_GSE302658	current_symbol_rebuilt	type_of_gene_rebuilt	rebuilt_one_to_one	_merge
ENSG00000135535	8763	CD164	protein-coding	True	True	CD164	protein-coding	True	both
ENSG00000135537	246269	AFG1L	protein-coding	True	True	AFG1L	protein-coding	True	both
ENSG00000135540	57224	NHSL1	protein-coding	True	True	NHSL1	protein-coding	True	both
ENSG00000135541	54806	AHI1	protein-coding	True	True	AHI1	protein-coding	True	both
ENSG00000135547	23493	HEY2	protein-coding	True	True	HEY2	protein-coding	True	both
ENSG00000135549	5570	PKIB	protein-coding	True	True	PKIB	protein-coding	True	both
ENSG00000135569	9038	TAAR5	protein-coding	True	True	TAAR5	protein-coding	True	both
ENSG00000135577	4829	NMBR	protein-coding	True	True	NMBR	protein-coding	True	both
ENSG00000135587	6610	SMPD2	protein-coding	True	True	SMPD2	protein-coding	True	both
ENSG00000135596	64780	MICAL1	protein-coding	True	True	MICAL1	protein-coding	True	both
ENSG00000135597	85021	REPS1	protein-coding	True	True	REPS1	protein-coding	True	both
ENSG00000135604	8676	STX11	protein-coding	True	True	STX11	protein-coding	True	both
ENSG00000135605	7006	TEC	protein-coding	True	True	TEC	protein-coding	True	both
ENSG00000135617	84279	PRADC1	protein-coding	True	True	PRADC1	protein-coding	True	both
ENSG00000135622	10505	SEMA4F	protein-coding	True	True	SEMA4F	protein-coding	True	both
ENSG00000135624	10574	CCT7	protein-coding	True	True	CCT7	protein-coding	True	both
ENSG00000135625	1961	EGR4	protein-coding	True	True	EGR4	protein-coding	True	both
ENSG00000135631	26056	RAB11FIP5	protein-coding	True	True	RAB11FIP5	protein-coding	True	both
ENSG00000135632	10322	SMYD5	protein-coding	True	True	SMYD5	protein-coding	True	both
ENSG00000135636	8291	DYSF	protein-coding	True	True	DYSF	protein-coding	True	both
ENSG00000135637	84865	CCDC142	protein-coding	True	True	CCDC142	protein-coding	True	both
ENSG00000135638	2016	EMX1	protein-coding	True	True	EMX1	protein-coding	True	both
ENSG00000135643	27345	KCNMB4	protein-coding	True	True	KCNMB4	protein-coding	True	both
ENSG00000135655	9958	USP15	protein-coding	True	True	USP15	protein-coding	True	both
ENSG00000135677	2799	GNS	protein-coding	True	True	GNS	protein-coding	True	both
ENSG00000135678	1368	CPM	protein-coding	True	True	CPM	protein-coding	True	both
ENSG00000135679	4193	MDM2	protein-coding	True	True	MDM2	protein-coding	True	both
ENSG00000135686	79786	KLHL36	protein-coding	True	True	KLHL36	protein-coding	True	both
ENSG00000135697	53630	BCO1	protein-coding	True	True	BCO1	protein-coding	True	both
ENSG00000135698	10200	MPHOSPH6	protein-coding	True	True	MPHOSPH6	protein-coding	True	both
ENSG00000135702	23563	CHST5	protein-coding	True	True	CHST5	protein-coding	True	both
ENSG00000135709	9764	KIAA0513	protein-coding	True	True	KIAA0513	protein-coding	True	both
ENSG00000135720	1783	DYNC1LI2	protein-coding	True	True	DYNC1LI2	protein-coding	True	both
ENSG00000135722	55336	FBXL8	protein-coding	True	True	FBXL8	protein-coding	True	both
ENSG00000135723	29109	FHOD1	protein-coding	True	True	FHOD1	protein-coding	True	both
ENSG00000135736	92922	CCDC102A	protein-coding	True	True	CCDC102A	protein-coding	True	both
ENSG00000135740	6553	SLC9A5	protein-coding	True	True	SLC9A5	protein-coding	True	both
ENSG00000135744	183	AGT	protein-coding	True	True	AGT	protein-coding	True	both
ENSG00000135747	100533111	ZNF670-ZNF695	ncRNA	True	True	ZNF670-ZNF695	ncRNA	True	both
ENSG00000135749	80003	PCNX2	protein-coding	True	True	PCNX2	protein-coding	True	both
ENSG00000135750	3775	KCNK1	protein-coding	True	True	KCNK1	protein-coding	True	both
ENSG00000135763	9816	URB2	protein-coding	True	True	URB2	protein-coding	True	both
ENSG00000135766	54583	EGLN1	protein-coding	True	True	EGLN1	protein-coding	True	both
ENSG00000135773	10753	CAPN9	protein-coding	True	True	CAPN9	protein-coding	True	both
ENSG00000135775	22796	COG2	protein-coding	True	True	COG2	protein-coding	True	both
ENSG00000135776	23456	ABCB10	protein-coding	True	True	ABCB10	protein-coding	True	both
ENSG00000135778	84284	NTPCR	protein-coding	True	True	NTPCR	protein-coding	True	both
ENSG00000135801	27097	TAF5L	protein-coding	True	True	TAF5L	protein-coding	True	both
ENSG00000135821	2752	GLUL	protein-coding	True	True	GLUL	protein-coding	True	both
ENSG00000135823	10228	STX6	protein-coding	True	True	STX6	protein-coding	True	both
ENSG00000135824	85397	RGS8	protein-coding	True	True	RGS8	protein-coding	True	both
ENSG00000135828	6041	RNASEL	protein-coding	True	True	RNASEL	protein-coding	True	both
ENSG00000135829	1660	DHX9	protein-coding	True	True	DHX9	protein-coding	True	both
ENSG00000135835	57710	KIAA1614	protein-coding	True	True	KIAA1614	protein-coding	True	both
ENSG00000135837	9857	CEP350	protein-coding	True	True	CEP350	protein-coding	True	both
ENSG00000135838	80896	NPL	protein-coding	True	True	NPL	protein-coding	True	both
ENSG00000135842	116496	NIBAN1	protein-coding	True	True	NIBAN1	protein-coding	True	both
ENSG00000135845	5279	PIGC	protein-coding	True	True	PIGC	protein-coding	True	both
ENSG00000135862	3915	LAMC1	protein-coding	True	True	LAMC1	protein-coding	True	both
ENSG00000135870	149041	RC3H1	protein-coding	True	True	RC3H1	protein-coding	True	both
ENSG00000135898	9290	GPR55	protein-coding	True	True	GPR55	protein-coding	True	both
ENSG00000135899	3431	SP110	protein-coding	True	True	SP110	protein-coding	True	both
ENSG00000135900	65080	MRPL44	protein-coding	True	True	MRPL44	protein-coding	True	both
ENSG00000135902	1144	CHRND	protein-coding	True	True	CHRND	protein-coding	True	both
ENSG00000135903	5077	PAX3	protein-coding	True	True	PAX3	protein-coding	True	both
ENSG00000135905	55619	DOCK10	protein-coding	True	True	DOCK10	protein-coding	True	both
ENSG00000135912	9654	TTLL4	protein-coding	True	True	TTLL4	protein-coding	True	both
ENSG00000135913	57695	USP37	protein-coding	True	True	USP37	protein-coding	True	both
ENSG00000135914	3357	HTR2B	protein-coding	True	True	HTR2B	protein-coding	True	both
ENSG00000135916	81618	ITM2C	protein-coding	True	True	ITM2C	protein-coding	True	both
ENSG00000135917	80704	SLC19A3	protein-coding	True	True	SLC19A3	protein-coding	True	both
ENSG00000135919	5270	SERPINE2	protein-coding	True	True	SERPINE2	protein-coding	True	both
ENSG00000135924	3300	DNAJB2	protein-coding	True	True	DNAJB2	protein-coding	True	both
ENSG00000135925	80326	WNT10A	protein-coding	True	True	WNT10A	protein-coding	True	both
ENSG00000135926	64114	TMBIM1	protein-coding	True	True	TMBIM1	protein-coding	True	both
ENSG00000135929	1593	CYP27A1	protein-coding	True	True	CYP27A1	protein-coding	True	both
ENSG00000135930	9470	EIF4E2	protein-coding	True	True	EIF4E2	protein-coding	True	both
ENSG00000135931	80210	ARMC9	protein-coding	True	True	ARMC9	protein-coding	True	both
ENSG00000135932	51719	CAB39	protein-coding	True	True	CAB39	protein-coding	True	both
ENSG00000135940	1329	COX5B	protein-coding	True	True	COX5B	protein-coding	True	both
ENSG00000135945	51455	REV1	protein-coding	True	True	REV1	protein-coding	True	both
ENSG00000135951	80705	TSGA10	protein-coding	True	True	TSGA10	protein-coding	True	both
ENSG00000135953	84804	SLC67A2	protein-coding	True	True	SLC67A2	protein-coding	True	both
ENSG00000135956	55654	TMEM127	protein-coding	True	True	TMEM127	protein-coding	True	both
ENSG00000135960	10913	EDAR	protein-coding	True	True	EDAR	protein-coding	True	both
ENSG00000135966	9392	TGFBRAP1	protein-coding	True	True	TGFBRAP1	protein-coding	True	both
ENSG00000135968	9648	GCC2	protein-coding	True	True	GCC2	protein-coding	True	both
ENSG00000135972	64965	MRPS9	protein-coding	True	True	MRPS9	protein-coding	True	both
ENSG00000135973	11250	GPR45	protein-coding	True	True	GPR45	protein-coding	True	both
ENSG00000135974	79074	TSLIG2	protein-coding	True	True	TSLIG2	protein-coding	True	both
ENSG00000135976	375248	ANKRD36	protein-coding	True	True	ANKRD36	protein-coding	True	both
ENSG00000135999	26122	EPC2	protein-coding	True	True	EPC2	protein-coding	True	both
ENSG00000136002	50649	ARHGEF4	protein-coding	True	True	ARHGEF4	protein-coding	True	both
ENSG00000136003	23479	ISCU	protein-coding	True	True	ISCU	protein-coding	True	both
ENSG00000136010	160428	ALDH1L2	protein-coding	True	True	ALDH1L2	protein-coding	True	both
ENSG00000136011	55576	STAB2	protein-coding	True	True	STAB2	protein-coding	True	both
ENSG00000136014	84101	USP44	protein-coding	True	True	USP44	protein-coding	True	both
ENSG00000136021	55681	SCYL2	protein-coding	True	True	SCYL2	protein-coding	True	both
ENSG00000136026	10970	CKAP4	protein-coding	True	True	CKAP4	protein-coding	True	both
ENSG00000136040	10154	PLXNC1	protein-coding	True	True	PLXNC1	protein-coding	True	both
ENSG00000136044	55198	APPL2	protein-coding	True	True	APPL2	protein-coding	True	both
ENSG00000136045	11137	PWP1	protein-coding	True	True	PWP1	protein-coding	True	both
ENSG00000136048	55332	DRAM1	protein-coding	True	True	DRAM1	protein-coding	True	both
ENSG00000136051	23325	WASHC4	protein-coding	True	True	WASHC4	protein-coding	True	both
ENSG00000136052	84102	SLC41A2	protein-coding	True	True	SLC41A2	protein-coding	True	both
ENSG00000136059	50853	VILL	protein-coding	True	True	VILL	protein-coding	True	both
ENSG00000136068	2317	FLNB	protein-coding	True	True	FLNB	protein-coding	True	both
ENSG00000136098	4752	NEK3	protein-coding	True	True	NEK3	protein-coding	True	both
ENSG00000136099	5100	PCDH8	protein-coding	True	True	PCDH8	protein-coding	True	both
ENSG00000136100	51028	VPS36	protein-coding	True	True	VPS36	protein-coding	True	both
ENSG00000136104	79621	RNASEH2B	protein-coding	True	True	RNASEH2B	protein-coding	True	both
ENSG00000136108	26586	CKAP2	protein-coding	True	True	CKAP2	protein-coding	True	both
ENSG00000136110	11061	CNMD	protein-coding	True	True	CNMD	protein-coding	True	both
ENSG00000136111	9882	TBC1D4	protein-coding	True	True	TBC1D4	protein-coding	True	both
ENSG00000136114	55901	THSD1	protein-coding	True	True	THSD1	protein-coding	True	both
ENSG00000136122	79866	BORA	protein-coding	True	True	BORA	protein-coding	True	both
ENSG00000136141	23143	LRCH1	protein-coding	True	True	LRCH1	protein-coding	True	both
ENSG00000136143	8803	SUCLA2	protein-coding	True	True	SUCLA2	protein-coding	True	both
ENSG00000136144	55213	RCBTB1	protein-coding	True	True	RCBTB1	protein-coding	True	both
ENSG00000136146	29079	MED4	protein-coding	True	True	MED4	protein-coding	True	both
ENSG00000136147	51131	PHF11	protein-coding	True	True	PHF11	protein-coding	True	both
ENSG00000136149	100287887	RPL13AP25	pseudo	True	True	RPL13AP25	pseudo	True	both
ENSG00000136152	83548	COG3	protein-coding	True	True	COG3	protein-coding	True	both
ENSG00000136153	4008	LMO7	protein-coding	True	True	LMO7	protein-coding	True	both
ENSG00000136155	8796	SCEL	protein-coding	True	True	SCEL	protein-coding	True	both
ENSG00000136156	9445	ITM2B	protein-coding	True	True	ITM2B	protein-coding	True	both
ENSG00000136158	10253	SPRY2	protein-coding	True	True	SPRY2	protein-coding	True	both
ENSG00000136159	55270	NUDT15	protein-coding	True	True	NUDT15	protein-coding	True	both
ENSG00000136160	1910	EDNRB	protein-coding	True	True	EDNRB	protein-coding	True	both
ENSG00000136161	1102	RCBTB2	protein-coding	True	True	RCBTB2	protein-coding	True	both
ENSG00000136167	3936	LCP1	protein-coding	True	True	LCP1	protein-coding	True	both
ENSG00000136169	83852	SETDB2	protein-coding	True	True	SETDB2	protein-coding	True	both
ENSG00000136193	9805	SCRN1	protein-coding	True	True	SCRN1	protein-coding	True	both
ENSG00000136197	79020	C7orf25	protein-coding	True	True	C7orf25	protein-coding	True	both
ENSG00000136205	64759	TNS3	protein-coding	True	True	TNS3	protein-coding	True	both
ENSG00000136206	285955	SPDYE1	protein-coding	True	True	SPDYE1	protein-coding	True	both
ENSG00000136213	55501	CHST12	protein-coding	True	True	CHST12	protein-coding	True	both
ENSG00000136231	10643	IGF2BP3	protein-coding	True	True	IGF2BP3	protein-coding	True	both
ENSG00000136235	10457	GPNMB	protein-coding	True	True	GPNMB	protein-coding	True	both
ENSG00000136237	9771	RAPGEF5	protein-coding	True	True	RAPGEF5	protein-coding	True	both
ENSG00000136238	5879	RAC1	protein-coding	True	True	RAC1	protein-coding	True	both
ENSG00000136240	11014	KDELR2	protein-coding	True	True	KDELR2	protein-coding	True	both
ENSG00000136243	11097	NUP42	protein-coding	True	True	NUP42	protein-coding	True	both
ENSG00000136244	3569	IL6	protein-coding	True	True	IL6	protein-coding	True	both
ENSG00000136247	55146	ZDHHC4	protein-coding	True	True	ZDHHC4	protein-coding	True	both
ENSG00000136250	313	AOAH	protein-coding	True	True	AOAH	protein-coding	True	both
ENSG00000136261	28969	BZW2	protein-coding	True	True	BZW2	protein-coding	True	both
ENSG00000136267	1607	DGKB	protein-coding	True	True	DGKB	protein-coding	True	both
ENSG00000136270	9238	TBRG4	protein-coding	True	True	TBRG4	protein-coding	True	both
ENSG00000136271	54606	DDX56	protein-coding	True	True	DDX56	protein-coding	True	both
ENSG00000136273	3364	HUS1	protein-coding	True	True	HUS1	protein-coding	True	both
ENSG00000136274	23148	NACAD	protein-coding	True	True	NACAD	protein-coding	True	both
ENSG00000136275	80099	PKD1L1-AS1	ncRNA	True	True	PKD1L1-AS1	ncRNA	True	both
ENSG00000136279	28988	DBNL	protein-coding	True	True	DBNL	protein-coding	True	both
ENSG00000136280	83605	CCM2	protein-coding	True	True	CCM2	protein-coding	True	both
ENSG00000136286	64005	MYO1G	protein-coding	True	True	MYO1G	protein-coding	True	both
ENSG00000136295	80727	TTYH3	protein-coding	True	True	TTYH3	protein-coding	True	both
ENSG00000136297	221938	MMD2	protein-coding	True	True	MMD2	protein-coding	True	both
ENSG00000136305	27141	CIDEB	protein-coding	True	True	CIDEB	protein-coding	True	both
ENSG00000136319	91875	TTC5	protein-coding	True	True	TTC5	protein-coding	True	both
ENSG00000136327	26257	NKX2-8	protein-coding	True	True	NKX2-8	protein-coding	True	both
ENSG00000136352	7080	NKX2-1	protein-coding	True	True	NKX2-1	protein-coding	True	both
ENSG00000136367	85446	ZFHX2	protein-coding	True	True	ZFHX2	protein-coding	True	both
ENSG00000136371	10588	MTHFS	protein-coding	True	True	MTHFS	protein-coding	True	both
ENSG00000136378	11173	ADAMTS7	protein-coding	True	True	ADAMTS7	protein-coding	True	both
ENSG00000136379	58489	ABHD17C	protein-coding	True	True	ABHD17C	protein-coding	True	both
ENSG00000136381	3658	IREB2	protein-coding	True	True	IREB2	protein-coding	True	both
ENSG00000136383	57538	ALPK3	protein-coding	True	True	ALPK3	protein-coding	True	both
ENSG00000136404	53346	TM6SF1	protein-coding	True	True	TM6SF1	protein-coding	True	both
ENSG00000136425	10518	CIB2	protein-coding	True	True	CIB2	protein-coding	True	both
ENSG00000136436	10241	CALCOCO2	protein-coding	True	True	CALCOCO2	protein-coding	True	both
ENSG00000136444	55316	RSAD1	protein-coding	True	True	RSAD1	protein-coding	True	both
ENSG00000136448	4836	NMT1	protein-coding	True	True	NMT1	protein-coding	True	both
ENSG00000136449	84073	MYCBPAP	protein-coding	True	True	MYCBPAP	protein-coding	True	both
ENSG00000136450	6426	SRSF1	protein-coding	True	True	SRSF1	protein-coding	True	both
ENSG00000136451	7716	VEZF1	protein-coding	True	True	VEZF1	protein-coding	True	both
ENSG00000136457	1101	CHAD	protein-coding	True	True	CHAD	protein-coding	True	both
ENSG00000136463	51204	TACO1	protein-coding	True	True	TACO1	protein-coding	True	both
ENSG00000136478	55852	TEX2	protein-coding	True	True	TEX2	protein-coding	True	both
ENSG00000136485	10238	DCAF7	protein-coding	True	True	DCAF7	protein-coding	True	both
ENSG00000136487	2689	GH2	protein-coding	True	True	GH2	protein-coding	True	both
ENSG00000136488	1442	CSH1	protein-coding	True	True	CSH1	protein-coding	True	both
ENSG00000136490	80774	LIMD2	protein-coding	True	True	LIMD2	protein-coding	True	both
ENSG00000136492	83990	BRIP1	protein-coding	True	True	BRIP1	protein-coding	True	both
ENSG00000136504	11143	KAT7	protein-coding	True	True	KAT7	protein-coding	True	both
ENSG00000136514	64108	RTP4	protein-coding	True	True	RTP4	protein-coding	True	both
ENSG00000136518	86	ACTL6A	protein-coding	True	True	ACTL6A	protein-coding	True	both
ENSG00000136521	4711	NDUFB5	protein-coding	True	True	NDUFB5	protein-coding	True	both
ENSG00000136522	57129	MRPL47	protein-coding	True	True	MRPL47	protein-coding	True	both
ENSG00000136527	6434	TRA2B	protein-coding	True	True	TRA2B	protein-coding	True	both
ENSG00000136531	6326	SCN2A	protein-coding	True	True	SCN2A	protein-coding	True	both
ENSG00000136535	10716	TBR1	protein-coding	True	True	TBR1	protein-coding	True	both
ENSG00000136536	64844	MARCHF7	protein-coding	True	True	MARCHF7	protein-coding	True	both
ENSG00000136541	57471	ERMN	protein-coding	True	True	ERMN	protein-coding	True	both
ENSG00000136542	11227	GALNT5	protein-coding	True	True	GALNT5	protein-coding	True	both
ENSG00000136546	6332	SCN7A	protein-coding	True	True	SCN7A	protein-coding	True	both
ENSG00000136560	10010	TANK	protein-coding	True	True	TANK	protein-coding	True	both
ENSG00000136573	640	BLK	protein-coding	True	True	BLK	protein-coding	True	both
ENSG00000136574	2626	GATA4	protein-coding	True	True	GATA4	protein-coding	True	both
ENSG00000136603	6498	SKIL	protein-coding	True	True	SKIL	protein-coding	True	both
ENSG00000136628	2058	EPRS1	protein-coding	True	True	EPRS1	protein-coding	True	both
ENSG00000136630	3142	HLX	protein-coding	True	True	HLX	protein-coding	True	both
ENSG00000136631	11311	VPS45	protein-coding	True	True	VPS45	protein-coding	True	both
ENSG00000136634	3586	IL10	protein-coding	True	True	IL10	protein-coding	True	both
ENSG00000136636	51133	KCTD3	protein-coding	True	True	KCTD3	protein-coding	True	both
ENSG00000136643	26750	RPS6KC1	protein-coding	True	True	RPS6KC1	protein-coding	True	both
ENSG00000136682	150472	ZNG1B	protein-coding	True	True	ZNG1B	protein-coding	True	both
ENSG00000136688	56300	IL36G	protein-coding	True	True	IL36G	protein-coding	True	both
ENSG00000136689	3557	IL1RN	protein-coding	True	True	IL1RN	protein-coding	True	both
ENSG00000136694	27179	IL36A	protein-coding	True	True	IL36A	protein-coding	True	both
ENSG00000136695	26525	IL36RN	protein-coding	True	True	IL36RN	protein-coding	True	both
ENSG00000136696	27177	IL36B	protein-coding	True	True	IL36B	protein-coding	True	both
ENSG00000136697	84639	IL1F10	protein-coding	True	True	IL1F10	protein-coding	True	both
ENSG00000136698	55997	CFC1	protein-coding	True	True	CFC1	protein-coding	True	both
ENSG00000136699	55627	SMPD4	protein-coding	True	True	SMPD4	protein-coding	True	both
ENSG00000136709	55339	WDR33	protein-coding	True	True	WDR33	protein-coding	True	both
ENSG00000136710	84317	VMA22	protein-coding	True	True	VMA22	protein-coding	True	both
ENSG00000136715	79595	SAP130	protein-coding	True	True	SAP130	protein-coding	True	both
ENSG00000136717	274	BIN1	protein-coding	True	True	BIN1	protein-coding	True	both
ENSG00000136718	92856	IMP4	protein-coding	True	True	IMP4	protein-coding	True	both
ENSG00000136720	9394	HS6ST1	protein-coding	True	True	HS6ST1	protein-coding	True	both
ENSG00000136731	56886	UGGT1	protein-coding	True	True	UGGT1	protein-coding	True	both
ENSG00000136732	2995	GYPC	protein-coding	True	True	GYPC	protein-coding	True	both
ENSG00000136738	8027	STAM	protein-coding	True	True	STAM	protein-coding	True	both
ENSG00000136750	2572	GAD2	protein-coding	True	True	GAD2	protein-coding	True	both
ENSG00000136754	10006	ABI1	protein-coding	True	True	ABI1	protein-coding	True	both
ENSG00000136758	10730	YME1L1	protein-coding	True	True	YME1L1	protein-coding	True	both
ENSG00000136770	64215	DNAJC1	protein-coding	True	True	DNAJC1	protein-coding	True	both
ENSG00000136783	25934	NIPSNAP3A	protein-coding	True	True	NIPSNAP3A	protein-coding	True	both
ENSG00000136802	56262	LRRC8A	protein-coding	True	True	LRRC8A	protein-coding	True	both
ENSG00000136807	1025	CDK9	protein-coding	True	True	CDK9	protein-coding	True	both
ENSG00000136810	7295	TXN	protein-coding	True	True	TXN	protein-coding	True	both
ENSG00000136811	4957	ODF2	protein-coding	True	True	ODF2	protein-coding	True	both
ENSG00000136813	23392	ECPAS	protein-coding	True	True	ECPAS	protein-coding	True	both
ENSG00000136816	27348	TOR1B	protein-coding	True	True	TOR1B	protein-coding	True	both
ENSG00000136819	51759	C9orf78	protein-coding	True	True	C9orf78	protein-coding	True	both
ENSG00000136824	10592	SMC2	protein-coding	True	True	SMC2	protein-coding	True	both
ENSG00000136826	9314	KLF4	protein-coding	True	True	KLF4	protein-coding	True	both
ENSG00000136827	1861	TOR1A	protein-coding	True	True	TOR1A	protein-coding	True	both
ENSG00000136828	9649	RALGPS1	protein-coding	True	True	RALGPS1	protein-coding	True	both
ENSG00000136830	64855	NIBAN2	protein-coding	True	True	NIBAN2	protein-coding	True	both
ENSG00000136834	347168	OR1J1	protein-coding	True	True	OR1J1	protein-coding	True	both
ENSG00000136839	286362	OR13C9	protein-coding	True	True	OR13C9	protein-coding	True	both
ENSG00000136840	27090	ST6GALNAC4	protein-coding	True	True	ST6GALNAC4	protein-coding	True	both
ENSG00000136842	7111	TMOD1	protein-coding	True	True	TMOD1	protein-coding	True	both
ENSG00000136848	153090	DAB2IP	protein-coding	True	True	DAB2IP	protein-coding	True	both
ENSG00000136854	6812	STXBP1	protein-coding	True	True	STXBP1	protein-coding	True	both
ENSG00000136856	29988	SLC2A8	protein-coding	True	True	SLC2A8	protein-coding	True	both
ENSG00000136859	23452	ANGPTL2	protein-coding	True	True	ANGPTL2	protein-coding	True	both
ENSG00000136861	55755	CDK5RAP2	protein-coding	True	True	CDK5RAP2	protein-coding	True	both
ENSG00000136866	7539	ZFP37	protein-coding	True	True	ZFP37	protein-coding	True	both
ENSG00000136867	1318	SLC31A2	protein-coding	True	True	SLC31A2	protein-coding	True	both
ENSG00000136868	1317	SLC31A1	protein-coding	True	True	SLC31A1	protein-coding	True	both
ENSG00000136869	7099	TLR4	protein-coding	True	True	TLR4	protein-coding	True	both
ENSG00000136870	7743	ZNF189	protein-coding	True	True	ZNF189	protein-coding	True	both
ENSG00000136872	229	ALDOB	protein-coding	True	True	ALDOB	protein-coding	True	both
ENSG00000136874	55014	STX17	protein-coding	True	True	STX17	protein-coding	True	both
ENSG00000136875	9128	PRPF4	protein-coding	True	True	PRPF4	protein-coding	True	both
ENSG00000136877	2356	FPGS	protein-coding	True	True	FPGS	protein-coding	True	both
ENSG00000136878	10868	USP20	protein-coding	True	True	USP20	protein-coding	True	both
ENSG00000136881	570	BAAT	protein-coding	True	True	BAAT	protein-coding	True	both
ENSG00000136883	113220	KIF12	protein-coding	True	True	KIF12	protein-coding	True	both
ENSG00000136888	9550	ATP6V1G1	protein-coding	True	True	ATP6V1G1	protein-coding	True	both
ENSG00000136891	54881	TEX10	protein-coding	True	True	TEX10	protein-coding	True	both
ENSG00000136895	84253	GARNL3	protein-coding	True	True	GARNL3	protein-coding	True	both
ENSG00000136897	54534	MRPL50	protein-coding	True	True	MRPL50	protein-coding	True	both
ENSG00000136908	8818	DPM2	protein-coding	True	True	DPM2	protein-coding	True	both
ENSG00000136918	401551	WDR38	protein-coding	True	True	WDR38	protein-coding	True	both
ENSG00000136925	158427	TSTD2	protein-coding	True	True	TSTD2	protein-coding	True	both
ENSG00000136928	9568	GABBR2	protein-coding	True	True	GABBR2	protein-coding	True	both
ENSG00000136929	55363	HEMGN	protein-coding	True	True	HEMGN	protein-coding	True	both
ENSG00000136930	5695	PSMB7	protein-coding	True	True	PSMB7	protein-coding	True	both
ENSG00000136931	2516	NR5A1	protein-coding	True	True	NR5A1	protein-coding	True	both
ENSG00000136932	51531	TRMO	protein-coding	True	True	TRMO	protein-coding	True	both
ENSG00000136933	10244	RABEPK	protein-coding	True	True	RABEPK	protein-coding	True	both
ENSG00000136935	2800	GOLGA1	protein-coding	True	True	GOLGA1	protein-coding	True	both
ENSG00000136936	7507	XPA	protein-coding	True	True	XPA	protein-coding	True	both
ENSG00000136937	4686	NCBP1	protein-coding	True	True	NCBP1	protein-coding	True	both
ENSG00000136938	10541	ANP32B	protein-coding	True	True	ANP32B	protein-coding	True	both
ENSG00000136939	254973	OR1L4	protein-coding	True	True	OR1L4	protein-coding	True	both
ENSG00000136940	5082	PDCL	protein-coding	True	True	PDCL	protein-coding	True	both
ENSG00000136942	11224	RPL35	protein-coding	True	True	RPL35	protein-coding	True	both
ENSG00000136943	1515	CTSV	protein-coding	True	True	CTSV	protein-coding	True	both
ENSG00000136944	4010	LMX1B	protein-coding	True	True	LMX1B	protein-coding	True	both
ENSG00000136950	81873	ARPC5L	protein-coding	True	True	ARPC5L	protein-coding	True	both
ENSG00000136960	5168	ENPP2	protein-coding	True	True	ENPP2	protein-coding	True	both
ENSG00000136982	79075	DSCC1	protein-coding	True	True	DSCC1	protein-coding	True	both
ENSG00000136986	79139	DERL1	protein-coding	True	True	DERL1	protein-coding	True	both
ENSG00000136997	4609	MYC	protein-coding	True	True	MYC	protein-coding	True	both
ENSG00000136999	4856	CCN3	protein-coding	True	True	CCN3	protein-coding	True	both
ENSG00000137033	90865	IL33	protein-coding	True	True	IL33	protein-coding	True	both
ENSG00000137038	90871	DMAC1	protein-coding	True	True	DMAC1	protein-coding	True	both
ENSG00000137040	26953	RANBP6	protein-coding	True	True	RANBP6	protein-coding	True	both
ENSG00000137054	64425	POLR1E	protein-coding	True	True	POLR1E	protein-coding	True	both
ENSG00000137055	9373	PLAA	protein-coding	True	True	PLAA	protein-coding	True	both
ENSG00000137070	3590	IL11RA	protein-coding	True	True	IL11RA	protein-coding	True	both
ENSG00000137073	55833	UBAP2	protein-coding	True	True	UBAP2	protein-coding	True	both
ENSG00000137074	54840	APTX	protein-coding	True	True	APTX	protein-coding	True	both
ENSG00000137075	152006	RNF38	protein-coding	True	True	RNF38	protein-coding	True	both
ENSG00000137076	7094	TLN1	protein-coding	True	True	TLN1	protein-coding	True	both
ENSG00000137077	6366	CCL21	protein-coding	True	True	CCL21	protein-coding	True	both
ENSG00000137078	27240	SIT1	protein-coding	True	True	SIT1	protein-coding	True	both
ENSG00000137080	3452	IFNA21	protein-coding	True	True	IFNA21	protein-coding	True	both
ENSG00000137090	1761	DMRT1	protein-coding	True	True	DMRT1	protein-coding	True	both
ENSG00000137094	25822	DNAJB5	protein-coding	True	True	DNAJB5	protein-coding	True	both
ENSG00000137098	26206	SPAG8	protein-coding	True	True	SPAG8	protein-coding	True	both
ENSG00000137100	11258	DCTN3	protein-coding	True	True	DCTN3	protein-coding	True	both
ENSG00000137101	971	CD72	protein-coding	True	True	CD72	protein-coding	True	both
ENSG00000137103	51754	TMEM8B	protein-coding	True	True	TMEM8B	protein-coding	True	both
ENSG00000137106	9380	GRHPR	protein-coding	True	True	GRHPR	protein-coding	True	both
ENSG00000137124	219	ALDH1B1	protein-coding	True	True	ALDH1B1	protein-coding	True	both
ENSG00000137133	84681	HINT2	protein-coding	True	True	HINT2	protein-coding	True	both
ENSG00000137135	84904	ARHGEF39	protein-coding	True	True	ARHGEF39	protein-coding	True	both
ENSG00000137142	347252	IGFBPL1	protein-coding	True	True	IGFBPL1	protein-coding	True	both
ENSG00000137145	55667	DENND4C	protein-coding	True	True	DENND4C	protein-coding	True	both
ENSG00000137154	6194	RPS6	protein-coding	True	True	RPS6	protein-coding	True	both
ENSG00000137161	10695	CNPY3	protein-coding	True	True	CNPY3	protein-coding	True	both
ENSG00000137166	116113	FOXP4	protein-coding	True	True	FOXP4	protein-coding	True	both
