endpoint	version	module_id	status	n_total	n_positive	n_negative	mean_difference	ci_low	ci_high	t	p	hedges_g	fixed_direction_auc	missing	exact	permutations	reason	q_BH_common_method
original_JCI_sural_severe_moderate	repaired_statfree	late_shared_concordant_neuronal_core	COMPLETED	17.0	13.0	4.0	0.0021722827696514	-0.0198476654736085	0.0234211460047267	0.1795686335096745	0.8626050420168068	0.0772543763045725	0.5192307692307693	0.0	True	2380.0		0.9176470588235294
original_JCI_sural_severe_moderate	repaired_statfree	original_early_allcell	COMPLETED	17.0	13.0	4.0	0.0219590729692526	0.0045149521816522	0.0398233729338656	2.1178202494949123	0.0672268907563025	1.1352551228763246	0.8269230769230769	0.0	True	2380.0		0.4821428571428571
original_JCI_sural_severe_moderate	repaired_statfree	original_late_allcell	COMPLETED	17.0	13.0	4.0	0.0058681003876907	-0.0195264822878325	0.0325606397184181	0.3969708378944137	0.7046218487394958	0.1889218773979408	0.5192307692307693	0.0	True	2380.0		0.9176470588235294
original_JCI_sural_severe_moderate	repaired_statfree	original_late_neuron	COMPLETED	17.0	13.0	4.0	-0.0011965772211044	-0.0142482541974012	0.0095680382540533	-0.1700951383056775	0.8626050420168068	-0.0950013940948616	0.5	0.0	True	2380.0		0.9176470588235294
original_JCI_sural_severe_moderate	repaired_statfree	original_severity	COMPLETED	17.0	13.0	4.0	0.0102902003343561	0.0006667919345598	0.0202298966064258	1.8248803062196617	0.1071428571428571	0.7438083615006705	0.75	0.0	True	2380.0		0.4821428571428571
original_JCI_sural_severe_moderate	repaired_statfree	original_xenium	COMPLETED	17.0	13.0	4.0	-0.0014733710818181	-0.0249334729468878	0.0237054790393057	-0.1027116804901255	0.9176470588235294	-0.0628451718785157	0.4807692307692308	0.0	True	2380.0		0.9176470588235294
original_JCI_sural_severe_moderate	repaired_statfree	severity_neuron_residual	COMPLETED	17.0	13.0	4.0	0.0101542654088794	-0.0028701384437301	0.0220284380524424	1.460758725803871	0.2042016806722689	0.5896549229898902	0.7307692307692307	0.0	True	2380.0		0.6126050420168068
original_JCI_sural_severe_moderate	repaired_statfree	severity_neuron_shared_concordant_core	NOT_EVALUABLE														fewer than 10 measured genes per signed arm	
GSE148059_C02	repaired_statfree	late_allcell_residual	COMPLETED	77.0	22.0	27.0	-2.8827392333657763e-05	-0.0028580548001148	0.0028040232676942	-0.0198915351370447	0.9863	-0.0053724749066657	0.5235690235690236	0.0	False	9999.0		0.9863
GSE148059_C02	repaired_statfree	late_neuron_residual	COMPLETED	77.0	22.0	27.0	-0.0006576252344175	-0.0033900656913815	0.0019731276898182	-0.5097933597980634	0.6641	-0.1273752056823197	0.4781144781144781	0.0	False	9999.0		0.8538428571428571
GSE148059_C02	repaired_statfree	late_shared_concordant_neuronal_core	COMPLETED	77.0	22.0	27.0	-0.0015641186172901	-0.0052144254933661	0.0022867778496979	-0.8545224322772528	0.4344	-0.2230269456445942	0.4646464646464646	0.0	False	9999.0		0.8538428571428571
GSE148059_C02	repaired_statfree	original_early_allcell	COMPLETED	77.0	22.0	27.0	0.002906255526385	-0.0010939068701541	0.0065982906436844	1.4110319542609002	0.1826	0.3841328881817106	0.6178451178451179	0.0	False	9999.0		0.8538428571428571
GSE148059_C02	repaired_statfree	original_late_allcell	COMPLETED	77.0	22.0	27.0	-6.596723168980986e-05	-0.0027057136040315	0.0026537418436611	-0.0457614443261061	0.9677	-0.0123123634137227	0.5252525252525253	0.0	False	9999.0		0.9863
GSE148059_C02	repaired_statfree	original_late_neuron	COMPLETED	77.0	22.0	27.0	-0.0009399181623477	-0.0031902848281707	0.0012485280422491	-0.8521691058695038	0.4662	-0.2106095505681497	0.4494949494949495	0.0	False	9999.0		0.8538428571428571
GSE148059_C02	repaired_statfree	original_severity	COMPLETED	77.0	22.0	27.0	-0.0005137078967676	-0.0022173969018763	0.0012091141540158	-0.4039925478781586	0.5839	-0.1548652939323495	0.4208754208754209	0.0	False	9999.0		0.8538428571428571
GSE148059_C02	repaired_statfree	original_xenium	COMPLETED	77.0	22.0	27.0	0.0012843018764615	-0.0008016019784637	0.0035570335912849	1.0475564867854623	0.2673	0.3237876381871349	0.5942760942760943	0.0	False	9999.0		0.8538428571428571
GSE148059_C02	repaired_statfree	severity_neuron_residual	COMPLETED	77.0	22.0	27.0	-0.0006076377689057	-0.0025624612718045	0.001498358043615	-0.4158786045807927	0.5708	-0.1580249544323729	0.4208754208754209	0.0	False	9999.0		0.8538428571428571
GSE148059_C02	repaired_statfree	severity_neuron_shared_concordant_core	NOT_EVALUABLE														fewer than 10 measured genes per signed arm	
