source	program	version	model	status_new	reason_new	effect_new	p_new	ci_low_new	ci_high_new	rank_new	columns_new	n_new	residual_df_new	condition_number_new	group_R2_from_proxy_covariates_new	missing_response	q_new	status_old	reason_old	effect_old	p_old	ci_low_old	ci_high_old	rank_old	columns_old	n_old	residual_df_old	condition_number_old	effect_change_from_unadjusted	proxy_panels	Y	group_R2_from_proxy_covariates_old	q_old
GSE24290	severity_neuron_residual	repaired_statfree	unadjusted	COMPLETED	observational_HC3	-0.0054970608803075	0.1282815831379344	-0.0125809893239265	0.0015868675633113	2.0	2.0	35	33.0	2.6528561187650106			0.603543165718204	COMPLETED	observational_HC3	-0.005434529393672	0.1287974332319641	-0.0124473372616375	0.0015782784742934	2	2	35	33	2.6528561187650106	0.0	8	unchanged_Batch01_cached_score		0.672614750383214
GSE24290	severity_neuron_residual	repaired_statfree	proxy_adjusted	COMPLETED	observational_HC3	-0.0071250007979216	0.11815298574736	-0.0160620181515551	0.0018120165557118	4.0	4.0	35	31.0	3.978134184281875	0.0654844821047549		0.7462337587453491	COMPLETED	observational_HC3	-0.0070689951063253	0.1184301318150869	-0.0159424441158661	0.0018044539032154	4	4	35	31	3.9781341842818767	-0.0016344657126532	8	unchanged_Batch01_cached_score	0.0654844821047549	0.7013172294995271
GSE24290	severity_neuron_shared_concordant_core	repaired_statfree	unadjusted	NOT_EVALUABLE	cached_response_missing_no_imputation							35				35.0		COMPLETED	observational_HC3	-0.000703515331476	0.7649295396223363	-0.0053148906402928	0.0039078599773406	2	2	35	33	2.6528561187650106	0.0	8	unchanged_Batch01_cached_score		0.8999171054380428
GSE24290	severity_neuron_shared_concordant_core	repaired_statfree	proxy_adjusted	NOT_EVALUABLE	cached_response_missing_no_imputation							35				35.0		COMPLETED	observational_HC3	-0.0006150084543713	0.82741520789296	-0.0061438880891162	0.0049138711803735	4	4	35	31	3.9781341842818767	8.8506877104726e-05	8	unchanged_Batch01_cached_score	0.0654844821047549	0.9267145304170862
GSE148059	late_allcell_residual	repaired_inherited	unadjusted	COMPLETED	observational_HC3	-2.039449799853765e-05	0.989221731522276	-0.0029793536235658	0.0029385646275688	3.0	3.0	77	74.0	3.6679022544871023			0.989221731522276	COMPLETED	observational_HC3	-3.844670240016887e-05	0.979602815753176	-0.0029857831712695	0.0029088897664692	3	3	77	74	3.6679022544871023	0.0	8	unchanged_Batch01_cached_score		0.979602815753176
GSE148059	late_allcell_residual	repaired_inherited	proxy_adjusted	COMPLETED	observational_HC3	0.0001236327310358	0.9128368746278857	-0.0020900850274574	0.0023373504895291	5.0	5.0	77	72.0	5.251844318993566	0.2484841870879437		0.9128368746278857	COMPLETED	observational_HC3	0.0001036809730201	0.9267145304170862	-0.002105632386805	0.0023129943328453	5	5	77	72	5.251844318993566	0.0001421276754203	8	unchanged_Batch01_cached_score	0.2484841870879437	0.9267145304170862
GSE148059	late_neuron_residual	repaired_inherited	unadjusted	COMPLETED	observational_HC3	-0.0006599643447485	0.638589242141551	-0.0034140263987688	0.0020940977092717	3.0	3.0	77	74.0	3.6679022544871023			0.8210433113248513	COMPLETED	observational_HC3	-0.0002750622248279	0.7563960535529504	-0.0020129176785991	0.0014627932289433	3	3	77	74	3.6679022544871023	0.0	8	unchanged_Batch01_cached_score		0.8999171054380428
GSE148059	late_neuron_residual	repaired_inherited	proxy_adjusted	COMPLETED	observational_HC3	0.0005422258381088	0.5605801370689896	-0.0012838559385474	0.0023683076147651	5.0	5.0	77	72.0	5.251844318993566	0.2484841870879437		0.8044755490217894	COMPLETED	observational_HC3	0.0004848854236742	0.4213376677094451	-0.0006970008848439	0.0016667717321923	5	5	77	72	5.251844318993566	0.0007599476485021	8	unchanged_Batch01_cached_score	0.2484841870879437	0.7500719827379978
GSE148059	late_shared_concordant_neuronal_core	repaired_inherited	unadjusted	COMPLETED	observational_HC3	-0.0015668390251847	0.4214762241102738	-0.0053870781401616	0.0022534000897921	3.0	3.0	77	74.0	3.6679022544871023			0.8027437882661256	COMPLETED	observational_HC3	-0.0008747995409206	0.5599006374231061	-0.0038158075144138	0.0020662084325725	3	3	77	74	3.6679022544871023	0.0	8	unchanged_Batch01_cached_score		0.8613855960355479
GSE148059	late_shared_concordant_neuronal_core	repaired_inherited	proxy_adjusted	COMPLETED	observational_HC3	-0.000149150013072	0.8858828596536441	-0.0021860596811855	0.0018877596550415	5.0	5.0	77	72.0	5.251844318993566	0.2484841870879437		0.9128368746278857	COMPLETED	observational_HC3	8.354972701228116e-05	0.9252588103060368	-0.0016620173613402	0.0018291168153648	5	5	77	72	5.251844318993566	0.0009583492679329	8	unchanged_Batch01_cached_score	0.2484841870879437	0.9267145304170862
