program	celltype	contrast	minimum_nuclei	n_case_new	n_control_new	mean_difference_new	p_new	ci_low_new	ci_high_new	status_new	reason_new	allocations_new	permutations_new	absolute_Welch_t_new	q_new	n_case_old	n_control_old	mean_difference_old	p_old	ci_low_old	ci_high_old	status_old	reason_old	allocations_old	permutations_old	absolute_Welch_t_old	q_old
late_allcell_residual	Macrophage	CIAP_minus_CTRL	20	11	4	-0.0051759624891736	0.1992673992673992	-0.0109228938539534	0.001105839873943	COMPLETED	unadjusted_observational_association	1365.0	1365.0	1.4772789383368157	0.5647058823529412	11	4	-0.0047338175758275	0.3032967032967033	-0.0116291272665255	0.0028514025182517	COMPLETED	unadjusted_observational_association	1365.0	1365.0	1.111902144511853	0.6364544546362728
late_allcell_residual	Macrophage	VN_minus_CTRL	20	5	4	-0.0114281588431725				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center					5	4	-0.0114641191945515				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center				
late_allcell_residual	Mast	CIDP_minus_CTRL	20	6	2	0.0045907263898015				NOT_EVALUABLE	fewer_than_four_donors_per_group					6	2	0.0067994353348381				NOT_EVALUABLE	fewer_than_four_donors_per_group				
late_allcell_residual	Mast	CIAP_minus_CTRL	20	9	2	0.0013129038631608				NOT_EVALUABLE	fewer_than_four_donors_per_group					9	2	0.002775921388593				NOT_EVALUABLE	fewer_than_four_donors_per_group				
late_allcell_residual	Mast	VN_minus_CTRL	20	0	2					NOT_EVALUABLE	fewer_than_four_donors_per_group					0	2					NOT_EVALUABLE	fewer_than_four_donors_per_group				
late_allcell_residual	Mural	CIDP_minus_CTRL	20	9	4	0.0016201970812316	0.7230769230769231	-0.0057861620753218	0.0100136894645202	COMPLETED	unadjusted_observational_association	715.0	715.0	0.3667292200196267	0.9054180602006688	9	4	0.0025945457609613	0.5426573426573427	-0.0043597729627722	0.0107172250444425	COMPLETED	unadjusted_observational_association	715.0	715.0	0.6188253463227833	0.7842247842247843
late_allcell_residual	Mural	CIAP_minus_CTRL	20	11	4	0.0035684013740867	0.4542124542124542	-0.0032136450719448	0.0119004695344815	COMPLETED	unadjusted_observational_association	1365.0	1365.0	0.8233723481384128	0.7946488294314381	11	4	0.0038102154802071	0.3758241758241758	-0.0023036540113978	0.0114086254064435	COMPLETED	unadjusted_observational_association	1365.0	1365.0	0.9546283033594698	0.7103594080338267
late_allcell_residual	Mural	VN_minus_CTRL	20	5	4	0.0015290005934891				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center					5	4	0.002126485012548				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center				
late_allcell_residual	Perineurial	CIDP_minus_CTRL	20	9	4	0.0070200996668025	0.2979020979020979	-0.002696268141909	0.0174204759444309	COMPLETED	unadjusted_observational_association	715.0	715.0	1.2309311642459544	0.6227456753772542	9	4	0.0070395858945689	0.2993006993006993	-0.0026768872405435	0.0174005505806249	COMPLETED	unadjusted_observational_association	715.0	715.0	1.2492601696414871	0.6364544546362728
late_allcell_residual	Perineurial	CIAP_minus_CTRL	20	11	4	0.0042148904730633	0.4725274725274725	-0.0055545420246947	0.0140356213864585	COMPLETED	unadjusted_observational_association	1365.0	1365.0	0.7840067256936042	0.7946488294314381	11	4	0.0036625231928827	0.4967032967032967	-0.005494258704021	0.0128832720448836	COMPLETED	unadjusted_observational_association	1365.0	1365.0	0.7321578759300164	0.7760141093474426
