endpoint	background	family	sample_id	parent_score	core_contribution	residual_contribution	excluded_contribution	restricted_score
GSE148059_C02	inherited	severity	GSM4453269	0.0049504827721382	-0.0132299076215791	-0.139762001774603	0.1579423921683205	0.0082845535052555
GSE148059_C02	inherited	severity	GSM4453270	0.0022730456373826	-0.0131888461140855	-0.1423744782371581	0.1578363699886262	0.0050915169514906
GSE148059_C02	inherited	severity	GSM4453271	0.0085872167066476	-0.0131554636824649	-0.136523737437884	0.1582664178269965	0.0118725892746049
GSE148059_C02	inherited	severity	GSM4453272	0.0114631089790235	-0.0135501701412878	-0.1328885373596012	0.1579018164799127	0.0163063368154171
GSE148059_C02	inherited	severity	GSM4453273	0.0004184880866542	-0.0134815442775162	-0.1436292274811277	0.1575292598452981	0.0032075779952502
GSE148059_C02	inherited	severity	GSM4453274	0.007456776421269	-0.0131146627150455	-0.1373458334427405	0.1579172725790551	0.0109146573907273
GSE148059_C02	inherited	severity	GSM4453275	0.010303656674849	-0.01326221263184	-0.1346790804099776	0.1582449497166668	0.0141692137631569
GSE148059_C02	inherited	severity	GSM4453276	0.0097074939701819	-0.0130052084585835	-0.1362945228999171	0.1590072253286826	0.0123005014849797
GSE148059_C02	inherited	severity	GSM4453277	0.0043574093283517	-0.013209945942205	-0.1405379547610438	0.1581053100316007	0.0068600476419747
GSE148059_C02	inherited	severity	GSM4453278	0.0072295541333436	-0.0126907679321133	-0.1378288512330515	0.1577491732985085	0.0108051133074746
GSE148059_C02	inherited	severity	GSM4453279	0.0036390200267399	-0.0135355955687124	-0.1411199856153671	0.1582946012108194	0.0060613286737246
GSE148059_C02	inherited	severity	GSM4453280	0.0097808742005719	-0.0130910613104234	-0.1345492256698059	0.1574211611808014	0.0145049291952257
GSE148059_C02	inherited	severity	GSM4453281	0.013817351049024	-0.0127590568568415	-0.1315090403527052	0.1580854482585709	0.0182390718290226
GSE148059_C02	inherited	severity	GSM4453282	0.0067147484950245	-0.0132463275231016	-0.1383588622251784	0.1583199382433046	0.0096619078789583
GSE148059_C02	inherited	severity	GSM4453283	0.0112550882986766	-0.012945384147847	-0.1343263169852154	0.1585267894317392	0.014792389546175
GSE148059_C02	inherited	severity	GSM4453284	0.0121733294677805	-0.0123952684731473	-0.1337026134316455	0.1582712113725734	0.0160679610424972
GSE148059_C02	inherited	severity	GSM4453285	0.0160983049591871	-0.0125479900124685	-0.1293142115881439	0.1579605065597996	0.0209759427863522
GSE148059_C02	inherited	severity	GSM4453286	0.006642772830298	-0.0136666550618591	-0.1374263403256883	0.1577357682178454	0.0097628901114952
GSE148059_C02	inherited	severity	GSM4453287	0.0076840829439552	-0.0133421592556806	-0.1365311285484117	0.1575573707480477	0.0113220413558307
GSE148059_C02	inherited	severity	GSM4453288	0.003742129250867	-0.0131514223728919	-0.1416995971690006	0.1585931487927595	0.0058919598307105
GSE148059_C02	inherited	severity	GSM4453289	0.00912794706183	-0.0127833517290297	-0.1362484739110018	0.1581597727018616	0.0117374822604872
GSE148059_C02	inherited	severity	GSM4453290	0.0098098666298885	-0.0123375284830049	-0.1359278548627704	0.1580752499756639	0.0134907934859246
GSE148059_C02	inherited	severity	GSM4453291	0.0107464925252854	-0.0135718125979831	-0.1351973259608563	0.1595156310841249	0.0127929774070287
GSE148059_C02	inherited	severity	GSM4453292	0.0118082579731942	-0.0133810639615068	-0.1327384349336582	0.1579277568683594	0.0152795711140323
GSE148059_C02	inherited	severity	GSM4453293	0.0157937140228928	-0.013028396525193	-0.1298760789914564	0.1586981895395424	0.0196772968498953
GSE148059_C02	inherited	severity	GSM4453294	0.0071601015935469	-0.0127941220247312	-0.1384233076940744	0.1583775313123525	0.0102182983411865
GSE148059_C02	inherited	severity	GSM4453295	0.0083162648241523	-0.0129320672198406	-0.1365247110350036	0.1577730430789966	0.012064267977993
GSE148059_C02	inherited	severity	GSM4453296	0.0076959189073289	-0.0132630040468024	-0.1375715159975954	0.1585304389517268	0.0107515782981969
GSE148059_C02	inherited	severity	GSM4453297	0.000492677362538	-0.0137559811283732	-0.1437507351441832	0.1579993936350945	0.0026149926156742
GSE148059_C02	inherited	severity	GSM4453298	0.0065348289226876	-0.0135063523940612	-0.138766211733921	0.1588073930506698	0.0092074589804761
GSE148059_C02	inherited	severity	GSM4453299	0.0067649641661801	-0.0134071218868291	-0.1392932039872927	0.159465290040302	0.0078189172180116
GSE148059_C02	inherited	severity	GSM4453300	0.009875847913959	-0.0128082989308775	-0.1343993700713017	0.1570835169161383	0.0145853543304246
GSE148059_C02	inherited	severity	GSM4453301	0.0057091069052185	-0.0133126085262048	-0.1390185908311222	0.1580403062625457	0.0090170064899116
GSE148059_C02	inherited	severity	GSM4453302	0.009220916771488	-0.0131175717527168	-0.1358096539038152	0.1581481424280202	0.0123233811736659
GSE148059_C02	inherited	severity	GSM4453303	0.0068759209357019	-0.0127087256077583	-0.138114702873478	0.1576993494169383	0.0104218136048312
