endpoint	version	module_id	source_members	measured	n_up	n_down	coverage	background_genes	eligible
GSE148059_C02	legacy_inherited	original_early_allcell	640	631	303	328	0.9859375	24111	True
GSE148059_C02	legacy_inherited	original_late_allcell	3131	3100	1393	1707	0.99009900990099	24111	True
GSE148059_C02	legacy_inherited	original_late_neuron	693	674	250	424	0.9725829725829724	24111	True
GSE148059_C02	legacy_inherited	original_severity	489	484	333	151	0.9897750511247444	24111	True
GSE148059_C02	legacy_inherited	original_xenium	60	60	17	43	1.0	24111	True
GSE148059_C02	legacy_inherited	severity_neuron_residual	345	345	227	118	1.0	24111	True
GSE148059_C02	legacy_inherited	severity_neuron_shared_concordant_core	125	120	89	31	0.96	24111	True
GSE148059_C02	repaired_inherited	late_allcell_residual	2906	2881	1298	1583	0.991397109428768	24111	True
GSE148059_C02	repaired_inherited	late_neuron_residual	285	272	73	199	0.9543859649122808	24111	True
GSE148059_C02	repaired_inherited	late_shared_concordant_neuronal_core	128	125	46	79	0.9765625	24111	True
GSE148059_C02	repaired_inherited	original_early_allcell	640	631	303	328	0.9859375	24111	True
GSE148059_C02	repaired_inherited	original_late_allcell	3102	3073	1380	1693	0.9906511927788524	24111	True
GSE148059_C02	repaired_inherited	original_late_neuron	443	426	126	300	0.9616252821670428	24111	True
GSE148059_C02	repaired_inherited	original_severity	455	450	316	134	0.989010989010989	24111	True
GSE148059_C02	repaired_inherited	original_xenium	60	60	17	43	1.0	24111	True
GSE148059_C02	repaired_inherited	severity_neuron_residual	337	337	219	118	1.0	24111	True
GSE148059_C02	repaired_inherited	severity_neuron_shared_concordant_core	23	18	11	7	0.782608695652174	24111	False
original_hDRG_DPN_control	repaired_statfree	late_allcell_residual	2906	2887	1297	1590	0.9934618031658636	28939	True
original_hDRG_DPN_control	repaired_statfree	late_neuron_residual	285	272	75	197	0.9543859649122808	28939	True
original_hDRG_DPN_control	repaired_statfree	late_shared_concordant_neuronal_core	128	127	48	79	0.9921875	28939	True
original_hDRG_DPN_control	repaired_statfree	original_early_allcell	640	628	302	326	0.98125	28939	True
original_hDRG_DPN_control	repaired_statfree	original_late_allcell	3102	3082	1382	1700	0.993552546744036	28939	True
original_hDRG_DPN_control	repaired_statfree	original_late_neuron	443	429	130	299	0.9683972911963884	28939	True
original_hDRG_DPN_control	repaired_statfree	original_severity	455	448	314	134	0.9846153846153848	28939	True
original_hDRG_DPN_control	repaired_statfree	original_xenium	60	59	16	43	0.9833333333333332	28939	True
original_hDRG_DPN_control	repaired_statfree	severity_neuron_residual	337	337	219	118	1.0	28939	True
original_hDRG_DPN_control	repaired_statfree	severity_neuron_shared_concordant_core	23	17	10	7	0.7391304347826086	28939	False
original_JCI_sural_DPN_control	repaired_statfree	late_allcell_residual	2906	2876	1297	1579	0.9896765313145216	17921	True
original_JCI_sural_DPN_control	repaired_statfree	late_neuron_residual	285	270	80	190	0.9473684210526316	17921	True
original_JCI_sural_DPN_control	repaired_statfree	late_shared_concordant_neuronal_core	128	125	47	78	0.9765625	17921	True
original_JCI_sural_DPN_control	repaired_statfree	original_early_allcell	640	631	302	329	0.9859375	17921	True
original_JCI_sural_DPN_control	repaired_statfree	original_late_allcell	3102	3066	1379	1687	0.988394584139265	17921	True
original_JCI_sural_DPN_control	repaired_statfree	original_late_neuron	443	422	133	289	0.9525959367945824	17921	True
original_JCI_sural_DPN_control	repaired_statfree	original_severity	455	452	319	133	0.9934065934065934	17921	True
original_JCI_sural_DPN_control	repaired_statfree	original_xenium	60	60	17	43	1.0	17921	True
original_JCI_sural_DPN_control	repaired_statfree	severity_neuron_residual	337	337	219	118	1.0	17921	True
original_JCI_sural_DPN_control	repaired_statfree	severity_neuron_shared_concordant_core	23	21	14	7	0.9130434782608696	17921	False
original_JCI_sural_severe_moderate	repaired_statfree	late_allcell_residual	2906	2897	1305	1592	0.9969029593943564	19026	True
original_JCI_sural_severe_moderate	repaired_statfree	late_neuron_residual	285	270	79	191	0.9473684210526316	19026	True
original_JCI_sural_severe_moderate	repaired_statfree	late_shared_concordant_neuronal_core	128	126	47	79	0.984375	19026	True
original_JCI_sural_severe_moderate	repaired_statfree	original_early_allcell	640	633	303	330	0.9890625	19026	True
original_JCI_sural_severe_moderate	repaired_statfree	original_late_allcell	3102	3089	1387	1702	0.9958091553836236	19026	True
original_JCI_sural_severe_moderate	repaired_statfree	original_late_neuron	443	423	132	291	0.9548532731376976	19026	True
original_JCI_sural_severe_moderate	repaired_statfree	original_severity	455	453	319	134	0.9956043956043956	19026	True
original_JCI_sural_severe_moderate	repaired_statfree	original_xenium	60	60	17	43	1.0	19026	True
original_JCI_sural_severe_moderate	repaired_statfree	severity_neuron_residual	337	337	219	118	1.0	19026	True
original_JCI_sural_severe_moderate	repaired_statfree	severity_neuron_shared_concordant_core	23	21	14	7	0.9130434782608696	19026	False
GSE148059_C02	repaired_statfree	late_allcell_residual	2906	2881	1298	1583	0.991397109428768	24108	True
GSE148059_C02	repaired_statfree	late_neuron_residual	285	272	73	199	0.9543859649122808	24108	True
GSE148059_C02	repaired_statfree	late_shared_concordant_neuronal_core	128	125	46	79	0.9765625	24108	True
GSE148059_C02	repaired_statfree	original_early_allcell	640	631	303	328	0.9859375	24108	True
GSE148059_C02	repaired_statfree	original_late_allcell	3102	3073	1380	1693	0.9906511927788524	24108	True
GSE148059_C02	repaired_statfree	original_late_neuron	443	426	126	300	0.9616252821670428	24108	True
GSE148059_C02	repaired_statfree	original_severity	455	450	316	134	0.989010989010989	24108	True
GSE148059_C02	repaired_statfree	original_xenium	60	60	17	43	1.0	24108	True
GSE148059_C02	repaired_statfree	severity_neuron_residual	337	337	219	118	1.0	24108	True
GSE148059_C02	repaired_statfree	severity_neuron_shared_concordant_core	23	18	11	7	0.782608695652174	24108	False
