resource	comparison	module_id	component	n_positive_old	n_negative_old	effect_positive_minus_negative_old	ci_low_old	ci_high_old	p_old	exact_old	permutations_old	status_old	q_family_old	n_positive_corrected	n_negative_corrected	effect_positive_minus_negative_corrected	ci_low_corrected	ci_high_corrected	p_corrected	exact_corrected	permutations_corrected	status_corrected	q_family_corrected	delta_effect_corrected_minus_old
GSE143979	AH DPN minus MNC	original_late_neuron	D	4	3	0.0203962250825247	0.0095862001302582	0.0316827593477062	0.0571428571428571	True	35	COMPLETED	0.5445378151260504	4	3	0.020558941445137036	0.00985642666778408	0.031553399532200155	0.02857142857142857	True	35	COMPLETED	0.45000000000000007	0.00016271636261233624
GSE143979	AH DPN minus MNC	original_severity	S	4	3	0.0270198637038797	-0.0163038348588372	0.0669838526234745	0.3428571428571428	True	35	COMPLETED	0.6545454545454545	4	3	0.008817767265925584	-0.015529013631657845	0.029353094333218338	0.5142857142857142	True	35	COMPLETED	0.7912087912087912	-0.018202096437954115
GSE143979	AH DPN minus MNC	original_severity	U	4	3	0.0091048350622606	-0.0133129306279951	0.0315226007525164	0.5142857142857142	True	35	COMPLETED	0.7516483516483516	4	3	0.009846846022804834	0.0008213729176065332	0.018872319128003023	0.11428571428571428	True	35	COMPLETED	0.45000000000000007	0.000742010960544234
GSE143979	AH DPN minus MNC	original_severity	D	4	3	-0.0179150286416192	-0.0375368830472103	0.0034208888869344	0.1714285714285714	True	35	COMPLETED	0.5445378151260504	4	3	0.001029078756879298	-0.012142903218622691	0.016825600326694334	0.9142857142857143	True	35	COMPLETED	0.9974025974025974	0.0189441073984985
GSE143979	AH DPN minus MNC	original_xenium	S	4	3	0.0274495625659956	0.0197723469752707	0.0352718088979153	0.0285714285714285	True	35	COMPLETED	0.2571428571428572	4	3	0.037343859683253045	0.008199808538129627	0.06749490948117237	0.02857142857142857	True	35	COMPLETED	0.2571428571428572	0.009894297117257443
GSE143979	AH DPN minus MNC	original_xenium	U	4	3	0.0272215050518598	0.0087869668723176	0.0476447939020028	0.1428571428571428	True	35	COMPLETED	0.5445378151260504	4	3	0.05145248659956042	0.004027413686794823	0.10569286986915422	0.14285714285714285	True	35	COMPLETED	0.45000000000000007	0.02423098154770062
GSE143979	AH DPN minus MNC	original_xenium	D	4	3	-0.0002280575141358	-0.0224917399005381	0.0208609756603821	1.0	True	35	COMPLETED	1.0	4	3	0.014108626916307432	-0.010101100601783698	0.03915619516681712	0.45714285714285713	True	35	COMPLETED	0.5640552995391704	0.014336684430443232
GSE143979	AH DPN minus MNC	severity_neuron_residual	S	4	3	0.0273275245230528	-0.0195287179846377	0.0702488173409302	0.3428571428571428	True	35	COMPLETED	0.6545454545454545	4	3	0.015626124544896813	-0.014401098237059401	0.043072591319065205	0.4	True	35	COMPLETED	0.7912087912087912	-0.011701399978155988
GSE143979	AH DPN minus MNC	severity_neuron_residual	U	4	3	0.0079942402484253	-0.014002739187329	0.0299912196841797	0.6	True	35	COMPLETED	0.7885714285714285	4	3	0.013788639179863837	0.0025294574931646885	0.025707905641401057	0.11428571428571428	True	35	COMPLETED	0.45000000000000007	0.005794398931438537
GSE143979	AH DPN minus MNC	severity_neuron_residual	D	4	3	-0.0193332842746275	-0.0422559645891096	0.0047022176117588	0.1714285714285714	True	35	COMPLETED	0.5445378151260504	4	3	-0.0018374853650330314	-0.018833665992116777	0.017711844210669847	0.8571428571428571	True	35	COMPLETED	0.9642857142857143	0.01749579890959447
GSE143979	MG DPN minus MNC	late_allcell_residual	S	4	4	0.0146492048538101	-0.0081427170217343	0.0338634617545879	0.2	True	70	COMPLETED	0.6545454545454545	4	4	0.00869143037189457	-0.005603905232331258	0.021180775984972807	0.2571428571428571	True	70	COMPLETED	0.7912087912087912	-0.005957774481915529
GSE143979	MG DPN minus MNC	late_allcell_residual	U	4	4	0.0071761172517283	-0.0048240482548921	0.0180075821298156	0.2571428571428571	True	70	COMPLETED	0.5445378151260504	4	4	0.01073050632084438	-0.0030635619058659884	0.022986097993758062	0.2	True	70	COMPLETED	0.45000000000000007	0.00355438906911608
GSE143979	MG DPN minus MNC	late_allcell_residual	D	4	4	-0.0074730876020817	-0.016471196687013	0.0023751868758556	0.1714285714285714	True	70	COMPLETED	0.5445378151260504	4	4	0.002039075948949809	-0.0009646766475133738	0.00528273572015403	0.34285714285714286	True	70	COMPLETED	0.5142857142857143	0.00951216355103151
GSE143979	MG DPN minus MNC	late_neuron_residual	S	4	4	0.0137606866688513	0.000699169115626	0.0273966845229286	0.1428571428571428	True	70	COMPLETED	0.6545454545454545	4	4	0.007640196167069596	-0.0020494902758064794	0.018017726736027688	0.2571428571428571	True	70	COMPLETED	0.7912087912087912	-0.006120490501781704
GSE143979	MG DPN minus MNC	late_neuron_residual	U	4	4	0.0144104031004883	0.0006681005577549	0.0294944999167529	0.1714285714285714	True	70	COMPLETED	0.5445378151260504	4	4	0.011994881622399256	-0.0014464590646261488	0.02619216263548488	0.2	True	70	COMPLETED	0.45000000000000007	-0.0024155214780890444
GSE143979	MG DPN minus MNC	late_neuron_residual	D	4	4	0.000649716431637	-0.0077689971643163	0.0079665465971796	0.7714285714285715	True	70	COMPLETED	0.867857142857143	4	4	0.004354685455329799	-0.006811581590415353	0.013640723448379521	0.4857142857142857	True	70	COMPLETED	0.5640552995391704	0.003704969023692799
GSE143979	MG DPN minus MNC	late_shared_concordant_neuronal_core	S	4	4	-0.0007969696521465	-0.0191619039545965	0.0169973257509213	0.9142857142857144	True	70	COMPLETED	0.9142857142857144	4	4	-0.0009808188285232444	-0.015594427318842396	0.01279987097399135	0.9142857142857143	True	70	COMPLETED	0.9142857142857143	-0.0001838491763767444
GSE143979	MG DPN minus MNC	late_shared_concordant_neuronal_core	U	4	4	0.0087488877839422	-0.0072212263163404	0.0239633492096722	0.2571428571428571	True	70	COMPLETED	0.5445378151260504	4	4	0.011772964684120368	-0.0060475748703457954	0.02924037735902585	0.2857142857142857	True	70	COMPLETED	0.5142857142857142	0.0030240769001781687
GSE143979	MG DPN minus MNC	late_shared_concordant_neuronal_core	D	4	4	0.0095458574360888	0.0013607366113081	0.0187374626796043	0.1428571428571428	True	70	COMPLETED	0.5445378151260504	4	4	0.012753783512643446	0.0023079769785927517	0.02381875350673202	0.05714285714285714	True	70	COMPLETED	0.45000000000000007	0.003207926076554646
GSE143979	MG DPN minus MNC	original_early_allcell	S	4	4	-0.0205878773489566	-0.0588300584221426	0.0179512290173865	0.4	True	70	COMPLETED	0.6545454545454545	4	4	-0.011240838139591758	-0.03281686253436297	0.00963773347583094	0.42857142857142855	True	70	COMPLETED	0.7912087912087912	0.009347039209364843
GSE143979	MG DPN minus MNC	original_early_allcell	U	4	4	-0.0062165599706196	-0.0237298667844643	0.0090390525985108	0.5428571428571428	True	70	COMPLETED	0.7516483516483516	4	4	-2.4480284817274267e-05	-0.009166988856990077	0.008105860855465859	1.0	True	70	COMPLETED	1.0	0.006192079685802326
GSE143979	MG DPN minus MNC	original_early_allcell	D	4	4	0.0143713173783369	-0.0094708305675784	0.039113931676002	0.3714285714285714	True	70	COMPLETED	0.7037593984962406	4	4	0.011216357854774484	-0.004045877435972847	0.026763913881941357	0.22857142857142856	True	70	COMPLETED	0.48403361344537815	-0.0031549595235624162
GSE143979	MG DPN minus MNC	original_late_allcell	S	4	4	0.014050715738599	-0.0060891249615999	0.0325414127024603	0.2	True	70	COMPLETED	0.6545454545454545	4	4	0.008438779902253363	-0.004319160492706604	0.020002473376119545	0.2571428571428571	True	70	COMPLETED	0.7912087912087912	-0.005611935836345637
GSE143979	MG DPN minus MNC	original_late_allcell	U	4	4	0.0073114276478023	-0.003878927837662	0.0179839311647763	0.2285714285714285	True	70	COMPLETED	0.5445378151260504	4	4	0.010888268310096372	-0.001735215582978833	0.023367721659865066	0.2	True	70	COMPLETED	0.45000000000000007	0.0035768406622940715
GSE143979	MG DPN minus MNC	original_late_allcell	D	4	4	-0.0067392880907969	-0.0159146924723006	0.0029077515237588	0.1714285714285714	True	70	COMPLETED	0.5445378151260504	4	4	0.0024494884078432033	-0.0008175954804439583	0.00578147020493511	0.2857142857142857	True	70	COMPLETED	0.5142857142857142	0.009188776498640104
GSE143979	MG DPN minus MNC	original_late_neuron	S	4	4	0.0075345772250075	-0.0044335457716764	0.0188814611763166	0.3428571428571428	True	70	COMPLETED	0.6545454545454545	4	4	0.0036397144315270247	-0.005315100358311453	0.013148077366075789	0.5428571428571428	True	70	COMPLETED	0.7912087912087912	-0.0038948627934804756
GSE143979	MG DPN minus MNC	original_late_neuron	U	4	4	0.0113474780199175	-0.0014152852071961	0.0241679991874661	0.2	True	70	COMPLETED	0.5445378151260504	4	4	0.01118962005663926	-0.0010198363676148735	0.025129273053640433	0.17142857142857143	True	70	COMPLETED	0.45000000000000007	-0.00015785796327823926
GSE143979	MG DPN minus MNC	original_late_neuron	D	4	4	0.0038129007949099	-0.0034299766150781	0.0103761327153021	0.4	True	70	COMPLETED	0.72	4	4	0.007549905625112263	-0.002587196714567441	0.016356069841857557	0.2	True	70	COMPLETED	0.45000000000000007	0.003737004830202363
GSE143979	MG DPN minus MNC	original_severity	S	4	4	-0.0121766533527855	-0.0582402167010464	0.0356639492747906	0.6285714285714286	True	70	COMPLETED	0.7865546218487396	4	4	-0.0103218398373279	-0.038218921452293664	0.01784168980898529	0.5714285714285714	True	70	COMPLETED	0.7912087912087912	0.0018548135154575988
GSE143979	MG DPN minus MNC	original_severity	U	4	4	-0.0051639273273159	-0.0232785217370908	0.0150973904905789	0.6857142857142857	True	70	COMPLETED	0.7963133640552995	4	4	0.0004836310966714885	-0.006954652406713793	0.008734260509306913	0.9714285714285714	True	70	COMPLETED	0.9991836734693877	0.005647558423987388
GSE143979	MG DPN minus MNC	original_severity	D	4	4	0.0070127260254696	-0.0219283732322521	0.0330650197002744	0.6571428571428571	True	70	COMPLETED	0.7885714285714285	4	4	0.010805470933999306	-0.010958768845307998	0.03094516241579341	0.42857142857142855	True	70	COMPLETED	0.5640552995391704	0.003792744908529706
GSE143979	MG DPN minus MNC	original_xenium	S	4	4	0.0241346454756795	0.012491837031218	0.0365375929660356	0.0285714285714285	True	70	COMPLETED	0.2571428571428572	4	4	0.05996152929561155	0.034870722707766894	0.08519250753445415	0.02857142857142857	True	70	COMPLETED	0.2571428571428572	0.03582688381993205
GSE143979	MG DPN minus MNC	original_xenium	U	4	4	0.0142712245171673	0.0016338037318937	0.0283812428748658	0.1142857142857142	True	70	COMPLETED	0.5445378151260504	4	4	0.05234966352319026	0.020674159375390085	0.08763305161202466	0.05714285714285714	True	70	COMPLETED	0.45000000000000007	0.03807843900602296
GSE143979	MG DPN minus MNC	original_xenium	D	4	4	-0.0098634209585121	-0.020419796137339	0.0005200948740547	0.1714285714285714	True	70	COMPLETED	0.5445378151260504	4	4	-0.0076118657724213445	-0.020661690441335034	0.005904252042287064	0.4	True	70	COMPLETED	0.5640552995391704	0.0022515551860907562
GSE143979	MG DPN minus MNC	severity_neuron_residual	S	4	4	-0.0125169479790812	-0.0614040388425247	0.0363717814871389	0.6857142857142857	True	70	COMPLETED	0.7865546218487396	4	4	-0.01179198659880451	-0.04420907863434604	0.0214328247637316	0.5714285714285714	True	70	COMPLETED	0.7912087912087912	0.00072496138027669
GSE143979	MG DPN minus MNC	severity_neuron_residual	U	4	4	-0.0059527744441957	-0.0258437096368203	0.0130421696702804	0.6285714285714286	True	70	COMPLETED	0.7885714285714285	4	4	-0.0004971678242700062	-0.010432638316616652	0.008840765142156037	0.9428571428571428	True	70	COMPLETED	0.9983193277310924	0.005455606619925694
GSE143979	MG DPN minus MNC	severity_neuron_residual	D	4	4	0.0065641735348855	-0.0242312421664325	0.03806616812735	0.6571428571428571	True	70	COMPLETED	0.7885714285714285	4	4	0.011294818774534532	-0.013441448880472055	0.03647971055512166	0.4857142857142857	True	70	COMPLETED	0.5640552995391704	0.004730645239649032
