resource	module_id	sample_id	U	D	S
GSE143979	original_late_neuron	MB09 AH	0.6688890690754842	0.7073675947708444	-0.038478525695360255
GSE143979	original_late_neuron	MB09 MG	0.6643795530142316	0.7101776629892513	-0.04579810997501976
GSE143979	original_late_neuron	MB10 AH	0.6774074336846192	0.7408064330459788	-0.06339899936135962
GSE143979	original_late_neuron	MB10 MG	0.654213650537974	0.7045370313122863	-0.05032338077431231
GSE143979	original_late_neuron	MB11 AH	0.6635428548261724	0.7253689057830395	-0.06182605095686711
GSE143979	original_late_neuron	MB12 AH	0.6718900854838127	0.7242011325441983	-0.052311047060385585
GSE143979	original_late_neuron	MB12 MG	0.6616440086354426	0.7203794534306585	-0.05873544479521586
GSE143979	original_late_neuron	MB14 MG	0.6500048208577073	0.7020008022747894	-0.05199598141708217
GSE143979	original_severity	MB01 AH	0.7867238038722377	0.7625083544321942	0.0242154494400435
GSE143979	original_severity	MB01 MG	0.787439931272455	0.7645708848773963	0.022869046395058712
GSE143979	original_severity	MB02 AH	0.7867014484584353	0.7598670611776095	0.026834387280825767
GSE143979	original_severity	MB02 MG	0.7892461948392285	0.7560329175507453	0.03321327728848322
GSE143979	original_severity	MB05 AH	0.7948214734361662	0.7380291961647557	0.05679227727141045
GSE143979	original_severity	MB05 MG	0.794867369370045	0.7232610174194551	0.07160635195058984
GSE143979	original_severity	MB07 MG	0.7851446497623107	0.7710702555592333	0.014074394203077434
GSE143979	original_severity	MB09 AH	0.7799660585563165	0.7662562339870717	0.013709824569244855
GSE143979	original_severity	MB09 MG	0.7935799668773571	0.747864068300667	0.04571589857669012
GSE143979	original_severity	MB10 AH	0.8030184764532311	0.7610112760196887	0.042007200433542446
GSE143979	original_severity	MB10 MG	0.7998055994763124	0.7323128575191425	0.06749274195716981
GSE143979	original_severity	MB11 AH	0.8019036146603249	0.7519866974145608	0.04991691724576408
GSE143979	original_severity	MB12 AH	0.7963934630399829	0.7474799756003225	0.0489134874396604
GSE143979	original_severity	MB12 MG	0.8032987002185336	0.7347622964059111	0.06853640381262249
GSE143979	original_severity	MB14 MG	0.7960608252562953	0.7323364073548184	0.06372441790147687
GSE143979	original_xenium	MB01 AH	0.40591018962993225	0.5652072765237917	-0.1592970868938594
GSE143979	original_xenium	MB01 MG	0.4166808520296417	0.558166878231223	-0.1414860262015813
GSE143979	original_xenium	MB02 AH	0.37704240856115034	0.5668888499804646	-0.18984644141931428
GSE143979	original_xenium	MB02 MG	0.3543378839977757	0.5539076216739376	-0.19956973767616187
GSE143979	original_xenium	MB05 AH	0.31248198458902166	0.5345660819054752	-0.2220840973164535
GSE143979	original_xenium	MB05 MG	0.32097277545137826	0.5411594386162866	-0.22018666316490831
GSE143979	original_xenium	MB07 MG	0.44033749815590284	0.554788330066647	-0.11445083191074412
GSE143979	original_xenium	MB09 AH	0.4126351865091523	0.5732649679897153	-0.16062978148056295
GSE143979	original_xenium	MB09 MG	0.35147357550585007	0.5722209252747502	-0.22074734976890015
GSE143979	original_xenium	MB10 AH	0.4475845163926055	0.5902330938844063	-0.14264857749180077
GSE143979	original_xenium	MB10 MG	0.3779173617494524	0.5491883540601751	-0.17127099231072268
GSE143979	original_xenium	MB11 AH	0.39142182730171704	0.548535827363322	-0.15711400006160492
GSE143979	original_xenium	MB12 AH	0.4304395192864195	0.5854181763945833	-0.15497865710816378
GSE143979	original_xenium	MB12 MG	0.38529715498360173	0.5407638696373249	-0.1554667146537232
GSE143979	original_xenium	MB14 MG	0.3840499778708338	0.5660669095200809	-0.1820169316492471
GSE143979	severity_neuron_residual	MB01 AH	0.7984929159463223	0.7738347277304709	0.024658188215851418
GSE143979	severity_neuron_residual	MB01 MG	0.7979728377892472	0.7760646667901513	0.02190817099909592
GSE143979	severity_neuron_residual	MB02 AH	0.8002518232272143	0.7704922715257352	0.029759551701479148
GSE143979	severity_neuron_residual	MB02 MG	0.8003795303579981	0.7648125483624706	0.03556698199552755
GSE143979	severity_neuron_residual	MB05 AH	0.8043697758028644	0.7426090892881563	0.06176068651470812
GSE143979	severity_neuron_residual	MB05 MG	0.8072611802812729	0.7291000555681539	0.07816112471311898
GSE143979	severity_neuron_residual	MB07 MG	0.7923090304253882	0.7826474445862018	0.009661585839186415
GSE143979	severity_neuron_residual	MB09 AH	0.7839651610594452	0.7789685788920645	0.0049965821673807476
GSE143979	severity_neuron_residual	MB09 MG	0.8028674487037842	0.7594328816906107	0.0434345670131735
GSE143979	severity_neuron_residual	MB10 AH	0.8163234897018928	0.763312698679232	0.05301079102266082
GSE143979	severity_neuron_residual	MB10 MG	0.810169451739219	0.7385919387515456	0.07157751298767334
GSE143979	severity_neuron_residual	MB11 AH	0.8133973408001975	0.7546387579507757	0.058758582849421814
GSE143979	severity_neuron_residual	MB12 AH	0.8117231570570742	0.7569571271206637	0.054766029936410554
GSE143979	severity_neuron_residual	MB12 MG	0.8154573664162427	0.7400342295212886	0.07542313689495406
GSE143979	severity_neuron_residual	MB14 MG	0.8073891983241217	0.738813518929814	0.06857567939430775
