resource	comparison	module_id	component	n_positive	n_negative	effect_positive_minus_negative	ci_low	ci_high	p	exact	permutations	status	q_family
GSE143979	MG DPN minus MNC	original_late_neuron	D	4	4	0.007549905625112263	-0.002587196714567441	0.016356069841857557	0.2	True	70	COMPLETED	0.45000000000000007
GSE143979	MG DPN minus MNC	original_severity	S	4	4	-0.0103218398373279	-0.038218921452293664	0.01784168980898529	0.5714285714285714	True	70	COMPLETED	0.7912087912087912
GSE143979	MG DPN minus MNC	original_severity	U	4	4	0.0004836310966714885	-0.006954652406713793	0.008734260509306913	0.9714285714285714	True	70	COMPLETED	0.9991836734693877
GSE143979	MG DPN minus MNC	original_severity	D	4	4	0.010805470933999306	-0.010958768845307998	0.03094516241579341	0.42857142857142855	True	70	COMPLETED	0.5640552995391704
GSE143979	MG DPN minus MNC	original_xenium	S	4	4	0.05996152929561155	0.034870722707766894	0.08519250753445415	0.02857142857142857	True	70	COMPLETED	0.2571428571428572
GSE143979	MG DPN minus MNC	original_xenium	U	4	4	0.05234966352319026	0.020674159375390085	0.08763305161202466	0.05714285714285714	True	70	COMPLETED	0.45000000000000007
GSE143979	MG DPN minus MNC	original_xenium	D	4	4	-0.0076118657724213445	-0.020661690441335034	0.005904252042287064	0.4	True	70	COMPLETED	0.5640552995391704
GSE143979	MG DPN minus MNC	severity_neuron_residual	S	4	4	-0.01179198659880451	-0.04420907863434604	0.0214328247637316	0.5714285714285714	True	70	COMPLETED	0.7912087912087912
GSE143979	MG DPN minus MNC	severity_neuron_residual	U	4	4	-0.0004971678242700062	-0.010432638316616652	0.008840765142156037	0.9428571428571428	True	70	COMPLETED	0.9983193277310924
GSE143979	MG DPN minus MNC	severity_neuron_residual	D	4	4	0.011294818774534532	-0.013441448880472055	0.03647971055512166	0.4857142857142857	True	70	COMPLETED	0.5640552995391704
