gene	direction	source_log2fc	module_id	source_contrast	audit_only	direction_source_a	direction_source_b	source_a_log2fc	source_b_log2fc
TBC1D3E	up	2.165168631	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
TET3	up	0.630720503	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
THBS4	down	-2.454513637	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
TMEM246	down	-1.462417223	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
TMEM255A	down	-0.68526554	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
TMEM39A	down	-0.606336448	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
TNFAIP3	up	0.707497485	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
TRPA1	down	-0.859421935	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
TRPC5	down	-1.057821086	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
TWISTNB	down	-2.436933582	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
UGGT2	down	-0.634114395	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
UQCC4	up	2.054600451	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
UQCRH	down	-0.978847744	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
VPS29	down	-0.606371453	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
WDR63	down	-1.780843837	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
WDR78	down	-1.662471354	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
YARS	down	-1.394794393	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
ZNF720	down	-1.16138573	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
ZNF84	up	0.630892928	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
ABCA1	up	0.600895862	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ABCB1	down	-0.712831926	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ABCB11	up	2.017841881	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ABCC1	up	0.624632725	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ABCC2	up	1.007686182	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ABCC3	up	0.817086459	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ABCC5	up	0.994007614	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ABCC8	down	-0.622742434	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ABCD1	up	0.76105119	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ABCG2	down	-0.59453586	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ABCG4	down	-0.913317735	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
ABHD13	down	-0.790912864	late_allcell_residual	late_allcell_DPN_vs_diabetes	False				
