PG.Genes	PG.ProteinDescriptions	PG.UniProtIds	human_gene_id	current_symbol	gene_mapping_method	detected_sample_n	detection_fraction	median_log2_intensity_observed	selected_gene_representative	passes_detection_50pct	source_row
NUTF2	Nuclear transport factor 2	P61970	10204	NUTF2	official_exact	21	0.44680851063829785	4.885234987551621	True	False	1023
PATJ	InaD-like protein;Isoform 2 of InaD-like protein;Isoform 3 of InaD-like protein;Isoform 4 of InaD-like protein	Q8NI35;Q8NI35-2;Q8NI35-3;Q8NI35-4	10207	PATJ	official_exact	1	0.02127659574468085	3.504876194510183	True	False	1406
FLOT1	Flotillin-1;Isoform 2 of Flotillin-1	O75955;O75955-2	10211	FLOT1	official_exact	2	0.0425531914893617	3.8389608711256615	True	False	209
PLIN3	Perilipin-3;Isoform 3 of Perilipin-3;Isoform 4 of Perilipin-3	O60664;O60664-3;O60664-4	10226	PLIN3	official_exact	22	0.46808510638297873	4.721680974577378	True	False	170
MSLN	Mesothelin	Q13421	10232	MSLN	official_exact	47	1.0	8.434695667050052	True	True	1190
HNRNPR	Heterogeneous nuclear ribonucleoprotein R;Isoform 2 of Heterogeneous nuclear ribonucleoprotein R;Isoform 4 of Heterogeneous nuclear ribonucleoprotein R	O43390;O43390-2;O43390-4	10236	HNRNPR	official_exact	4	0.0851063829787234	4.272514786265123	True	False	140
IGHV2-70D	Immunoglobulin heavy variable 2-70D	A0A0C4DH43	102723168	IGHV2-70D	official_exact	7	0.14893617021276595	6.680143582413332	True	False	56
IGHV1-69D	Immunoglobulin heavy variable 1-69D	A0A0B4J2H0	102723169	IGHV1-69D	official_exact	47	1.0	7.6234182611754076	True	True	41
IGHV3-64D	Immunoglobulin heavy variable 3-64D	A0A0J9YX35	102723170	IGHV3-64D	official_exact	45	0.9574468085106383	7.29892691370504	True	True	65
LANCL1	Glutathione S-transferase LANCL1	O43813	10314	LANCL1	official_exact	1	0.02127659574468085	7.745005319021281	True	False	153
B3GALT5	Beta-1,3-galactosyltransferase 5	Q9Y2C3	10317	B3GALT5	official_exact	33	0.7021276595744681	5.682519307632761	True	True	1673
CRISP3	Cysteine-rich secretory protein 3;Isoform 2 of Cysteine-rich secretory protein 3;Isoform 3 of Cysteine-rich secretory protein 3	P54108;P54108-2;P54108-3	10321	CRISP3	official_exact	40	0.851063829787234	5.668670113102523	True	True	963
AKR1A1	Aldo-keto reductase family 1 member A1	P14550	10327	AKR1A1	official_exact	44	0.9361702127659575	5.181541280467229	True	True	596
CNPY2	Protein canopy homolog 2	Q9Y2B0	10330	CNPY2	official_exact	10	0.2127659574468085	5.154515341080526	True	False	1672
B3GNT3	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 3	Q9Y2A9	10331	B3GNT3	official_exact	43	0.9148936170212766	5.345449645822796	True	True	1671
TFG	Protein TFG;Isoform 2 of Protein TFG;Isoform 3 of Protein TFG;Isoform 4 of Protein TFG	Q92734;Q92734-2;Q92734-3;Q92734-4	10342	TFG	official_exact	1	0.02127659574468085	5.014070883951865	True	False	1437
TUBA1B	Tubulin alpha-1B chain	P68363	10376	TUBA1B	official_exact	45	0.9574468085106383	5.351879972147078	True	True	1079
BPNT1	3'(2'),5'-bisphosphate nucleotidase 1;Isoform 2 of 3'(2'),5'-bisphosphate nucleotidase 1;Isoform 4 of 3'(2'),5'-bisphosphate nucleotidase 1	O95861;O95861-2;O95861-4	10380	BPNT1	official_exact	4	0.0851063829787234	5.1894027100554165	True	False	234
TUBB4B	Tubulin beta-4B chain	P68371	10383	TUBB4B	official_exact	44	0.9361702127659575	5.491544174947552	True	True	1081
NDRG1	Protein NDRG1	Q92597	10397	NDRG1	official_exact	6	0.1276595744680851	4.300599331383098	True	False	1433
RACK1	Receptor of activated protein C kinase 1	P63244	10399	RACK1	official_exact	13	0.2765957446808511	5.590475120880298	True	False	1071
ST3GAL6	Type 2 lactosamine alpha-2,3-sialyltransferase	Q9Y274	10402	ST3GAL6	official_exact	14	0.2978723404255319	3.900793865405059	True	False	1670
CPQ	Carboxypeptidase Q	Q9Y646	10404	CPQ	official_exact	42	0.8936170212765957	4.583759741063928	True	True	1691
WFDC2	WAP four-disulfide core domain protein 2	Q14508	10406	WFDC2	official_exact	47	1.0	7.2914110210147225	True	True	1228
BASP1	Brain acid soluble protein 1	P80723	10409	BASP1	official_exact	12	0.2553191489361702	4.9762202820808294	True	False	1093
CDSN	Corneodesmosin	Q15517	1041	CDSN	official_exact	10	0.2127659574468085	5.5302624387280765	True	False	1260
LYPLA1	Acyl-protein thioesterase 1;Isoform 2 of Acyl-protein thioesterase 1	O75608;O75608-2	10434	LYPLA1	official_exact	16	0.3404255319148936	6.130546127018789	True	False	198
IFI30	Gamma-interferon-inducible lysosomal thiol reductase	P13284	10437	IFI30	official_exact	25	0.5319148936170213	4.093812932410707	True	True	570
FAM3C	Protein FAM3C	Q92520	10447	FAM3C	official_exact	42	0.8936170212765957	4.8546786873417975	True	True	1430
BAIAP2	Brain-specific angiogenesis inhibitor 1-associated protein 2;Isoform 2 of Brain-specific angiogenesis inhibitor 1-associated protein 2;Isoform 3 of Brain-specific angiogenesis inhibitor 1-associated protein 2;Isoform 4 of Brain-specific angiogenesis inhibitor 1-associated protein 2;Isoform 5 of Brain-specific angiogenesis inhibitor 1-associated protein 2;Isoform 6 of Brain-specific angiogenesis inhibitor 1-associated protein 2	Q9UQB8;Q9UQB8-2;Q9UQB8-3;Q9UQB8-4;Q9UQB8-5;Q9UQB8-6	10458	BAIAP2	official_exact	10	0.2127659574468085	2.9431029239458324	True	False	1668
CEACAM5	Carcinoembryonic antigen-related cell adhesion molecule 5;Isoform 2 of Carcinoembryonic antigen-related cell adhesion molecule 5	P06731;P06731-2	1048	CEACAM5	official_exact	34	0.723404255319149	4.4911684636816105	True	True	417
CAP1	Adenylyl cyclase-associated protein 1;Isoform 2 of Adenylyl cyclase-associated protein 1	Q01518;Q01518-2	10487	CAP1	official_exact	43	0.9148936170212766	5.715647009610218	True	True	1117
VAT1	Synaptic vesicle membrane protein VAT-1 homolog	Q99536	10493	VAT1	official_exact	21	0.44680851063829785	4.909773627754416	True	False	1491
FBLN5	Fibulin-5	Q9UBX5	10516	FBLN5	official_exact	39	0.8297872340425532	4.673646050331476	True	True	1631
CIB1	Calcium and integrin-binding protein 1;Isoform 2 of Calcium and integrin-binding protein 1	Q99828;Q99828-2	10519	CIB1	official_exact	28	0.5957446808510638	4.199599560604176	True	True	1501
HYOU1	Hypoxia up-regulated protein 1	Q9Y4L1	10525	HYOU1	official_exact	47	1.0	5.627371457706869	True	True	1686
NEBL	Isoform 2 of Nebulette	O76041-2	10529	NEBL	official_exact	4	0.0851063829787234	3.900589652930406	True	False	213
GLRX3	Glutaredoxin-3	O76003	10539	GLRX3	official_exact	2	0.0425531914893617	4.936626401382833	True	False	211
DCTN2	Dynactin subunit 2;Isoform 2 of Dynactin subunit 2;Isoform 3 of Dynactin subunit 2	Q13561;Q13561-2;Q13561-3	10540	DCTN2	official_exact	8	0.1702127659574468	5.559930258458902	True	False	1198
ANP32B	Acidic leucine-rich nuclear phosphoprotein 32 family member B;Isoform 2 of Acidic leucine-rich nuclear phosphoprotein 32 family member B	Q92688;Q92688-2	10541	ANP32B	official_exact	12	0.2553191489361702	5.197190825156478	True	False	1435
PRDX4	Peroxiredoxin-4	Q13162	10549	PRDX4	official_exact	47	1.0	6.077014848757308	True	True	1176
ARL6IP5	PRA1 family protein 3	O75915	10550	ARL6IP5	official_exact	6	0.1276595744680851	5.065503391602334	True	False	208
AGR2	Anterior gradient protein 2 homolog	O95994	10551	AGR2	official_exact	24	0.5106382978723404	5.647364935171279	True	True	240
ARPC1A	Actin-related protein 2/3 complex subunit 1A	Q92747	10552	ARPC1A	official_exact	16	0.3404255319148936	4.569630071799471	True	False	1439
OLFM4	Olfactomedin-4	Q6UX06	10562	OLFM4	official_exact	20	0.425531914893617	5.34752180226396	True	False	1325
SLC34A2	Sodium-dependent phosphate transport protein 2B;Isoform 2 of Sodium-dependent phosphate transport protein 2B	O95436;O95436-2	10568	SLC34A2	official_exact	45	0.9574468085106383	5.5567946313378265	True	True	224
CCT7	T-complex protein 1 subunit eta;Isoform 2 of T-complex protein 1 subunit eta;Isoform 3 of T-complex protein 1 subunit eta;Isoform 4 of T-complex protein 1 subunit eta	Q99832;Q99832-2;Q99832-3;Q99832-4	10574	CCT7	official_exact	7	0.14893617021276595	4.815047454965091	True	False	1503
CCT4	T-complex protein 1 subunit delta;Isoform 2 of T-complex protein 1 subunit delta	P50991;P50991-2	10575	CCT4	official_exact	11	0.23404255319148937	3.307836584046186	True	False	934
CCT2	T-complex protein 1 subunit beta;Isoform 2 of T-complex protein 1 subunit beta	P78371;P78371-2	10576	CCT2	official_exact	13	0.2765957446808511	2.7831938958649065	True	False	1087
NPC2	NPC intracellular cholesterol transporter 2	P61916	10577	NPC2	official_exact	47	1.0	6.940782520603645	True	True	1020
PDLIM5	PDZ and LIM domain protein 5;Isoform 2 of PDZ and LIM domain protein 5;Isoform 3 of PDZ and LIM domain protein 5;Isoform 4 of PDZ and LIM domain protein 5;Isoform 6 of PDZ and LIM domain protein 5;Isoform 7 of PDZ and LIM domain protein 5	Q96HC4;Q96HC4-2;Q96HC4-3;Q96HC4-4;Q96HC4-6;Q96HC4-7	10611	PDLIM5	official_exact	4	0.0851063829787234	3.9567593398401337	True	False	1462
ERLIN1	Erlin-1	O75477	10613	ERLIN1	official_exact	7	0.14893617021276595	3.3512220630830094	True	False	194
TGOLN2	Trans-Golgi network integral membrane protein 2;Isoform TGN48 of Trans-Golgi network integral membrane protein 2;Isoform 4 of Trans-Golgi network integral membrane protein 2;Isoform 5 of Trans-Golgi network integral membrane protein 2;Isoform 7 of Trans-Golgi network integral membrane protein 2	O43493;O43493-3;O43493-4;O43493-5;O43493-7	10618	TGOLN2	official_exact	28	0.5957446808510638	4.051477280037517	True	True	145
SCGB1D2	Secretoglobin family 1D member 2	O95969	10647	SCGB1D2	official_exact	31	0.6595744680851063	6.756084310248522	True	True	239
SCGB1D1	Secretoglobin family 1D member 1	O95968	10648	SCGB1D1	official_exact	47	1.0	8.266246673146147	True	True	238
SPINT2	Kunitz-type protease inhibitor 2	O43291	10653	SPINT2	official_exact	9	0.19148936170212766	4.142868805872351	True	False	138
B3GNT2	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2;Isoform 2 of N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2	Q9NY97;Q9NY97-2	10678	B3GNT2	official_exact	15	0.3191489361702128	3.948957650809362	True	False	1597
CCT8	T-complex protein 1 subunit theta;Isoform 2 of T-complex protein 1 subunit theta;Isoform 3 of T-complex protein 1 subunit theta	P50990;P50990-2;P50990-3	10694	CCT8	official_exact	15	0.3191489361702128	3.634154530682226	True	False	933
CFL1	Cofilin-1	P23528	1072	CFL1	official_exact	46	0.9787234042553191	5.6946310996321605	True	True	710
CTSC	Dipeptidyl peptidase 1	P53634	1075	CTSC	official_exact	47	1.0	5.998761365357643	True	True	961
GIPC1	PDZ domain-containing protein GIPC1	O14908	10755	GIPC1	official_exact	9	0.19148936170212766	4.99055637655262	True	False	115
SEPTIN9	Septin-9;Isoform 2 of Septin-9;Isoform 3 of Septin-9;Isoform 5 of Septin-9;Isoform 7 of Septin-9	Q9UHD8;Q9UHD8-2;Q9UHD8-3;Q9UHD8-5;Q9UHD8-7	10801	SEPTIN9	official_exact	5	0.10638297872340426	3.446456738653878	True	False	1638
HPSE	Heparanase;Isoform 2 of Heparanase;Isoform 3 of Heparanase;Isoform 4 of Heparanase	Q9Y251;Q9Y251-2;Q9Y251-3;Q9Y251-4	10855	HPSE	official_exact	2	0.0425531914893617	4.5060576809706925	True	False	1669
CEACAM7	Carcinoembryonic antigen-related cell adhesion molecule 7	Q14002	1087	CEACAM7	official_exact	29	0.6170212765957447	7.426266802153316	True	True	1209
SMR3B	Submaxillary gland androgen-regulated protein 3B	P02814	10879	SMR3B	official_exact	47	1.0	9.253910946813	True	True	352
RAB10	Ras-related protein Rab-10	P61026	10890	RAB10	official_exact	8	0.1702127659574468	3.8226253940828627	True	False	1008
PRDX3	Thioredoxin-dependent peroxide reductase, mitochondrial;Isoform 2 of Thioredoxin-dependent peroxide reductase, mitochondrial	P30048;P30048-2	10935	PRDX3	official_exact	9	0.19148936170212766	4.485610689512901	True	False	769
EHD1	EH domain-containing protein 1	Q9H4M9	10938	EHD1	official_exact	13	0.2765957446808511	4.6963000627563005	True	False	1551
OS9	Protein OS-9	Q13438	10956	OS9	official_exact	47	1.0	5.606785962574551	True	True	1192
TMED2	Transmembrane emp24 domain-containing protein 2	Q15363	10959	TMED2	official_exact	4	0.0851063829787234	2.9987814167840305	True	False	1252
LMAN2	Vesicular integral-membrane protein VIP36	Q12907	10960	LMAN2	official_exact	39	0.8297872340425532	4.633045323274602	True	True	1170
ERP29	Endoplasmic reticulum resident protein 29	P30040	10961	ERP29	official_exact	32	0.6808510638297872	4.885735241094785	True	True	764
STIP1	Stress-induced-phosphoprotein 1;Isoform 2 of Stress-induced-phosphoprotein 1;Isoform 3 of Stress-induced-phosphoprotein 1	P31948;P31948-2;P31948-3	10963	STIP1	official_exact	20	0.425531914893617	4.476814811121109	True	False	797
CKAP4	Cytoskeleton-associated protein 4	Q07065	10970	CKAP4	official_exact	10	0.2127659574468085	4.580190117832583	True	False	1145
YWHAQ	14-3-3 protein theta	P27348	10971	YWHAQ	official_exact	39	0.8297872340425532	4.70216412269394	True	True	734
TMED10	Transmembrane emp24 domain-containing protein 10	P49755	10972	TMED10	official_exact	26	0.5531914893617021	5.386241204167984	True	True	915
ADIRF	Adipogenesis regulatory factor	Q15847	10974	ADIRF	official_exact	30	0.6382978723404256	5.1344999218126315	True	True	1269
SPINK5	Serine protease inhibitor Kazal-type 5;Isoform short of Serine protease inhibitor Kazal-type 5;Isoform long of Serine protease inhibitor Kazal-type 5	Q9NQ38;Q9NQ38-2;Q9NQ38-3	11005	SPINK5	official_exact	21	0.44680851063829785	4.994863203135191	True	False	1575
CHAD	Chondroadherin	O15335	1101	CHAD	official_exact	19	0.40425531914893614	4.788455587099681	True	False	126
KLK11	Kallikrein-11;Isoform 1 of Kallikrein-11;Isoform 3 of Kallikrein-11;Isoform 4 of Kallikrein-11	Q9UBX7;Q9UBX7-1;Q9UBX7-3;Q9UBX7-4	11012	KLK11	official_exact	26	0.5531914893617021	5.732782622492328	True	True	1632
DSTN	Destrin	P60981	11034	DSTN	official_exact	27	0.574468085106383	5.891682482613269	True	True	1005
B4GAT1	Beta-1,4-glucuronyltransferase 1	O43505	11041	B4GAT1	official_exact	45	0.9574468085106383	5.848965856260944	True	True	146
ESM1	Endothelial cell-specific molecule 1	Q9NQ30	11082	ESM1	official_exact	7	0.14893617021276595	3.2612290928439385	True	False	1574
PRSS23	Serine protease 23	O95084	11098	PRSS23	official_exact	45	0.9574468085106383	5.583104235849222	True	True	217
CDC37	Hsp90 co-chaperone Cdc37	Q16543	11140	CDC37	official_exact	4	0.0851063829787234	4.556322294394203	True	False	1277
CORO1A	Coronin-1A	P31146	11151	CORO1A	official_exact	23	0.48936170212765956	5.129101234574001	True	False	786
CHI3L1	Chitinase-3-like protein 1	P36222	1116	CHI3L1	official_exact	25	0.5319148936170213	4.283337938887703	True	True	830
FSTL1	Follistatin-related protein 1;Isoform 2 of Follistatin-related protein 1	Q12841;Q12841-2	11167	FSTL1	official_exact	37	0.7872340425531915	4.079397539793095	True	True	1169
CHI3L2	Chitinase-3-like protein 2;Isoform 3 of Chitinase-3-like protein 2	Q15782;Q15782-6	1117	CHI3L2	official_exact	47	1.0	7.077215703490898	True	True	1265
KLK8	Kallikrein-8;Isoform 2 of Kallikrein-8	O60259;O60259-2	11202	KLK8	official_exact	18	0.3829787234042553	5.370266657580518	True	False	160
GALNT6	Polypeptide N-acetylgalactosaminyltransferase 6	Q8NCL4	11226	GALNT6	official_exact	45	0.9574468085106383	5.7673299776006886	True	True	1394
GALNT5	Polypeptide N-acetylgalactosaminyltransferase 5	Q7Z7M9	11227	GALNT5	official_exact	47	1.0	5.778537590330288	True	True	1353
PDCD10	Programmed cell death protein 10	Q9BUL8	11235	PDCD10	official_exact	37	0.7872340425531915	5.296232322779532	True	True	1518
PACSIN2	Protein kinase C and casein kinase substrate in neurons protein 2;Isoform 2 of Protein kinase C and casein kinase substrate in neurons protein 2	Q9UNF0;Q9UNF0-2	11252	PACSIN2	official_exact	5	0.10638297872340426	3.5097073606483358	True	False	1662
MAN1B1	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	Q9UKM7	11253	MAN1B1	official_exact	8	0.1702127659574468	5.13617431724181	True	False	1650
PRR4	Proline-rich protein 4	Q16378	11272	PRR4	official_exact	47	1.0	10.338904459566717	True	True	1275
KRT71	Keratin, type II cytoskeletal 71	Q3SY84	112802	KRT71	official_exact	35	0.7446808510638298	5.05408773485505	True	True	1294
LYPLA2	Acyl-protein thioesterase 2	O95372	11313	LYPLA2	official_exact	2	0.0425531914893617	5.986020473923128	True	False	222
PARK7	Parkinson disease protein 7	Q99497	11315	PARK7	official_exact	37	0.7872340425531915	5.4469209837563355	True	True	1488
COPE	Coatomer subunit epsilon	O14579	11316	COPE	official_exact	4	0.0851063829787234	7.075014126933223	True	False	105
CHST14	Carbohydrate sulfotransferase 14	Q8NCH0	113189	CHST14	official_exact	13	0.2765957446808511	4.78403450823519	True	False	1393
GOLM2	Protein GOLM2;Isoform 5 of Protein GOLM2	Q6P4E1;Q6P4E1-5	113201	GOLM2	official_exact	35	0.7446808510638298	5.439131725462407	True	True	1319
PHB2	Prohibitin-2	Q99623	11331	PHB2	official_exact	8	0.1702127659574468	4.124004846142613	True	False	1496
CBX3	Chromobox protein homolog 3	Q13185	11335	CBX3	official_exact	2	0.0425531914893617	5.652902250810003	True	False	1178
SCRG1	Scrapie-responsive protein 1	O75711	11341	SCRG1	official_exact	18	0.3829787234042553	4.394222061977695	True	False	201
MGLL	Monoglyceride lipase	Q99685	11343	MGLL	official_exact	21	0.44680851063829785	4.913009904579475	True	False	1497
PIK3IP1	Phosphoinositide-3-kinase-interacting protein 1;Isoform 2 of Phosphoinositide-3-kinase-interacting protein 1;Isoform 4 of Phosphoinositide-3-kinase-interacting protein 1	Q96FE7;Q96FE7-2;Q96FE7-4	113791	PIK3IP1	official_exact	42	0.8936170212765957	5.1629507872410585	True	True	1458
PGLYRP2	N-acetylmuramoyl-L-alanine amidase;Isoform 2 of N-acetylmuramoyl-L-alanine amidase	Q96PD5;Q96PD5-2	114770	PGLYRP2	official_exact	12	0.2553191489361702	3.7223722690627965	True	False	1475
C1QTNF1	Complement C1q tumor necrosis factor-related protein 1;Isoform 2 of Complement C1q tumor necrosis factor-related protein 1	Q9BXJ1;Q9BXJ1-2	114897	C1QTNF1	official_exact	29	0.6170212765957447	5.371320546298852	True	True	1526
CKB	Creatine kinase B-type	P12277	1152	CKB	official_exact	12	0.2553191489361702	3.7347687605801734	True	False	558
CIRBP	Cold-inducible RNA-binding protein;Isoform 2 of Cold-inducible RNA-binding protein	Q14011;Q14011-2	1153	CIRBP	official_exact	6	0.1276595744680851	3.3816586497373424	True	False	1210
NOSTRIN	Nostrin;Isoform 2 of Nostrin;Isoform 3 of Nostrin;Isoform 4 of Nostrin	Q8IVI9;Q8IVI9-2;Q8IVI9-3;Q8IVI9-4	115677	NOSTRIN	official_exact	7	0.14893617021276595	4.3519047678161655	True	False	1370
DHRS1	Dehydrogenase/reductase SDR family member 1	Q96LJ7	115817	DHRS1	official_exact	5	0.10638297872340426	4.922543119370957	True	False	1471
NIBAN1	Protein Niban 1	Q9BZQ8	116496	NIBAN1	official_exact	21	0.44680851063829785	4.288211319307997	True	False	1530
LRG1	Leucine-rich alpha-2-glycoprotein	P02750	116844	LRG1	official_exact	46	0.9787234042553191	7.173050374039736	True	True	339
DCD	Dermcidin	P81605	117159	DCD	official_exact	47	1.0	8.301131927260936	True	True	1095
CLU	Isoform 6 of Clusterin	P10909-6	1191	CLU	official_exact	47	1.0	7.968892449910101	True	True	536
CLIC1	Chloride intracellular channel protein 1	O00299	1192	CLIC1	official_exact	46	0.9787234042553191	5.8391681454627875	True	True	89
SERPINA3	Alpha-1-antichymotrypsin	P01011	12	SERPINA3	official_exact	47	1.0	7.6005111755139465	True	True	268
TPP1	Tripeptidyl-peptidase 1	O14773	1200	TPP1	official_exact	47	1.0	6.07615307480341	True	True	111
CLN5	Ceroid-lipofuscinosis neuronal protein 5	O75503	1203	CLN5	official_exact	45	0.9574468085106383	6.186288978683704	True	True	195
LRIG3	Leucine-rich repeats and immunoglobulin-like domains protein 3	Q6UXM1	121227	LRIG3	official_exact	12	0.2553191489361702	4.9302055220188485	True	False	1330
CLTC	Clathrin heavy chain 1;Isoform 2 of Clathrin heavy chain 1	Q00610;Q00610-2	1213	CLTC	official_exact	32	0.6808510638297872	4.8839177995340375	True	True	1109
ZG16B	Zymogen granule protein 16 homolog B	Q96DA0	124220	ZG16B	official_exact	47	1.0	7.959496499335886	True	True	1456
SLC38A10	Putative sodium-coupled neutral amino acid transporter 10	Q9HBR0	124565	SLC38A10	official_exact	47	1.0	5.706479049726557	True	True	1563
CANT1	Soluble calcium-activated nucleotidase 1;Isoform 3 of Soluble calcium-activated nucleotidase 1	Q8WVQ1;Q8WVQ1-3	124583	CANT1	official_exact	47	1.0	6.089552797683815	True	True	1421
GGT6	Glutathione hydrolase 6;Isoform 2 of Glutathione hydrolase 6	Q6P531;Q6P531-2	124975	GGT6	official_exact	40	0.851063829787234	5.0899992939998135	True	True	1320
ADH1C	Alcohol dehydrogenase 1C	P00326	126	ADH1C	official_exact	9	0.19148936170212766	4.553032997124387	True	False	241
ALDH16A1	Aldehyde dehydrogenase family 16 member A1	Q8IZ83	126133	ALDH16A1	official_exact	9	0.19148936170212766	4.4815976911027375	True	False	1374
CNN2	Calponin-2	Q99439	1265	CNN2	official_exact	9	0.19148936170212766	5.351130651633127	True	False	1486
CNP	2',3'-cyclic-nucleotide 3'-phosphodiesterase;Isoform CNPI of 2',3'-cyclic-nucleotide 3'-phosphodiesterase	P09543;P09543-2	1267	CNP	official_exact	10	0.2127659574468085	4.15498603761301	True	False	489
ADH5	Alcohol dehydrogenase class-3	P11766	128	ADH5	official_exact	10	0.2127659574468085	3.984637616747599	True	False	548
NAXE	NAD(P)H-hydrate epimerase;Isoform 2 of NAD(P)H-hydrate epimerase	Q8NCW5;Q8NCW5-2	128240	NAXE	official_exact	15	0.3191489361702128	4.560473015626678	True	False	1395
WFDC12	WAP four-disulfide core domain protein 12	Q8WWY7	128488	WFDC12	official_exact	13	0.2765957446808511	4.362098865727442	True	False	1425
CHMP4B	Charged multivesicular body protein 4b	Q9H444	128866	CHMP4B	official_exact	4	0.0851063829787234	3.5204111695217577	True	False	1546
COL6A1	Collagen alpha-1(VI) chain	P12109	1291	COL6A1	official_exact	46	0.9787234042553191	5.062409988194941	True	True	552
