dataset	contrast_id	sample	group	source_group	compartment	context	species	score
GSE180490	severity_neuron_modhigh_vs_low_nageotte	C-Ctrl-W1	control	control_wounded	cornea	wounded_diabetes	mouse	-0.05773982882317197
GSE180490	severity_neuron_modhigh_vs_low_nageotte	C-Ctrl-W2	control	control_wounded	cornea	wounded_diabetes	mouse	-0.060009309608264526
GSE180490	severity_neuron_modhigh_vs_low_nageotte	C-Ctrl-W3	control	control_wounded	cornea	wounded_diabetes	mouse	-0.06504809315270096
GSE180490	severity_neuron_modhigh_vs_low_nageotte	C-DM-W1	disease	diabetic_wounded	cornea	wounded_diabetes	mouse	-0.061234865144240265
GSE180490	severity_neuron_modhigh_vs_low_nageotte	C-DM-W2	disease	diabetic_wounded	cornea	wounded_diabetes	mouse	-0.06381271711321962
GSE180490	severity_neuron_modhigh_vs_low_nageotte	C-DM-W3	disease	diabetic_wounded	cornea	wounded_diabetes	mouse	-0.0670851122101917
GSE180490	xenium_DPN_vs_control	C-Ctrl-W1	control	control_wounded	cornea	wounded_diabetes	mouse	-0.07679611794780339
GSE180490	xenium_DPN_vs_control	C-Ctrl-W2	control	control_wounded	cornea	wounded_diabetes	mouse	-0.07729846620296052
GSE180490	xenium_DPN_vs_control	C-Ctrl-W3	control	control_wounded	cornea	wounded_diabetes	mouse	-0.03246078810217387
GSE180490	xenium_DPN_vs_control	C-DM-W1	disease	diabetic_wounded	cornea	wounded_diabetes	mouse	0.09466131125775319
GSE180490	xenium_DPN_vs_control	C-DM-W2	disease	diabetic_wounded	cornea	wounded_diabetes	mouse	-0.039189851970750866
GSE180490	xenium_DPN_vs_control	C-DM-W3	disease	diabetic_wounded	cornea	wounded_diabetes	mouse	0.003008392287418532
