library	module_id	module_display	direction	term	background_n	component_direction_n	term_background_n	overlap_n	gene_ratio	background_ratio	odds_ratio	p_value	overlap_genes	bh_q	formal_enrichment
Reactome_2024	late_neuron_residual	Neuron residual	up	Transcriptional and Post-Translational Regulation of MITF-M Expression and Activity	3695	215	20	8	0.037209302325581395	0.005412719891745603	11.366650602409639	7.921057098727931e-06	DARS1;EPRS1;IARS1;KARS1;LARS1;MARS1;QARS1;RARS1	7.056941778866702e-05	True
Reactome_2024	late_neuron_residual	Neuron residual	up	MITF-M-regulated Melanocyte Development	3695	215	43	9	0.04186046511627907	0.011637347767253045	4.595817103554761	0.0006420803386110585	DARS1;EPRS1;IARS1;KARS1;LARS1;MARS1;PLK1;QARS1;RARS1	0.005243656098656978	True
Reactome_2024	late_neuron_residual	Neuron residual	up	B-WICH Complex Positively Regulates rRNA Expression	3695	215	9	4	0.018604651162790697	0.002435723951285521	13.444874274661508	0.0011140624830715915	H2AJ;POLR1F;POLR1G;POLR1H	0.007278541556067731	True
Reactome_2024	late_neuron_residual	Neuron residual	up	Complex I Biogenesis	3695	215	9	4	0.018604651162790697	0.002435723951285521	13.444874274661508	0.0011140624830715915	MT-ND1;MT-ND3;MT-ND4;MT-ND5	0.007278541556067731	True
Reactome_2024	late_neuron_residual	Neuron residual	up	RNA Polymerase I Promoter Escape	3695	215	9	4	0.018604651162790697	0.002435723951285521	13.444874274661508	0.0011140624830715915	H2AJ;POLR1F;POLR1G;POLR1H	0.007278541556067731	True
Reactome_2024	late_shared_concordant_neuronal_core	Shared neuronal core	down	Peptide Ligand-Binding Receptors	3695	119	33	6	0.05042016806722689	0.008930987821380243	7.391830196235483	0.0005340664397856857	CCK;EDNRA;GAL;OPRK1;OPRM1;SST	0.012967238273278097	True
Reactome_2024	late_shared_concordant_neuronal_core	Shared neuronal core	down	Class A 1 (Rhodopsin-like Receptors)	3695	119	62	8	0.06722689075630252	0.016779431664411367	4.927181470358333	0.0007204021262932276	CCK;CYSLTR1;EDNRA;GAL;OPRK1;OPRM1;P2RY12;SST	0.012967238273278097	True
Reactome_2024	late_shared_concordant_neuronal_core	Shared neuronal core	down	GPCR Ligand Binding	3695	119	83	9	0.07563025210084033	0.02246278755074425	4.041877979896141	0.0012164590937030959	CCK;CYSLTR1;EDNRA;FZD8;GAL;OPRK1;OPRM1;P2RY12;SST	0.01459750912443715	True
Reactome_2024	late_shared_concordant_neuronal_core	Shared neuronal core	down	Signaling by GPCR	3695	119	128	11	0.09243697478991597	0.034641407307171856	3.1206392783606236	0.00244002566552597	CCK;CYSLTR1;DGKH;EDNRA;FZD8;GAL;OPRK1;OPRM1;P2RY12;PDE11A;SST	0.02196023098973373	True
Reactome_2024	late_shared_concordant_neuronal_core	Shared neuronal core	down	GPCR Downstream Signalling	3695	119	114	10	0.08403361344537816	0.030852503382949932	3.1864062397587993	0.0033049397206555676	CCK;CYSLTR1;DGKH;EDNRA;GAL;OPRK1;OPRM1;P2RY12;PDE11A;SST	0.023795565988720086	True
