gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene_recovered_from_excel_date	direction	passes_fdr_0_05	passes_abs_log2fc_0_585	primary_signature_member	source_sheet	contrast_id	biological_level	effect_orientation	evidence_status	gene_input	human_gene_id	mapping_method	current_human_symbol	target_current_symbol	baseMean	target_log2FoldChange	target_stat	target_padj	target_source_symbol	mapped_to_target_universe
ANGPTL2	5.77e-16	-0.69704034	0.095	0.148	1.07e-11	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	ANGPTL2	23452	official_exact	ANGPTL2	ANGPTL2	1770.82983773511	-0.356793319272845	-1.56072455360258	0.410273367650212	ANGPTL2	True
ANP32A	5.23e-22	-0.824511081	0.073	0.145	9.72e-18	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	ANP32A	8125	official_exact	ANP32A	ANP32A	15743.9525772493	0.282043262498574	1.79579529225021	0.355340772212424	ANP32A	True
ARHGAP4	4.51e-23	-0.963021959	0.202	0.308	8.39e-19	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	ARHGAP4	393	official_exact	ARHGAP4	ARHGAP4	1662.40728442403	-0.206703587425261	-0.566898129187702	0.723939527203787	ARHGAP4	True
ARSI	6.53e-07	-0.664551702	0.028	0.047	0.012128727	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	ARSI	340075	official_exact	ARSI	ARSI	432.384171352558	0.285277866623093	0.50896219770409	0.752180913358557	ARSI	True
ARSL	8.42e-08	-1.340515148	0.022	0.059	0.001564839	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	ARSL	415	official_exact	ARSL	ARSL	2456.17587176485	-0.240779746466974	-1.50933985312354	0.475816980864159	ARSE	True
ATOSA	2.96e-32	-2.08642949	0.037	0.141	5.500000000000001e-28	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	ATOSA	56204	official_exact	ATOSA	ATOSA	6883.1419467817	0.198029284569998	0.85498071466296	0.766978345764294	FAM214A	True
B3GALT9	1.84e-10	-1.543029326	0.007	0.017	3.42e-06	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	B3GALT9	100288842	official_exact	B3GALT9							False
BLOC1S2	2.03e-06	-0.816293779	0.068	0.129	0.037638225	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	BLOC1S2	282991	official_exact	BLOC1S2	BLOC1S2	10258.5515541855	-0.356743527412739	-2.01799763423359	0.286243248311436	BLOC1S2	True
BLTP1	2.02e-15	-1.730743843	0.062	0.206	3.75e-11	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	BLTP1	84162	official_exact	BLTP1	BLTP1	25882.2967234387	-0.0587560139217905	-0.312992996614597	1.0	KIAA1109	True
BMAL1	7.49e-14	-1.468103203	0.011	0.028	1.39e-09	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	BMAL1	406	official_exact	BMAL1	BMAL1	3317.16470997973	0.501001656770477	1.81456765007508	0.34482158935894	ARNTL	True
BPNT2	3.3e-17	-1.99139835	0.054	0.187	6.12e-13	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	BPNT2	54928	official_exact	BPNT2	BPNT2	14422.6267110011	-0.0217412384585278	-0.135907498790241	1.0	IMPAD1	True
BRCA1	1.17e-10	-0.74840215	0.023	0.039	2.17e-06	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	BRCA1	672	official_exact	BRCA1	BRCA1	994.179018199853	0.428653742916983	2.35239428774991	0.145037169429868	BRCA1	True
C12orf57	2.07e-06	-0.688888525	0.268	0.395	0.038388687	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	C12orf57	113246	official_exact	C12orf57	C12orf57	482.321654155937	-0.602965720637561	-1.36330233843352	0.433359414076954	C12orf57	True
C1QTNF1	1.16e-71	-0.593599664	0.098	0.136	2.1499999999999998e-67	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	C1QTNF1	114897	official_exact	C1QTNF1	C1QTNF1	2045.16382979389	-0.0811133639144818	-0.2234814156589	0.962626670912873	C1QTNF1	True
CACNA2D4	1.37e-11	-0.898982397	0.02	0.039	2.54e-07	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CACNA2D4	93589	official_exact	CACNA2D4	CACNA2D4	1750.15481308106	0.11702045814538	0.425607622816385	0.975392610676472	CACNA2D4	True
CAPN15	6.43e-08	-0.619833937	0.079	0.129	0.001194211	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CAPN15	6650	official_exact	CAPN15	CAPN15	361.131575202293	-0.267979661702118	-0.85205080385889	0.614199220615973	CAPN15	True
CARS1	8.2e-09	-2.226978788	0.011	0.037	0.000152366	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CARS1	833	official_exact	CARS1	CARS1	5705.45111522032	0.00305891811281177	0.0200461714645991	1.0	CARS	True
CCDC110	1.45e-09	-0.611897281	0.013	0.018	2.69e-05	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CCDC110	256309	official_exact	CCDC110	CCDC110	593.239395143475	-0.295463215982799	-0.819270858083868	0.624957689891425	CCDC110	True
CCDC88B	7.16e-08	-0.634993603	0.12	0.174	0.001329513	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CCDC88B	283234	official_exact	CCDC88B	CCDC88B	1142.28907879022	-0.237915515974813	-0.732480242089059	0.66797242584526	CCDC88B	True
CCL14	7.01e-08	-0.714017319	0.039	0.062	0.001301933	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CCL14	6358	official_exact	CCL14	CCL14	291.917643573117	0.0889598049406451	0.192054531081356	0.847935556122978	CCL14	True
CCN5	5.45e-09	-0.94885516	0.018	0.036	0.00010122	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CCN5	8839	official_exact	CCN5	CCN5	1129.26386908579	-1.10413468680673	-2.94034835782908	0.0498573481321037	WISP2	True
CD248	2.58e-11	-1.300509258	0.04	0.093	4.8e-07	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CD248	57124	official_exact	CD248	CD248	641.937465293738	-0.30048181611515	-0.625369178125486	0.695998166313126	CD248	True
CD74	6.71e-47	-0.808713879	0.446	0.624	1.2499999999999998e-42	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CD74	972	official_exact	CD74	CD74	111041.090703412	0.271216156433834	0.775594668791592	0.828927327545057	CD74	True
CD93	1.21e-09	-0.921945946	0.117	0.194	2.25e-05	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CD93	22918	official_exact	CD93	CD93	8057.44505312137	0.982292904430378	3.89853309957069	0.0101746272001809	CD93	True
CDC42EP1	4.18e-24	-0.80192052	0.102	0.185	7.77e-20	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CDC42EP1	11135	official_exact	CDC42EP1	CDC42EP1	922.84116383787	-0.191012272266194	-0.534100257703979	0.736703410660904	CDC42EP1	True
CDC6	1.93e-08	-1.198744413	0.012	0.021	0.000357828	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CDC6	990	official_exact	CDC6	CDC6	131.274226732016	0.466763472742791	1.42427671130063	0.440314194223593	CDC6	True
CDKN2A	2.02e-20	-0.862776173	0.017	0.038	3.76e-16	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CDKN2A	1029	official_exact	CDKN2A	CDKN2A	298.405656458013	0.24576351352962	0.618767625491642	0.699489983152514	CDKN2A	True
CENATAC	2.34e-16	-1.139426922	0.041	0.108	4.34e-12	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CENATAC	338657	official_exact	CENATAC	CENATAC	5443.4353738219	-0.225467859658227	-0.808188948555706	0.787342286680504	CCDC84	True
CENPP	3.58e-28	-0.674176604	0.097	0.141	6.649999999999999e-24	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CENPP	401541	official_exact	CENPP	CENPP	623.644307583101	0.0737506560999367	0.337625148842887	0.798319525565743	CENPP	True
CEP131	1.2e-19	-0.662519912	0.081	0.139	2.22e-15	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CEP131	22994	official_exact	CEP131	CEP131	288.635327600801	-0.550431941575493	-1.52027924451545	0.372121630165191	CEP131	True
CEP43	1.63e-20	-1.72961874	0.022	0.066	3.02e-16	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CEP43	11116	official_exact	CEP43	CEP43	2298.72978038907	-0.0259512952810471	-0.176135430398546	0.853885584896493	FGFR1OP	True
CFAP91	1.49e-11	-0.999415965	0.011	0.024	2.76e-07	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CFAP91	89876	official_exact	CFAP91	CFAP91	1791.97398543405	0.166393145238859	0.745108913642051	0.811638927218148	MAATS1	True
CHD9NB	7.13e-08	-1.223694914	0.007	0.022	0.001325121	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CHD9NB	105371267	official_exact	CHD9NB							False
CIITA	2.55e-34	-0.617537716	0.209	0.316	4.7399999999999994e-30	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CIITA	4261	official_exact	CIITA	CIITA	4826.52585406618	0.981945155417977	4.66785251589261	0.000946026385004166	CIITA	True
CLDN19	1.76e-21	-0.616356448	0.058	0.093	3.27e-17	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CLDN19	149461	official_exact	CLDN19	CLDN19	5659.00485407967	0.0735522157138546	0.310200403670582	1.0	CLDN19	True
COL15A1	2.67e-15	-0.902368184	0.083	0.154	4.96e-11	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	COL15A1	1306	official_exact	COL15A1	COL15A1	3624.48983925671	0.144161551445497	0.497796503155559	0.7488974628017	COL15A1	True
COL1A1	3.09e-99	-0.58600467	0.319	0.374	5.7399999999999995e-95	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	COL1A1	1277	official_exact	COL1A1	COL1A1	4794.49061991012	0.168798360975363	0.384361944649705	0.977445630812609	COL1A1	True
COL6A3	3.51e-43	-1.175054498	0.135	0.207	6.53e-39	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	COL6A3	1293	official_exact	COL6A3	COL6A3	12588.0316393555	0.968767390771176	2.8194916052816	0.0936945990016301	COL6A3	True
CORO1A	1.22e-07	-0.808000572	0.165	0.253	0.002270998	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CORO1A	11151	official_exact	CORO1A	CORO1A	2499.79346740907	-0.380496538565435	-1.32293422151776	0.439764601283152	CORO1A	True
CPNE4	1.08e-11	-0.873277843	0.036	0.058	2e-07	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CPNE4	131034	official_exact	CPNE4	CPNE4	7440.21987412316	-1.2088410968757	-2.57617905776464	0.134383533511309	CPNE4	True
CREB3L2	2.12e-17	-0.925346161	0.19	0.342	3.94e-13	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CREB3L2	64764	official_exact	CREB3L2	CREB3L2	17781.1859684927	0.213878535944423	1.3793392781117	0.530859277873724	CREB3L2	True
CRYAB	2.65e-06	-0.766059369	0.254	0.397	0.049308156	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CRYAB	1410	official_exact	CRYAB	CRYAB	54413.8557956789	0.00268846533953258	0.00945382862191333	1.0	CRYAB	True
CSPG4	2.05e-17	-0.586328343	0.112	0.168	3.8e-13	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CSPG4	1464	official_exact	CSPG4	CSPG4	3438.75798472848	-0.0377894465323271	-0.103595257349762	1.0	CSPG4	True
CXCL12	2.69e-15	-0.66500107	0.103	0.177	5.01e-11	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CXCL12	6387	official_exact	CXCL12	CXCL12	7174.64639167964	0.257477971966219	0.653740477629715	0.86635744652196	CXCL12	True
CYB561D2	9.4e-19	-0.653867129	0.103	0.167	1.75e-14	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CYB561D2	11068	official_exact	CYB561D2	CYB561D2	517.270666946116	-0.294214383586584	-1.13918919026952	0.505369962798826	CYB561D2	True
CYB5R2	1.17e-11	-0.701100889	0.075	0.124	2.18e-07	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CYB5R2	51700	official_exact	CYB5R2	CYB5R2	7559.77843449591	0.229075404581886	0.703301564855861	0.819942667443609	CYB5R2	True
CYBA	1.83e-12	-0.887009051	0.184	0.318	3.41e-08	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CYBA	1535	official_exact	CYBA	CYBA	1495.5064070523	-0.0783778000308995	-0.240763423232665	0.953458806062859	CYBA	True
CYRIB	1.54e-14	-2.668069702	0.024	0.095	2.86e-10	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	CYRIB	51571	official_exact	CYRIB	CYRIB	7234.45624587992	0.27099184936952	1.65831937135769	0.407859295192221	FAM49B	True
DARS1	1.19e-07	-1.748652435	0.041	0.123	0.002207527	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	DARS1	1615	official_exact	DARS1	DARS1	7436.77279070145	0.0304514447186743	0.314301255677493	1.0	DARS	True
DCLK3	9.02e-12	-1.012907587	0.025	0.054	1.68e-07	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	DCLK3	85443	official_exact	DCLK3	DCLK3	3211.15931434322	-0.503045647521946	-2.55973366529862	0.107398111431092	DCLK3	True
DDTL	7.92e-24	-0.951488882	0.037	0.08	1.47e-19	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	DDTL	100037417	official_exact	DDTL	DDTL	335.902910901091	-0.157904145358716	-0.573448764782224	0.714880034148919	DDTL	True
DEF6	8.7e-18	-0.734326619	0.099	0.169	1.62e-13	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	DEF6	50619	official_exact	DEF6	DEF6	1025.55752266834	-0.0740366913164458	-0.239220714642271	0.838499780433574	DEF6	True
DENND2B	7.08e-09	-1.546435547	0.073	0.235	0.000131546	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	DENND2B	6764	official_exact	DENND2B	DENND2B	5399.47431941535	-0.106734653862687	-0.762247719299505	0.812750316605901	ST5	True
DENND3	1.57e-15	-0.658201452	0.234	0.282	2.93e-11	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	DENND3	22898	official_exact	DENND3	DENND3	8622.24300817487	0.10066856345134	0.466986718439086	1.0	DENND3	True
DGAT1	3.6e-10	-0.708965273	0.138	0.22	6.69e-06	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	DGAT1	8694	official_exact	DGAT1	DGAT1	1119.72215974166	-0.25124739020851	-0.909468974550117	0.601428453828777	DGAT1	True
DNAAF10	1.31e-20	-1.824660464	0.015	0.042	2.44e-16	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	DNAAF10	116143	official_exact	DNAAF10	DNAAF10	644.179107395253	-0.0927074285914026	-0.68888846401369	0.679378529765388	WDR92	True
DNAAF9	4.32e-10	-1.864109726	0.042	0.133	8.03e-06	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	DNAAF9	25943	official_exact	DNAAF9	DNAAF9	8843.92010878856	0.118215531161971	0.864918675566339	0.749750946964196	C20orf194	True
DNAI4	2.18e-10	-1.362740154	0.006	0.013	4.06e-06	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	DNAI4	79819	official_exact	DNAI4	DNAI4	702.115609793997	-0.112779257040959	-0.747200167945537	0.65223641793437	WDR78	True
DRP2	1.4e-25	-0.769314988	0.054	0.094	2.6e-21	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	DRP2	1821	official_exact	DRP2	DRP2	32045.2917982011	0.481049712585809	1.62628895395971	0.422277088699338	DRP2	True
DYNC2I1	3.44e-27	-1.149559923	0.043	0.104	6.38e-23	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	DYNC2I1	55112	official_exact	DYNC2I1	DYNC2I1	2487.94907955597	0.0204599596517391	0.15119964826881	1.0	WDR60	True
DYNC2I2	1.76e-07	-1.829930172	0.021	0.074	0.003275049	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	DYNC2I2	89891	official_exact	DYNC2I2	DYNC2I2	731.412630515107	-0.527653104344874	-1.36347395612893	0.37247434353069	WDR34	True
DYNLT2B	1.29e-07	-1.517434364	0.026	0.068	0.002395186	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	DYNLT2B	255758	official_exact	DYNLT2B	DYNLT2B	226.517789877589	0.0209323875765935	0.0648992718089024	0.892030563193811	TCTEX1D2	True
EEIG1	7.36e-11	-1.488220348	0.055	0.151	1.37e-06	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	EEIG1	399665	official_exact	EEIG1	EEIG1	8236.5706161065	-0.518578198890009	-2.13181077567209	0.249614496795751	FAM102A	True
EGR1	2.26e-14	-1.107408999	0.143	0.279	4.2e-10	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	EGR1	1958	official_exact	EGR1	EGR1	4291.83450226136	-0.913150109223042	-1.80498531075697	0.350804429282418	EGR1	True
EGR3	2.23e-07	-0.877183856	0.047	0.088	0.004136036	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	EGR3	1960	official_exact	EGR3	EGR3	1661.7793332657	-1.03999881564498	-2.03352699820863	0.217200753383882	EGR3	True
EHBP1L1	1.55e-95	-0.744728136	0.505	0.63	2.88e-91	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	EHBP1L1	254102	official_exact	EHBP1L1	EHBP1L1	11993.5521413657	0.532869981033026	4.37475491816877	0.00271096583049768	EHBP1L1	True
EIF1	5.579999999999999e-23	-0.696896168	0.171	0.281	1.04e-18	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed	EIF1	10209	official_exact	EIF1	EIF1	45611.6581445868	0.0820885373830413	0.458775590500896	0.928179484659974	EIF1	True
