geo_accession	sample_id	module_id	program	measured_up	measured_down	eligible
GSM8943595	sam-UTD-DN0095-DRGL3-S2-2	severity_neuron_residual	P10	218	117	True
GSM8943595	sam-UTD-DN0095-DRGL3-S2-2	severity_neuron_shared_concordant_core	P9	10	7	False
GSM8943596	sam-UTD-DN0095-DRGL3-S2-3	late_allcell_residual	P8	1266	1561	True
GSM8943596	sam-UTD-DN0095-DRGL3-S2-3	late_neuron_residual	P7	72	197	True
GSM8943596	sam-UTD-DN0095-DRGL3-S2-3	late_shared_concordant_neuronal_core	P6	44	78	True
GSM8943596	sam-UTD-DN0095-DRGL3-S2-3	original_early_allcell	P1	300	329	True
GSM8943596	sam-UTD-DN0095-DRGL3-S2-3	original_late_allcell	P2	1346	1670	True
GSM8943596	sam-UTD-DN0095-DRGL3-S2-3	original_late_neuron	P3	123	298	True
GSM8943596	sam-UTD-DN0095-DRGL3-S2-3	original_severity	P4	312	134	True
GSM8943596	sam-UTD-DN0095-DRGL3-S2-3	original_xenium	P5	17	42	True
GSM8943596	sam-UTD-DN0095-DRGL3-S2-3	severity_neuron_residual	P10	217	118	True
GSM8943596	sam-UTD-DN0095-DRGL3-S2-3	severity_neuron_shared_concordant_core	P9	10	7	False
GSM8943597	sam-UTD-DN0106-DRGL-S5-1	late_allcell_residual	P8	1249	1541	True
GSM8943597	sam-UTD-DN0106-DRGL-S5-1	late_neuron_residual	P7	71	194	True
GSM8943597	sam-UTD-DN0106-DRGL-S5-1	late_shared_concordant_neuronal_core	P6	43	76	True
GSM8943597	sam-UTD-DN0106-DRGL-S5-1	original_early_allcell	P1	293	327	True
GSM8943597	sam-UTD-DN0106-DRGL-S5-1	original_late_allcell	P2	1327	1648	True
GSM8943597	sam-UTD-DN0106-DRGL-S5-1	original_late_neuron	P3	121	292	True
GSM8943597	sam-UTD-DN0106-DRGL-S5-1	original_severity	P4	312	134	True
GSM8943597	sam-UTD-DN0106-DRGL-S5-1	original_xenium	P5	17	40	True
GSM8943597	sam-UTD-DN0106-DRGL-S5-1	severity_neuron_residual	P10	218	118	True
GSM8943597	sam-UTD-DN0106-DRGL-S5-1	severity_neuron_shared_concordant_core	P9	10	7	False
GSM8943598	sam-UTD-DN0106-DRGL-S5-2	late_allcell_residual	P8	1249	1542	True
GSM8943598	sam-UTD-DN0106-DRGL-S5-2	late_neuron_residual	P7	71	196	True
GSM8943598	sam-UTD-DN0106-DRGL-S5-2	late_shared_concordant_neuronal_core	P6	42	77	True
GSM8943598	sam-UTD-DN0106-DRGL-S5-2	original_early_allcell	P1	293	326	True
GSM8943598	sam-UTD-DN0106-DRGL-S5-2	original_late_allcell	P2	1325	1650	True
GSM8943598	sam-UTD-DN0106-DRGL-S5-2	original_late_neuron	P3	120	294	True
GSM8943598	sam-UTD-DN0106-DRGL-S5-2	original_severity	P4	313	134	True
GSM8943598	sam-UTD-DN0106-DRGL-S5-2	original_xenium	P5	17	41	True
GSM8943598	sam-UTD-DN0106-DRGL-S5-2	severity_neuron_residual	P10	218	118	True
GSM8943598	sam-UTD-DN0106-DRGL-S5-2	severity_neuron_shared_concordant_core	P9	10	7	False
