analysis_id	source	endpoint	program	block	original_effect	deleted_effect	eligible_before	eligible_after	rank_universe_same	remaining_up	remaining_down	reason	change	absolute_change	baseline_near_zero	signed_retention_ratio	same_sign
M04	GSE250152	Morton minus control	P10	black	0.0101414208884751	0.0121093058180295	True	True	True	219	116		0.0019678849295544	0.0019678849295544	False	1.1940443012074118	1.0
M04	GSE250152	Morton minus control	P10	blue	0.0101414208884751	0.0137981843149579	True	True	True	208	98		0.003656763426482799	0.003656763426482799	False	1.3605770302501115	1.0
M04	GSE250152	Morton minus control	P10	brown	0.0101414208884751	0.0054115300009377	True	True	True	210	104		-0.004729890887537401	0.004729890887537401	False	0.5336066869177536	1.0
M04	GSE250152	Morton minus control	P10	green	0.0101414208884751	0.0083654906823012	True	True	True	211	115		-0.001775930206173901	0.001775930206173901	False	0.8248834925890808	1.0
M04	GSE250152	Morton minus control	P10	magenta	0.0101414208884751	0.00987882822141	True	True	True	217	118		-0.00026259266706510007	0.00026259266706510007	False	0.9741069155937	1.0
M04	GSE250152	Morton minus control	P10	pink	0.0101414208884751	0.0104860079457781	True	True	True	218	117		0.0003445870573029995	0.0003445870573029995	False	1.0339781832439865	1.0
M04	GSE250152	Morton minus control	P10	red	0.0101414208884751	0.0106695403163893	True	True	True	217	112		0.0005281194279141994	0.0005281194279141994	False	1.0520754866326831	1.0
M04	GSE250152	Morton minus control	P10	turquoise	0.0101414208884751	0.0100274614342691	True	True	True	195	115		-0.00011395945420600122	0.00011395945420600122	False	0.9887629696608384	1.0
M04	GSE250152	Morton minus control	P10	yellow	0.0101414208884751	0.0102884089859549	True	True	True	211	107		0.0001469880974797992	0.0001469880974797992	False	1.01449383662272	1.0
M05	GSE143979	AH DPN minus MNC	P8	black	0.0044446054100294	0.0046568961233046	True	True	True	1234	1564		0.00021229071327519972	0.00021229071327519972	False	1.0477636806174422	1.0
M05	GSE143979	AH DPN minus MNC	P8	blue	0.0044446054100294	0.003811241246056	True	True	True	1227	1494		-0.0006333641639733999	0.0006333641639733999	False	0.8574982241293698	1.0
M05	GSE143979	AH DPN minus MNC	P8	brown	0.0044446054100294	0.0047567883104715	True	True	True	1242	1451		0.0003121829004420996	0.0003121829004420996	False	1.070238608749755	1.0
M05	GSE143979	AH DPN minus MNC	P8	green	0.0044446054100294	0.0045852215026464	True	True	True	1280	1524		0.00014061609261699966	0.00014061609261699966	False	1.0316374750162736	1.0
M05	GSE143979	AH DPN minus MNC	P8	magenta	0.0044446054100294	0.0044655420665614	True	True	True	1280	1569		2.0936656531999817e-05	2.0936656531999817e-05	False	1.0047105771155198	1.0
M05	GSE143979	AH DPN minus MNC	P8	pink	0.0044446054100294	0.0043825004561862	True	True	True	1258	1566		-6.210495384320006e-05	6.210495384320006e-05	False	0.986026891452938	1.0
M05	GSE143979	AH DPN minus MNC	P8	red	0.0044446054100294	0.0048462303732182	True	True	True	1286	1509		0.00040162496318880015	0.00040162496318880015	False	1.0903623440412775	1.0
M05	GSE143979	AH DPN minus MNC	P8	turquoise	0.0044446054100294	0.004176582911136	True	True	True	1168	1534		-0.00026802249889340025	0.00026802249889340025	False	0.939697121753801	1.0
M05	GSE143979	AH DPN minus MNC	P8	yellow	0.0044446054100294	0.0020128888405055	True	True	True	1186	1521		-0.0024317165695239003	0.0024317165695239003	False	0.4528835869126535	1.0
M05	GSE143979	AH DPN minus MNC	P7	black	-0.002821040902561	-0.0025855319191035	True	True	True	75	195		0.00023550898345749962	0.00023550898345749962	False	0.9165169908583389	1.0
M05	GSE143979	AH DPN minus MNC	P7	blue	-0.002821040902561	-0.0040486967085776	True	True	True	70	190		-0.0012276558060166005	0.0012276558060166005	False	1.435178307731061	1.0
M05	GSE143979	AH DPN minus MNC	P7	brown	-0.002821040902561	-0.0048025720893941	True	True	True	74	173		-0.0019815311868331006	0.0019815311868331006	False	1.7024113634914777	1.0
M05	GSE143979	AH DPN minus MNC	P7	green	-0.002821040902561	-0.0022097845982025	True	True	True	75	185		0.0006112563043584999	0.0006112563043584999	False	0.7833224240727639	1.0
M05	GSE143979	AH DPN minus MNC	P7	magenta	-0.002821040902561	-0.0029644378862668	True	True	True	76	198		-0.00014339698370580004	0.00014339698370580004	False	1.050831231683178	1.0
M05	GSE143979	AH DPN minus MNC	P7	pink	-0.002821040902561	-0.0026318202204325	True	True	True	76	196		0.00018922068212849988	0.00018922068212849988	False	0.9329252255943111	1.0
M05	GSE143979	AH DPN minus MNC	P7	red	-0.002821040902561	-0.0030252024852883	True	True	True	73	193		-0.00020416158272730002	0.00020416158272730002	False	1.0723710111902163	1.0
M05	GSE143979	AH DPN minus MNC	P7	turquoise	-0.002821040902561	-0.0025840004095094	True	True	True	68	176		0.00023704049305159998	0.00023704049305159998	False	0.9159741027376066	1.0
M05	GSE143979	AH DPN minus MNC	P7	yellow	-0.002821040902561	-0.0011442541736242	True	True	True	73	190		0.0016767867289367998	0.0016767867289367998	False	0.40561417333063915	1.0
M05	GSE143979	AH DPN minus MNC	P6	black	-0.0041551534177095	-0.004809531969959	True	True	True	45	76		-0.0006543785522495002	0.0006543785522495002	False	1.1574860147065813	1.0
M05	GSE143979	AH DPN minus MNC	P6	blue	-0.0041551534177095	-0.0048872101728842	True	True	True	43	74		-0.0007320567551747006	0.0007320567551747006	False	1.1761804394645534	1.0
M05	GSE143979	AH DPN minus MNC	P6	brown	-0.0041551534177095	0.0018652624663308	True	True	True	46	67		0.0060204158840403	0.0060204158840403	False	-0.44890339268363605	0.0
M05	GSE143979	AH DPN minus MNC	P6	green	-0.0041551534177095	-0.0041468329868736	True	True	True	48	73		8.320430835899971e-06	8.320430835899971e-06	False	0.9979975635074176	1.0
M05	GSE143979	AH DPN minus MNC	P6	magenta	-0.0041551534177095	-0.0034922058866106	True	True	True	47	77		0.0006629475310988998	0.0006629475310988998	False	0.8404517319930043	1.0
M05	GSE143979	AH DPN minus MNC	P6	pink	-0.0041551534177095	-0.00243651831401	True	True	True	46	77		0.0017186351036995	0.0017186351036995	False	0.5863846816402544	1.0
M05	GSE143979	AH DPN minus MNC	P6	red	-0.0041551534177095	-0.0033392852752149	True	True	True	48	75		0.0008158681424945999	0.0008158681424945999	False	0.8036490929510993	1.0
M05	GSE143979	AH DPN minus MNC	P6	turquoise	-0.0041551534177095	-0.0047381983183995	True	True	True	42	72		-0.0005830449006900005	0.0005830449006900005	False	1.1403185014071995	1.0
M05	GSE143979	AH DPN minus MNC	P6	yellow	-0.0041551534177095	-0.0042408119827859	True	True	True	45	75		-8.565856507640034e-05	8.565856507640034e-05	False	1.0206150186203278	1.0
