analysis_id	source	endpoint	program	n_planned	n_evaluable	n_ne	max_absolute_change	median_absolute_change	same_sign_fraction	max_change_blocks	status
M05	GSE143979	AH DPN minus MNC	P6	9	9	0	0.0060204158840403	0.0006629475310988998	0.8888888888888888	brown	COMPLETED_DESCRIPTIVE
M05	GSE143979	AH DPN minus MNC	P7	9	9	0	0.0019815311868331006	0.00023704049305159998	1.0	brown	COMPLETED_DESCRIPTIVE
M05	GSE143979	AH DPN minus MNC	P8	9	9	0	0.0024317165695239003	0.00026802249889340025	1.0	yellow	COMPLETED_DESCRIPTIVE
M05	GSE143979	MG DPN minus MNC	P1	9	9	0	0.0032254233216086996	0.0005677316717716003	1.0	blue	COMPLETED_DESCRIPTIVE
M05	GSE143979	MG DPN minus MNC	P10	9	9	0	0.0011478875350688991	0.00023172443929569964	1.0	green	COMPLETED_DESCRIPTIVE
M05	GSE143979	MG DPN minus MNC	P2	9	9	0	0.0009360126460484005	0.0002656818038821989	1.0	yellow	COMPLETED_DESCRIPTIVE
M05	GSE143979	MG DPN minus MNC	P3	9	9	0	0.0034748745618561998	0.00041577499252089993	1.0	blue	COMPLETED_DESCRIPTIVE
M05	GSE143979	MG DPN minus MNC	P4	9	9	0	0.0008773767614332004	0.00025711370645780003	1.0	brown	COMPLETED_DESCRIPTIVE
M05	GSE143979	MG DPN minus MNC	P5	7	7	0	0.0037098350513194087	0.0005111574453504006	1.0	yellow	COMPLETED_DESCRIPTIVE
M05	GSE143979	MG DPN minus MNC	P6	9	9	0	0.0039168106266476	0.00040930431237449995	0.7777777777777778	brown	COMPLETED_DESCRIPTIVE
M05	GSE143979	MG DPN minus MNC	P7	9	9	0	0.0041355774555478005	0.0005661367027296003	1.0	blue	COMPLETED_DESCRIPTIVE
M05	GSE143979	MG DPN minus MNC	P8	9	9	0	0.0009724758547478996	0.00021967064301310103	1.0	yellow	COMPLETED_DESCRIPTIVE
